Raw Name,Dracor id,wikidataId Play,Author,Normalized author,wikidataId Author,Title,subtitle,Genre,digitalSource,yearNormalized,datePremiered,yearPremiered,yearPrinted
abeille-argelie,fre000001,Q63215430,Gaspard Abeille,Gaspard Abeille,Q1338057,"Argélie, Reine de Thessalie",Tragédie,Tragedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_ARGELIE.xml,1674,1678-02-25,1678,1674
abeille-coriolan,fre000002,Q63214898,Gaspard Abeille,Gaspard Abeille,Q1338057,Coriolan,Tragédie,Tragedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_CORIOLAN.xml,1676,1676-01-24,1676,1676
abeille-lyncee,fre000003,Q63215163,Gaspard Abeille,Gaspard Abeille,Q1338057,Lyncée,Tragédie,Tragedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_LYNCEE.xml,1678,1678-02-25,1678,1681
adenis-homme-qui-ne-peut-pas-siffler,fre000004,,Eugène Adenis,Eugène Adenis,Q52155506,L'Homme qui ne Peut pas Siffler,Monologue,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ADENIS_HOMMEQUINEPEUTPASSIFFLER.xml,1885,,,1885
aigueberre-avare-amoureux,fre000005,Q63215735,Jean Dumas D'Aigueberre,Jean Dumas D'Aigueberre,Q28933420,L'Avare Amoureux,Comédie en un Acte et en Prose,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_AVAREAMOUREUX.xml,1781,,,1781
aigueberre-pan-et-doris,fre000006,,Jean Dumas D'Aigueberre,Jean Dumas D'Aigueberre,Q28933420,Pan et Doris Pastorale,,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_PANETDORIS.xml,1729,,,1729
aigueberre-polixene,fre000007,Q63215739,Jean Dumas D'Aigueberre,Jean Dumas D'Aigueberre,Q28933420,Polixène,Tragédie en un Acte,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_POLIXENE.xml,1729,,,1729
aigueberre-prologue,fre000008,,Jean Dumas D'Aigueberre,Jean Dumas D'Aigueberre,Q28933420,Les Trois Spectacles Prologue,,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_PROLOGUE.xml,1729,,,1729
alain-legrand-epreuve-reciproque,fre000009,,Robert Alain,Robert Alain,,L'Epreuve Réciproque,Comédie,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALAINLEGRAND_EPREUVERECIPROQUE.xml,1711,1711-10-06,1711,1711
allainval-ecole-des-bourgeois,fre000010,,Léonor Jean Soulas D'Allainval,Léonor Jean Soulas D'Allainval,Q3271726,L'Ecole des Bourgeois,Comédie en Trois Actes avec un Prologue,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAINVAL_ECOLEDESBOURGEOIS.xml,1728,1728-09-20,1728,1728
allainval-hiver,fre000011,,Léonor Jean Soulas D'Allainval,Léonor Jean Soulas D'Allainval,Q3271726,L'Hiver,Comédie en Trois Actes avec un Prologue,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAINVAL_HIVER.xml,1733,1733-02-19,1733,1733
allais-bon-bougre,fre000012,,Alphonse Allais,Alphonse Allais,Q371905,Le Pauvre Bougre et le Bon Génie,Féérie en un Acte,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAIS_BONBOUGRE.xml,1889,,,1889
allais-mecontent,fre000013,,Alphonse Allais,Alphonse Allais,Q371905,Un Mécontent,Monologue,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAIS_MECONTENT.xml,1889,,,1889
ancelot-arago-papillotes,fre000014,,Jacques-Arsène-François-Polycarpe Ancelot,Jacques Arsène François Polycarpe Ancelot,Q1677861,Les Papilllotes,"Comédie en un Acte, Mêlée de Chant.",Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANCELOT-ARAGO_PAPILLOTES.xml,1834,1834-01-17,1834,1834
andrieux-anaximandre,fre000015,,François Andrieux,François Andrieux,Q970585,"Anaximandre, Comédie.",,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANDRIEUX_ANAXIMANDRE.xml,1782,1782-12-20,1782,1805
andrieux-moliere-et-ses-amis,fre000016,,François Andrieux,François Andrieux,Q970585,Molière et ses Amis ou La Soirée d'Auteuil,Comédie en un Acte et en vers,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANDRIEUX_MOLIEREETSESAMIS.xml,1804,1804-08-04,1804,1804
anonyme-adam,fre000017,Q1008497,[anonyme],[Anonyme],IDUNKNOWN,Adam,Mystère,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_ADAM.xml,1170,,,1170
anonyme-aventures-de-ninette,fre000018,,[anonyme],[Anonyme],IDUNKNOWN,Les Aventures de Ninette,Comédie en 4 Tableaux,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_AVENTURESDENINETTE.xml,1833,1833-01-01,1833,1833
anonyme-bonnes-gens,fre000019,,[anonyme],[Anonyme],IDUNKNOWN,Les Bonnes Gens,"Petite Pièce en un Acte, et en Vers.",Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_BONNESGENS.xml,1772,,,1772
anonyme-chapelain-decoiffe,fre000020,,[anonyme],[Anonyme],IDUNKNOWN,Fragment d'une Comédie Intitulée Chapelain Décoiffé.,D'une autre façon.,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_CHAPELAINDECOIFFE.xml,1666,,,1666
anonyme-chapelain-decoiffe-2,fre000021,,[anonyme],[Anonyme],IDUNKNOWN,Fragment d'une Comédie Intitulée Chapelain Décoiffé [2],,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_CHAPELAINDECOIFFE_2.xml,1666,,,1666
anonyme-club-des-dames,fre000022,Q123529816,[anonyme],[Anonyme],IDUNKNOWN,Le Club des Dames ou Le Retour de Descartes,Comédie en un Acte et en Prose.,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_CLUBDESDAMES.xml,1784,,,1784
anonyme-deroute-des-precieuses,fre000023,,[anonyme],[Anonyme],IDUNKNOWN,La Déroute des Précieuses,Mascarade,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_DEROUTEDESPRECIEUSES.xml,1659,,,1659
anonyme-dialogue-rousseau-voltaire,fre000024,,[anonyme],[Anonyme],IDUNKNOWN,Dialogue entre Voltaire et Rousseau,Après leur Passage du Styx,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_DIALOGUEROUSSEAUVOLTAIRE.xml,1778,,,1778
anonyme-jeu-d-esmoree,fre000025,,[anonyme],[Anonyme],IDUNKNOWN,Le Jeu d'Esmorée,Fils du Roi de Sicile,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_JEUDESMOREE.xml,1835,,,1835
anonyme-jus-du-pelerin,fre000026,,[anonyme],[Anonyme],IDUNKNOWN,Le Jus du Pelerin,,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_JUSDUPELERIN.xml,1834,,,1834
anonyme-matinee-comedien-francais,fre000027,,[anonyme],[Anonyme],IDUNKNOWN,La Matinée du Comédien Français,Comédie,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_MATINEECOMEDIENFRANCAIS.xml,1785,,,1785
anonyme-pardonneur,fre000028,,[anonyme],[Anonyme],IDUNKNOWN,Farce Nouvelle Tres Bonne et Fort Joyeuse à Trois Personnages d'un Pardonneur d'un Triacleur et d'une Tavernière,,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_PARDONNEUR.xml,1520,,,
anonyme-pont-aux-anes,fre000029,,[anonyme],[Anonyme],IDUNKNOWN,Farce Nouvelle Fort Joyeuse du Pont aux Anes,"À quatre personnages,c'est à savoir",Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_PONTAUXANES.xml,1480,,,
anonyme-portier-du-parnasse,fre000030,,[anonyme],[Anonyme],IDUNKNOWN,Le Portier du Parnasse,Ou les Poètes Réformés,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_PORTIERDUPARNASSE.xml,1770,,,1770
anonyme-prix-d-un-moment,fre000031,,[anonyme],[Anonyme],IDUNKNOWN,Le Prix d'un Moment,"Petite Pièce en un Acte et en Prose, Melée D'Airs.",Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_PRIXDUNMOMENT.xml,1772,,,1772
anonyme-reception-argenson,fre000032,,[anonyme],[Anonyme],IDUNKNOWN,La Réception de Monseigneur le Vicomte d'Argenson,Par Toutes les Nations du Pays de Canada à son Entrée au Gouvernement de la Nouvelle-France.,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_RECEPTIONARGENSON.xml,1658,1658-07-28,1658,1658
anonyme-resurrection-du-sauveur,fre000033,,[anonyme],[Anonyme],IDUNKNOWN,La Résurrection du Sauveur,Fragment d'un Mystère Inédit,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_RESURRECTIONDUSAUVEUR.xml,1834,,,1834
anonyme-resurrection-jenin-landore,fre000034,,[anonyme],[Anonyme],IDUNKNOWN,Farce Nouvelle Très Bonne et Fort Joyeuse de la Resurrection de Jenin Landore,"À quatre personnages, c'est à savoir",Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_RESURRECTIONJENINLANDORE.xml,1512,,,1547/1557
anonyme-sauvages-civilises,fre000035,,[anonyme],[Anonyme],IDUNKNOWN,Les Sauvages ou Le Roi Bienfaisant.,Opéra National.,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_SAUVAGESCIVILISES.xml,1789,,,1789
anonyme-serail-de-de-lys,fre000036,,[anonyme],[Anonyme],IDUNKNOWN,Le Sérail de de Lys,Parodie d'Alcibiade,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_SERAILDEDELYS.xml,1735,,,1735
anonyme-sermon-joyeux,fre000037,,[anonyme],[Anonyme],IDUNKNOWN,Sermon Joyeux de Bien Boire,"À deux personnages, c'est à savoir",Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_SERMONJOYEUX.xml,1545,,,1545
anonyme-vende,fre000038,,[anonyme],[Anonyme],IDUNKNOWN,Vende,Ou le Triomphe et le Sacrifice de la Chasteté,Tragedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_VENDE.xml,1644,,1644,1644
anonyme-vierges-folles-vierges-sages,fre000039,,[anonyme],[Anonyme],IDUNKNOWN,Les Vierges Sages et les Vierges Folles,,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_VIERGESFOLLESVIERGESSAGES.xml,1834,,,1834
anonyme-voila-bien-le-diable,fre000040,,[anonyme],[Anonyme],IDUNKNOWN,Oh ! Voilà Bien le Diable !,Petite Pièce en un Acte et en Prose Melée D'Airs.,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_VOILABIENLEDIABLE.xml,1772,,,1772
anonyme-zelamire,fre000041,,[anonyme],[Anonyme],IDUNKNOWN,Zélamire,Ou la Sauvage,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_ZELAMIRE.xml,1786,,,1786
anseaume-cendrillon,fre000042,,Louis Anseaume,Louis Anseaume,Q1094120,Cendrillon,Opéra-Comique,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANSEAUME_CENDRILLON.xml,1759,1759-02-20,1759,1759
anseaume-chinois,fre000043,,Louis Anseaume,Louis Anseaume,Q1094120,Le Chinois Poli en France,Parodie du Chinois de Retour,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANSEAUME_CHINOIS.xml,1755,1755-08-23,1755,1755
anseaume-ressource-comique,fre000044,,Louis Anseaume,Louis Anseaume,Q1094120,La Ressource Comique,Pièce en un Acte Mêlée d'Ariettes,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANSEAUME_RESSOURCECOMIQUE.xml,1772,1772-08-22,1772,1772
archambault-ce-n-est-pas,fre000045,,Louis-François Archambault,Louis François Archambault,Q3037277,Ca n'en Est pas ou Tout ce qui Reluit n'est pas or,Comédie-Proverbe en un Acte,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARCHAMBAULT_CENESTPAS.xml,1779,1779-12-23,1779,1779
archambault-comedie-a-l-impromptu,fre000046,,Dorvigny,Dorvigny,Q3037277,La Comédie à l'Impromptu,Ou les Dupes,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARCHAMBAULT_COMEDIEALIMPROMPTU.xml,1780,1780-09-05,1780,1780
archambault-etrennes,fre000047,,Louis-François Archambault,Louis François Archambault,Q3037277,"Les Etrennes de l'Amitié, de l'Amour et de la Nature","Comédie en un Acte, en vers",Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARCHAMBAULT_ETRENNES.xml,1780,1780-01-01,1780,1783
archambault-hurlubrelu,fre000048,,Louis-François Archambault,Louis François Archambault,Q3037277,Hurlubrelu,Ou Tout de Travers,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARCHAMBAULT_HURLUBRELU.xml,1794,,,1794
archambault-janot-battus,fre000049,,Louis-François Archambault,Louis François Archambault,Q3037277,Janot,Ou les Battus Paient l'Amende,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARCHAMBAULT_JANOTBATTUS.xml,1779,1779-06-06,1779,1779
archambault-janot-degraisseur,fre000050,,Louis-François Archambault,Louis François Archambault,Q3037277,Janot chez le Dégraisseur,Ou à Quelque Chose Malheur Est Bon,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARCHAMBAULT_JANOTDEGRAISSEUR.xml,1779,1779-10-18,1779,1779
archambault-jocrisse-change,fre000051,,Louis-François Archambault,Louis François Archambault,Q3037277,Jocrisse Changé de Condition,Comédie-Folie en Deux Actes,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARCHAMBAULT_JOCRISSECHANGE.xml,1794,1794-01-04,1794,1799
archambault-on-fait-ce-qu-on-peut,fre000052,,Dorvigny,Dorvigny,Q3037277,"On Fait ce qu'on Peut, Non pas ce qu'on Veut",Proverbe à Deux Acteurs,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARCHAMBAULT_ONFAITCEQUONPEUT.xml,1779,,1779,1785
arene-naze,fre000053,,Paul Arène,Paul Arène,Q2633356,Mon Ami Naze,,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARENE_NAZE.xml,1881,,,1881
aristophane-guepes,fre000054,,Aristophane,Aristophane,Q43353,Les Guêpes,Comédie,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARISTOPHANE_GUEPES.xml,1897,,,1897
armand-cri-nature,fre000055,,Armand,Armand,Q2861745,Le Cri de la Nature,Comédie en un Acte et en vers,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARMAND_CRINATURE.xml,1669,1669-10-20,1669,1771
arnault-horatius-cocles,fre000056,,Antoine Vincent Arnault,Antoine Vincent Arnault,Q585558,Horatius Coclès.,Acte Lyrique.,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARNAULT_HORATIUSCOCLES.xml,1794,1930-04-17,1930,1794
arnould-heroine-americaine,fre000057,,Jean-François Arnould,Jean François Arnould,Q23253801,L'Héroïne Américaine,Pantomime en Trois Actes,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARNOULD_HEROINEAMERICAINE.xml,1786,,,1786
artaud-centenaire-moliere,fre000058,,Jean-Baptiste Artaud,Jean Baptiste Artaud,Q110133932,Le Centenaire de Molière,"Comédie en un Acte, en vers et en Prose",Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARTAUD_CENTENAIREMOLIERE.xml,1773,1773-02-18,1773,1773
aubignac-pucelle,fre000059,,Abbé D' Aubignac,Abbé D' Aubignac,Q714015,La Pucelle d'Orléans,Tragédie,Tragedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AUBIGNAC_PUCELLE.xml,1642,,,1642
aubignac-pucelle-prose,fre000060,,Abbé D' Aubignac,Abbé D' Aubignac,Q714015,La Pucelle d'Orléans,Tragédie en Prose,Tragedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AUBIGNAC_PUCELLE_PROSE.xml,1642,,,1642
aude-ecole-tragique,fre000061,,Joseph Aude,Joseph Aude,Q3184541,L'Ecole Tragique ou Cadet Roussel Maitre de Déclamation,Comédie ou Non en un Acte,Comedy,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AUDE_ECOLETRAGIQUE.xml,1802,,,1802
audiffret-albert-durer,fre000062,,Louis-Dominique-Laurent Audiffret,Louis Dominique Laurent Audiffret,Q130234069,Albert Durer,Pièce en un Acte.,,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AUDIFFRET_ALBERTDURER.xml,1861,,,1861
