,TD id,Raw Name,Title,Authors,Normalized Author,Normalized Second Author,wikidataId Author,Normalized Year,yearPrinted,dateWriting,datePremiered,Genre,Genre (bis),Type,in_TD,in_Dracor,in_BD,Empty text
0,TD1,abbe_augustin_theodore_vincent_lebeau_de_schosne-assemblee,L’Assemblée,Abbé Augustin-Théodore-Vincent LEBEAU DE SCHOSNE,Abbé Augustin Théodore Vincent Lebeau De Schosne,,ID0003,1773.0,,,2/17/1773,Comédie,Comedy,vers,TD1,fre000855,,False
1,TD2,abbe_de_voisenon-retour_de_l_ombre_de_moliere,Le Retour de l’ombre de Molière,Abbé de VOISENON,Abbé De Voisenon,,Q2976734,1739.0,,,11/21/1739,Comédie,Comedy,vers,TD2,,,False
2,TD3,abel_jannet-moliere_en_menage,Molière en ménage,Abel JANNET,Abel Jannet,,ID0004,1855.0,,,11/11/1855,Comédie,Comedy,vers,TD3,fre000785,,False
3,TD4,adele_regnauld_de_prebois-chien_et_chat,Chien et chat,Adèle REGNAULD DE PRÉBOIS,Adèle Regnauld De Prébois,,Q108664365,1852.0,,,11/20/1852,Comédie,Comedy,,TD4,,,False
4,TD5,adele_regnauld_de_prebois-marion,Marion,Adèle REGNAULD DE PRÉBOIS,Adèle Regnauld De Prébois,,Q108664365,1851.0,,,3/22/1851,Comédie,Comedy,,TD5,,,False
5,TD6,adele_regnauld_de_prebois_theodore_barriere-pecheresse,Une Pécheresse,Adèle REGNAULD DE PRÉBOIS - Théodore BARRIÈRE,Adèle Regnauld De Prébois,Théodore Barrière,Q108664365,1860.0,,,5/25/1860,,,,TD6,,,False
6,TD7,adele_regnauld_de_prebois-infidelites_conjugales,Les Infidélités conjugales,Adèle REGNAULD DE PRÉBOIS,Adèle Regnauld De Prébois,,Q108664365,1850.0,,,10/26/1850,Comédie,Comedy,,TD7,,,False
7,TD8,adele_regnauld_de_prebois-moulin_de_l_ermitage,Le Moulin de l’Ermitage,Adèle REGNAULD DE PRÉBOIS,Adèle Regnauld De Prébois,,Q108664365,1855.0,,,11/22/1855,,,,TD8,,,False
8,TD9,adolphe_de_leuven_armand_d_artois_philippe_auguste_alfred_pittaud_de_forges-mon_ami_pierre,Mon ami Pierre,Adolphe DE LEUVEN - Armand D'ARTOIS - Philippe-Auguste-Alfred PITTAUD DE FORGES,Adolphe De Leuven,Armand D'Artois,Q2087458,1827.0,,,9/8/1827,Comédie,Comedy,,TD9,,,False
9,TD10,adolphe_de_leuven_emmanuel_theaulon_philippe_auguste_alfred_pittaud_de_forges-perle_de_marienbourg,La Perle de Marienbourg,Adolphe DE LEUVEN - Emmanuel THÉAULON - Philippe-Auguste-Alfred PITTAUD DE FORGES,Adolphe De Leuven,Emmanuel Théaulon,Q2087458,1828.0,,,10/11/1828,Comédie,Comedy,,TD10,,,False
