TD id,Raw Name,Title,Authors,Normalized Author,Normalized Second Author,wikidataId Author,yearPrinted,datePremiered,dateWriting,Genre,Type,in_TD
TD1,abbe_augustin_theodore_vincent_lebeau_de_schosne-assemblee,L’Assemblée,Abbé Augustin-Théodore-Vincent LEBEAU DE SCHOSNE,Abbé Augustin Théodore Vincent Lebeau De Schosne,,ID0003,,1773-02-17,,Comédie,vers,TD1
TD2,abbe_de_voisenon-retour_de_l_ombre_de_moliere,Le Retour de l’ombre de Molière,Abbé de VOISENON,Abbé De Voisenon,,Q2976734,,1739-11-21,,Comédie,vers,TD2
TD3,abel_jannet-moliere_en_menage,Molière en ménage,Abel JANNET,Abel Jannet,,ID0004,,1855-11-11,,Comédie,vers,TD3
TD4,adele_regnauld_de_prebois-chien_et_chat,Chien et chat,Adèle REGNAULD DE PRÉBOIS,Adèle Regnauld De Prébois,,Q108664365,,1852-11-20,,Comédie,,TD4
TD5,adele_regnauld_de_prebois-marion,Marion,Adèle REGNAULD DE PRÉBOIS,Adèle Regnauld De Prébois,,Q108664365,,1851-03-22,,Comédie,,TD5
TD6,adele_regnauld_de_prebois_theodore_barriere-pecheresse,Une Pécheresse,Adèle REGNAULD DE PRÉBOIS - Théodore BARRIÈRE,Adèle Regnauld De Prébois,Théodore Barrière,Q108664365,,1860-05-25,,,,TD6
TD7,adele_regnauld _de_prebois-infidelites_conjugales,Les Infidélités conjugales,Adèle REGNAULD DE PRÉBOIS,Adèle Regnauld De Prébois,,Q108664365,,1850-10-26,,Comédie,,TD7
TD8,adele_regnauld _de_prebois-moulin_de_l_ermitage,Le Moulin de l’Ermitage,Adèle REGNAULD DE PRÉBOIS,Adèle Regnauld De Prébois,,Q108664365,,1855-11-22,,,,TD8
TD9,adolphe_de_leuven_armand_d_artois_philippe_auguste_alfred_pittaud_de_forges-mon_ami_pierre,Mon ami Pierre,Adolphe DE LEUVEN - Armand D'ARTOIS - Philippe-Auguste-Alfred PITTAUD DE FORGES,Adolphe De Leuven,Armand D'Artois,Q2087458,,1827-09-08,,Comédie,,TD9
TD10,adolphe_de_leuven_emmanuel_theaulon_philippe_auguste_alfred_pittaud_de_forges-perle_de_marienbourg,La Perle de Marienbourg,Adolphe DE LEUVEN - Emmanuel THÉAULON - Philippe-Auguste-Alfred PITTAUD DE FORGES,Adolphe De Leuven,Emmanuel Théaulon,Q2087458,,1828-10-11,,Comédie,,TD10
TD11,adolphe_de_leuven_louis_emile_vanderburch-marie_michon,Marie Michon,Adolphe DE LEUVEN - Louis-Émile VANDERBURCH,Adolphe De Leuven,Louis-Émile Vanderburch,Q2087458,,1846-03-11,,Comédie,,TD11
TD12,adolphe_de_leuven_theophile_marion_dumersan-biribi_le_mazourkiste,Biribi le mazourkiste,Adolphe DE LEUVEN - Théophile Marion DUMERSAN,Adolphe De Leuven,Théophile Marion Dumersan,Q2087458,,1845-02-02,,Vaudeville,,TD12
TD13,adolphe_de_leuven_victor_lherie-mistriss_siddons_ou_une_actrice_anglaise,Mistriss Siddons,Adolphe DE LEUVEN - Victor LHÉRIE,Adolphe De Leuven,Victor Lhérie,Q2087458,,1836-08-01,,Comédie,,TD13
TD14,adolphe_de_leuven_ _armand_d_artois_philippe_auguste_alfred_pittaud_de_forges-brigand_napolitain,Le Brigand Napolitain,Adolphe DE LEUVEN - Armand D'ARTOIS - Philippe-Auguste-Alfred PITTAUD DE FORGES,Adolphe De Leuven,Armand D'Artois,Q2087458,,1829-09-25,,Vaudeville,,TD14
TD15,adolphe_de_leuven_ _armand_d_artois_philippe_auguste_alfred_pittaud_de_forges-portefeuille,Le Portefeuille,Adolphe DE LEUVEN - Armand D'ARTOIS - Philippe-Auguste-Alfred PITTAUD DE FORGES,Adolphe De Leuven,Armand D'Artois,Q2087458,,1827-12-29,,Comédie,,TD15
TD16,adolphe_dumas-mademoiselle_de_la_valliere,Mademoiselle de La Vallière,Adolphe DUMAS,Adolphe Dumas,,Q2824811,,1843-05-15,,,vers,TD16
