anonyme-adam,anonyme-vierges-folles-vierges-sages,Score
"('#dieu', 'Adam.')",-,0.0
"('#adam', 'Seigneur.')",-,0.0
"('#dieu', ""Je t'ai formé Du limon de la terre."")",-,0.0
"('#adam', 'Je le sais bien.')",-,0.0
"('#dieu', ""Je t'ai formé à ma ressemblance, À mon image je t'ai fait de terre. Jamais tu ne te dois mettre en hostilité contre moi."")",-,0.0
"('#adam', ""Je n'en ferai rien, mais j'ajouterai foi à tes paroles. Je suivrai en tout point ce que mon créateur me dira."")",-,0.0
"('#dieu', ""Je t'ai donné une bonne compagne : Voici ta femme, elle a nom Ève ; Voici ta femme et ton semblable ; Tu lui dois garder une grande fidélité. Aime-la et qu'elle t'aime, Et moi je vous aimerai bien tous les deux. Qu'elle soit toujours prête à t'obéir, Et tous les deux soyez soumis à ma volonté. Je l'ai formée de ta côte, Ce n'est pas une étrangère, puisqu'elle est née de toi. Je la formai de ton corps ; Elle est sortie de toi et non pas d'ailleurs. Toi, gouverne-la suivant la raison ; Qu'il n'y ait jamais de dispute entre vous, Mais grand amour et protection mutuelle ; Telle est la loi du mariage."")",-,0.0
"('#dieu', ""À toi je parlerai, Ève, Prête grande attention à tout ce que je vais dire. Si tu veux te conformer à mes désirs, La bonté tu auras toujours en partage. Aime-moi et honore ton créateur, Et reconnais-moi pour ton Seigneur. À me servir mets tout ton souci, Toute ta force et toute ta raison. Aime Adam, et qu'il te soit cher : Il est ton mari et tu es sa femme. Sois lui toujours soumise, Ne te dérobe pas à sa direction ; Sers-le et aime-le sans arrière-pensée, Car c'est ainsi que l'on doit agir en ménage. Si tu lui es d'un puissant secours, Je te mettrai en état de gloire avec lui."")",-,0.0
"('#eve', ""J'agirai, Seigneur, suivant ton plaisir, En rien je ne veux enfreindre ta volonté ; Je te reconnaîtrai pour mon Seigneur, Et Adam pour mon époux et mon maître ; Je lui serai toujours fidèle, Jamais il ne recevra de moi de mauvais conseils ; Tout ce qui pourra te faire plaisir ou t'être utile, Je le ferai, Seigneur, sans discuter. Alors Dieu invitera Adam à s'approcher et lui parlera en appuyant sur chaque mot :"")",-,0.0
"('#dieu', ""Écoute, Adam, et fais attention à ce que je dis ; Après t'avoir formé, voici le don que je veux te faire : Toujours tu pourras vivre, si tu observes ma loi, Et ton corps, à l'abri de tous maux, ne vieillira point ; Jamais tu n'auras faim, tu ne boiras pas par nécessité. Jamais tu n'auras froid, ni ne souffriras de la chaleur ; Tu seras toujours content, jamais tu ne te fatigueras. Toujours tu seras en fête, la douleur te sera inconnue. Toute ta vie tu passeras dans la joie ; Ta vie sera sans terme par le plus grand privilège. Je le dis à toi, et je veux qu'Eve l'entende ; Si elle n'y prête attention, elle fera marque de folie. Je te fais le maître de toute là terre, Des oiseaux, des bêtes, de tout ce qui frappera tes yeux. Peu t'importe qui te porte envie, Car l'univers entier doit s'incliner devant toi. Je remets entre tes mains le bien et le mal : Qui possède un tel don jouit de sa liberté entière. Pèse maintenant également tout en balance : N'ajoute foi à rien qui me soit contraire. Laisse le mal et applique-toi au bien, Aime ton Seigneur et ne t'éloigne pas de lui, N'abandonne jamais mon conseil pour celui d'un autre : Si tu le fais, tu ne pécheras pas peu."")",-,0.0
"('#adam', ""Grande grâce je rends à ta bienveillance, Qui me forma et agit si tendrement envers moi, Que bien et mal elle met en ma puissance. À te servir je mettrai ma volonté. Tu es mon Seigneur, je suis ta créature : Tu me créas et je suis ton ouvrage. Ma volonté ne sera jamais si pervertie Qu'à te servir je ne mette tout mon souci. Alors Dieu montrera de la main le paradis à Adam, en disant :"")",-,0.0
"('#dieu', 'Adam.')",-,0.0
"('#adam', 'Seigneur.')",-,0.0
"('#dieu', 'Je vais te confier mon dessein. Tu vois ce jardin.')",-,0.0
"('#adam', 'Comment a-t-il nom ?')",-,0.0
-,"('#des-femmes', 'Où est le Christ, mon seigneur et fils très-haut ? Allons voir le sépulcre.')",0.0
-,"('#l-ange-du-saint-sepulcre', ""Celui que vous cherchez dans le sépulcre, ô chrétiens, n'est pas ici.  Il est ressuscité comme il l'avait prédit.  Allez, annoncez à ses disciples qu'il vous précédera en Galilée.  En vérité, la Seigneur a ressuscité du tombeau avec Gloire.  Alléluia."")",0.0
-,"('#l-epoux', ""Voici l'époux qui est le Christ : veillez vierges ; pour son arrivé, les hommes se réjouissent et se réjouiront ; car il est venu délivrer le berceau des nations, que les démons avaient réduits sous leur puissance par la faute de la première mère.  C'est lui que le prophète appelle le second Adam, et par qui le crime du premier Adam est détruit en nous.  Il a été mis en croix pour nous rendre à notre patrie céleste et nous soustraire au pouvoir du diable.  Il vient, l'époux qui, par sa mort, a expié et lavé  nos péchés, et a souffert le supplice de la crois."")",0.0
-,"('#les-sages', ""Écoutez, vierges, ce que nous diront  Ceux présents, qui nous commanderons ;  Attendez un époux, Jésus sauveur a non.  Guère n'y dormit.  Cet époux que vous ores attendez. Vint en terre pour les vôtres péchés :  De la Vierge en Bethléem fut né, En fleuve du Jourdain Guère n'y dormit.  Cet époux que vous ores attendez. Il faut battu, moqué et là renié, En haut sur la croix, en clous fiché : Du monument dessous reposa. Guère n'y dormit.  Cet époux que vous ores attendez."")",0.0
-,"('#les-folles', ""Dolentes ! chétives ! trop y avons dormi. Dolentes ! Chétives ! Trop y avons dormi. Dolentes ! Chétives ! Trop y avons dormi. Nous, compagnes du même voyage et soeurs de la même famille, quoiqu'il nous soit arrivé malheur, vous pouvez nous rendre au ciel.  Donnez de la lumière à nos lampes, ayez pitié de notre inexpérience, afin que nous ne soyons pas mises à la porte quand l'époux vous appellera dans ses demeures. Et allez maintenant, allez vite et priez doucement les marchands qu'ils vous donnent, paresseuses, de l'huile pour vos lampes."")",0.0
-,"('#les-folles', ""Dolentes ! Chétives ! Trop y avons dormi. Dolentes ! Chétives ! Trop y avons dormi. Ah !  Malheureuses que nous sommes !  Que faisons nous ici ?  Ne pouvions nous veiller.  Nous nous sommes attiré à nous-même la peine que nous souffrons maintenant. Et que le marchand nous donne au plus vite l'huile qu'il aura, lui ou son compagnon.  Nous venons maintenant chercher de l'huile, parce que nous avons négligemment versé la nôtre."")",0.0
-,"('#les-sages', ""De notre huile demandez à nous à donner ; N'en aurez point, allez en acheter Des marchands que là voyez être. Dolentes ! Chétives ! Trop y avons dormi."")",0.0
-,"('#les-marchands', ""Dames gentilles, ne vous convient être Ni longuement ici demeurer. Conseil cherchez, n'en à vous pouvons donner ; Cherchez-le de qui vous peut conseiller. Dolentes ! Chétives ! Trop y avons dormi. Allez arrière à vos sages soeurs, Et priez les par Dieu le glorieux, Que l'huile fassent secours à vous : Faites cela tôt, vu que bientôt viendra l'époux. Dolentes ! Chétives ! Trop y avons dormi. Dolentes ! Chétives ! Trop y avons dormi. Dolentes ! Chétives ! Trop y avons dormi. Nous compagnes du même voyage et soeurs de la même famille, quoiqu'il nous soit arrivé malheur, vous pouvez nous rendre au ciel. Donnez de la lumière à nos lampes, ayez pitié de notre expérience, afin que nous ne soyons pas mises à la porte quand l'époux vous appellera sans ses demeures."")",0.0
-,"('#les-sages', ""Dolentes ! Chétives ! Trop y avons dormi. Dolentes ! Chétives ! Trop y avons dormi. Cessez, nous vous en conjurons, nos soeurs, de nous prier devantage ; car il ne vous servira à rien de prier plus longtemps à ce sujet. Et allez maintenant, allez vite et priez doucement les marchands qu'ils vous donnent, paresseusement, de l'huile pour vos lampes."")",0.0
-,"('#les-folles', ""Dolentes ! chétives ! trop y avons dormi. Dolentes ! Chétives ! Trop y avons dormi. Ah !  Malheureuses que nous sommes !  Que faisons-nous ici ?  Ne pouvions nous veiller ?  Nous nous sommes attiré à nous même la peine que nous souffrons maintenant. Et que le marchand nous donne au plus vite l'huile qu'il aura, lui ou son compagnon.  Nous venons maintenant chercher de l'huile, parce que nous avons négligemment versé la nôtre."")",0.0
-,"('#les-sages', ""De notre huile demandez à nous à donner ; N'en aurez point, allez en acheter Des marchands que là voyez être. [Dolentes ! Chétives ! Trop y avons dormi.]"")",0.0
-,"('#les-marchands', ""Dames gentilles, ne vous convient être  Ni longuement ici demeurer. Conseil cherchez, n'en a vous pouvons donner ; Cherchez-le de qui vous peut conseiller. Dolentes ! Chétives ! Trop y avons dormi. Allez arrière à vos sages soeurs, Et priez-les par Dieu le glorieux, Que d'huile fassent secours à vous : Faites cela tôt, vu que bientôt viendra l'époux . [Dolentes ! Chétives ! Trop y avons dormi.]"")",0.0
-,"('#les-folles', ""[Dolentes ! chétives ! trop y avons dormi.] Maintenant que l'époux vienne. Ah !  Malheureuse que nous sommes !  Vers qui venons nous ?  En effet, il n'y a rien de ce que nous cherchons.  Il a été prophétisé et bientôt nous verrons...  Nous n'entrerons jamais aux noces. Écoute, époux, les voix des plaignants ; fais nous ouvrir la porte ; avec nos compagnes, donne-nous du secours."")",0.0
-,"('#le-christ', ""Allez, chétives ! allez malheureuses ! A toujours désormais vous sont peines livrées, En enfer ores serez menées. En vérité je vous le dis, je ne vous connais pas, car vous manquez de lumière ; parce que ceux qui marchent, marchent loin par la lumière de cette cour. Tantôt que les démons les prennent et qu'elles soient précipitées dans  l'enfer. Que toutes les nations se réjouissant donnent un chant d 'allégresse.  Dieu devient homme, né aujourd'hui de la maison de David. Ô Juifs, qui niez la parole de Dieu, écoutez l'un après l'autre un homme de votre loi, témoin du roi ; et vous, gentils , qui ne croyez pas que la Vierge ait enfanté, dissipez votre erreur par ce que vous enseignent les gens de votre classe."")",0.0
-,"('#israël', 'Israël, homme doux, dis, connais-tu fermement quelque chose du Christ ?')",0.0
-,"('#reponse', ""Le chef n'est pas enlevé à Juda jusqu'à ce qu'il y en ait un qui soit remarqué.  Les nations attendront avec moi le Verbe salutaire de Dieu."")",0.0
-,"('#moïse', 'Législateur, approche ici, et parle dignement du Christ.')",0.0
-,"('#reponse', ""Dieu vous donnera un prophète : prêtez-lui l'oreille comme à moi.  Celui qui n'écoute pas cet auditeur est chassé de sa nation."")",0.0
-,"('#isaïe', 'Isaïe, qui sais la vérité, pourquoi ne la dis-tu pas ?')",0.0
-,"('#reponse', ""Il est nécessaire que la verge de Jessé s'élève de la racine ; il en sortira une fleur, qui est l'esprit de Dieu."")",0.0
-,"('#jeremie', 'Viens ici, Jérémie ; dis des prophéties au sujet du Christ.')",0.0
-,"('#reponse', ""Il en est ainsi.  Celui-ci est notre Dieu.  Il n'y a en aura point d'autre."")",0.0
-,"('#daniel', ""Daniel, indique d'une voix prophétique les faits du Seigneur."")",0.0
-,"('#reponse', ""Le Saint des saints viendra, et l'onction cessera."")",0.0
-,"('#abacuc', 'Abacus, montre à présent quel témoin tu es du Roi céleste.')",0.0
-,"('#reponse', ""Et j'ai attendu, bientôt j'ai été saisi de la frayeur des merveilles, à la vue de ton oeuvre, entre les corps des deux animaux."")",0.0
-,"('#david', 'Dis, ô toi, David, au sujet de ton petit-fils, les causes qui te sont  connues.')",0.0
-,"('#reponse', 'Tout le troupeau converti adorait le seigneur, que tout le genre humain futur devait servir.  Le Seigneur a dit à mon Seigneur : asseyez vous à ma droite.')",0.0
-,"('#simeon', ""Que maintenant Siméon vienne, auquel il avait été répondu, qu'il ne mourrait pas avant d'avoir vu le Seigneur."")",0.0
-,"('#reponse', 'Maintenant vous me permettez, Seigneur, de finir ma vie en paix, parce que mes yeux voient à présent celui que vous avez envoyé dans ce monde, pour le salut du peuple.')",0.0
-,"('#elisabeth', 'Elisabeth parle ainsi du Seigneur, au milieu.')",0.0
-,"('#reponse', ""Qu'est ce, que la mère de mon maître le visite ?  Car, à cause de lui, dans mon ventre, en enfant joyeux palpite."")",0.0
-,"('#jean-baptiste', 'Dis, Baptiste, pour quelle cause, renfermé dans le ventre (de ta mère), as-tu donné des applaudissements au Christ ?  Apporte ton témoignage en faveur de celui pour qui tu as manifesté de la joie.')",0.0
-,"('#reponse', 'Il vient un soulier tel que je ne suis pas assez bon pour oser en délier le cordon.')",0.0
-,"('#virgile', 'Virgile, prophète des gentils, donne témoignage au Christ.')",0.0
-,"('#reponse', ""Voici qu'au pôle, une nouvelle race est descendue sur la terre."")",0.0
-,"('#nabuchodonosor', 'Courage !  Dis, la bouche à la bouteille, ce que tu sais vraiment du  Christ.')",0.0
-,"('#reponse', ""Nabuchodonosor, par une prophétie, autorise l'auteur de toutes choses."")",0.0
"('#dieu', 'Paradis.')","('#reponse', '')",0.8923438787460327
