diderot-est-il-bon-est-il-mechant,diderot-piece-prologue,Score
"('#madame-de-chepy', ""Picard.  Écoutez-moi.  Je vous défends d'ici à huit jours d'aller chez votre femme."")",-,0.0
"('#picard', ""Huit jours !  C'est bien long."")",-,0.0
"('#madame-de-chepy', ""En effet, c'est fort pressé de faire un gueux de plus, comme si l'on en manquait."")",-,0.0
"('#picard', ""Si l'on nous ôte la douceur de caresser nos femmes, qu'est-ce qui nous consolera de la dureté de nos maîtres."")",-,0.0
"('#madame-de-chepy', ""Et vous, Flamand, retenez bien ce que je vais vous dire...  Mademoiselle, la Saint-Jean n'est-elle pas dans huit jours."")",-,0.0
"('#mademoiselle-beaulieu', ""Non, Madame ; c'est dans quatre."")",-,0.0
"('#madame-de-chepy', ""Miséricorde !  Je n'ai pas un moment à perdre...  Si d'ici à quatre jours (le terme est court) je découvre que vous ayez mis le pied au cabaret, je vous chasse.  Il faut que je vous aie tous sous ma main, et que je ne vous trouve pas hors d'état de faire un pas et de prononcer un mot.  Songez qu'il n'en serait pas cette fois comme de vendredi dernier.  L'opéra fini, nous quittons la loge avant le ballet ; nous descendons Madame de Malves et moi.  Nous voilà sous le vestibule.  On appelle.  On crie.  Personne ne vient ; l'un est je ne sais où ; l'autre est mort yvre ; et sans un galant homme qui nous prit en pitié, je ne scais ce que nous serions devenues."")",-,0.0
"('#picard', 'Madame, est-ce là tout ?')",-,0.0
"('#madame-de-chepy', ""Vous Picard, allez chez le tapissier, le décorateur, les musiciens.  Soyez de retour en un clin d'oeil, et s'il se peut, amenez-moi tous ces gens-là.  Vous Flamand,...  Quelle heure est-il ?"")",-,0.0
"('#flamand', 'Il est midi.')",-,0.0
"('#madame-de-chepy', 'Midi ?  Il ne sera pas encore levé.  Courez chez lui...  Allez donc.')",-,0.0
"('#flamand', 'Qui ?  lui.')",-,0.0
"('#madame-de-chepy', ""Ô que cela est bête !...  Monsieur Hardouin.  Dites-lui qu'il vienne, qu'il vienne sur-le-champ ; que je l'attends, et que c'est pour chose importante."")",-,0.0
"('#madame-de-chepy', '... Beaulieu, par hasard, sauriez-vous lire ?')",-,0.0
"('#mademoiselle-beaulieu', 'Oui, madame.')",-,0.0
"('#madame-de-chepy', 'Avez-vous jamais joué la comédie ?')",-,0.0
"('#mademoiselle-beaulieu', 'Plusieurs fois.')",-,0.0
"('#madame-de-chepy', 'Vous déclameriez donc un peu ?')",-,0.0
"('#mademoiselle-beaulieu', 'Un peu.')",-,0.0
"('#madame-de-chepy', ""C'est vous !  Quand je vous aurais appelée, vous ne m'arriveriez pas plus à propos."")",-,0.0
"('#madame-de-vertillac', 'À quoi vous serais-je bonne ?')",-,0.0
"('#madame-de-chepy', ""Embrassons-nous d'abord...  embrassons-nous encore...  Mademoiselle, approchez une chaise ; laissez-nous faire, et revenez, avec plumes, encre, papier ; il faut qu'il trouve tout préparé."")",-,0.0
"('#madame-de-vertillac', ""Je descends de ma chaise ; je m'informe de votre demeure, et je viens.  Je suis brisée.  Un temps horrible ; des chemins abominables, des maîtres de postes insolents ; les chevaux de l'Apocalypse ; des postillons polis ; oui polis ; mais d'une lenteur à périr.  « Allons donc, postillon: nous « n'avançons pas.  À quelle heure, veux-tu que nous arrivions ? »  Ils sont sourds ; ils n'en donnent pas un coup de fouet de plus, et nous avons mis trois journées, trois mortelles journées, à faire une route de quinze heures."")",-,0.0
"('#madame-de-chepy', ""Et pourrait-on, sans être indiscrète, vous demander quelle importante affaire vous amène ici, dans cette saison.  Ce n'est rien de fâcheux, j'espère."")",-,0.0
"('#madame-de-vertillac', 'Je fuis devant un amant.')",-,0.0
"('#madame-de-chepy', ""Quand on fuit devant un amant, ce n'est pas de la lenteur des postillons qu'on se plaint."")",-,0.0
"('#madame-de-vertillac', ""Si c'était devant un amant de moi, vous auriez raison ; mais c'est devant un amant de ma fille."")",-,0.0
"('#madame-de-chepy', ""Votre fille est en âge d'être mariée ; et c'est une enfant trop raisonnable pour avoir fait un mauvais choix."")",-,0.0
"('#madame-de-vertillac', 'Son amant est charmant ; une figure intéressante, de la naissance, de la considération, de la fortune, des moeurs, mon amie !  Des moeurs !')",-,0.0
"('#madame-de-chepy', ""Ce n'est donc pas votre fille qui est folle."")",-,0.0
"('#madame-de-vertillac', 'Non.')",-,0.0
"('#madame-de-chepy', ""C'est donc vous ?"")",-,0.0
"('#madame-de-vertillac', 'Peut-être.')",-,0.0
"('#madame-de-chepy', 'Et pourrait-on savoir ce qui empêche ce mariage ?')",-,0.0
"('#madame-de-vertillac', 'La famille du jeune homme.  Enterrez-moi, ce soir, toute cette ennuyeuse, impertinente et triste famille, toute cette clique maussade de Cranceys, et je marie ma fille demain.')",-,0.0
"('#madame-de-chepy', 'Je connais peu les Cranceys ; mais ils passent pour les meilleurs gens du monde.')",-,0.0
