moissy-gourmandes,moissy-poupee,Score
-,"('#minette', ""Eh bien !  Mademoiselle, ferez-vous ce que je vous dis ?  Voulez-vous bien vous tenir droite ?  Songez que je suis votre bonne, et qu'une bonne a droit de vous faire obéir, de vous gronder quand elle veut, et de vous corriger quand vous n'obéirez pas...  Eh bien !...  À qui est-ce que je parle ?  Voulez-vous...  Eh bien !...  Ah !  Vous avez de l'humeur...  Eh bien !  Vous aurez une tape sur l'épaule, comme ma bonne m'en donne souvent plus mal-à-propos ; oui, je ne suis pas si méchante pour vous, que ma Bonne l'est pour moi, et vous n'en êtes pas plus obéissante ; mais je ferai tout comme elle, et vous aurez affaire à moi. Impromptu."")",0.0
-,"('#la-bonne', ""Ah ! ah !  Mademoiselle, vous dites-là de jolies choses à votre poupée ; je vous frappe donc mal-à-propos ; je fuis donc méchante ; allons donnez-moi votre Poupée tout-à l'heure.  Elle prend la poupée.  Vous ne la reverrez de huit jours pour vous apprendre à lui tenir de pareils discours."")",0.0
-,"('#minette', 'Mais, ma Bonne, je ne savais pas que vous étiez-là ; oh !  Rendez-moi ma Poupée.')",0.0
-,"('#la-bonne', 'Non, Mademoiselle.')",0.0
-,"('#minette', 'Vous ne voulez pas ?')",0.0
-,"('#la-bonne', ""Non, vous dis-je, elle est avec vous en trop mauvaise compagnie ; vous lui dites des menteries, et cela n'est pas bien."")",0.0
-,"('#minette', ""Eh bien !  Ma Bonne, c'est vrai, je lui ai dit que vous êtes méchante, et ce ne sont pas des menteries, comme vous voyez, puisque vous voulez m'ôter ma poupée ; aussi pourquoi écoutez vous ce que je lui dis ?  Ça n'est pas bien d'écouter les personnes qui parlent ensemble, seriez-vous bien aise que je vous écoutasse moi, quand vous causez avec Dubois, le valet de chambre de mon Papa, et qui vous dit bien d'autres choses que tout ce que j'ai dit à ma Poupée ?"")",0.0
-,"('#la-bonne', 'Mademoiselle, quand je cause avec lui, nous ne disons du mal de personne.')",0.0
-,"('#minette', ""Ah !  Vraiment, je le sais bien, vous ne vous dites que des choses sort gracieuses à l'une et à l'autre."")",0.0
-,"('#la-bonne', ""Voilà qui est bien, il ne s'agit point de cela."")",0.0
-,"('#minette', 'Eh bien !  Rendez-moi ma poupée.')",0.0
-,"('#la-bonne', ""Non, vous ne l'aurez pas, sûrement."")",0.0
-,"('#minette', 'Vous ne voulez donc pas me la rendre, une fois, deux fois, vous ne voulez pas ?')",0.0
-,"('#la-bonne', 'Non.')",0.0
-,"('#minette', 'Eh bien !  Emportez-la, je sais bien ce que je ferai.')",0.0
-,"('#la-bonne', ""Eh !  Que ferez-vous s'il vous plaît ?"")",0.0
-,"('#minette', ""Allez, je me la ferai bien rendre.  Ah !  Tenez, j'entends parler Monsieur de la Fayette, qui est mon bon ami et celui de Maman : je m'en vais lui dire qu'il me la fasse rendre."")",0.0
-,"('#la-bonne', ""Ah !  Vous pouvez lui dire tout ce qu'il vous plaira, mais il ne me forcera pas de vous la rendre."")",0.0
-,"('#minette', 'Mon bon ami, tenez, voilà ma Bonne qui vient de me prendre ma Poupée, parce que je causais avec elle, et qui veut me la garder pendant huit jours.')",0.0
-,"('#monsieur-de-la-fayette', 'Et pourquoi cela ?  Ah !  La Bonne, rendez la poupée à Mademoiselle Minette, à ma considération.')",0.0
-,"('#la-bonne', ""Non, Monsieur, je vous considère beaucoup, mais j'ai des raisons de punir Mademoiselle des propos ridicules qu'elle tient à sa poupée, en lui ôtant les moyens de s'entretenir avec elle, comme elle fait, sur mon compte."")",0.0
-,"('#monsieur-de-la-fayette', ""Eh !  Qu'est-ce qu'elle lui disait donc sur votre compte ?"")",0.0
