moliere-impromptu-versailles,sand-roi-attend,Score
"('#moliere', 'Allons donc, Messieurs et Mesdames, vous moquez-vous avec votre longueur, et ne voulez-vous pas tous venir ici ? La peste soit des gens ; holà ho, Monsieur de Brécourt ')",-,0.0
"('#brecourt', 'Quoi !')",-,0.0
"('#moliere', 'Monsieur de La Grange.')",-,0.0
"('#la-grange', ""Qu'est-ce ? "")",-,0.0
"('#moliere', 'Monsieur Du Croisy.')",-,0.0
"('#du-croisy', 'Plaît-il ? ')",-,0.0
"('#moliere', 'Mademoiselle Du Parc.')",-,0.0
"('#mademoiselle-du-parc', 'Hé bien ? ')",-,0.0
"('#moliere', 'Mademoiselle Béjart.')",-,0.0
"('#mademoiselle-bejart', ""Qu'y a-t-il ?"")",-,0.0
"('#moliere', 'Mademoiselle de Brie.')",-,0.0
"('#mademoiselle-de-brie', 'Que veut-on ? ')",-,0.0
"('#moliere', 'Mademoiselle Du Croisy.')",-,0.0
"('#mademoiselle-du-croisy', ""Qu'est-ce que c'est ? "")",-,0.0
"('#moliere', 'Mademoiselle Hervé.')",-,0.0
"('#mademoiselle-herve', 'On y va. ')",-,0.0
"('#moliere', ""Je crois que je deviendrai fou avec tous ces gens-ci.  Eh !  Têtebleu, Messieurs, me voulez-vous faire enrager aujourd'hui ?"")",-,0.0
"('#brecourt', ""Que voulez-vous qu'on fasse, nous ne savons pas nos rôles, et c'est nous faire enrager vous-même, que de nous obliger à jouer de la sorte."")",-,0.0
"('#moliere', 'Ah !  Les étranges animaux à conduire que des comédiens ! ')",-,0.0
"('#mademoiselle-bejart', 'Eh bien nous voilà, que prétendez-vous faire ? ')",-,0.0
"('#mademoiselle-du-parc', 'Quelle est votre pensée ? ')",-,0.0
"('#mademoiselle-de-brie', 'De quoi est-il question ? ')",-,0.0
"('#moliere', 'De grâce mettons-nous ici, et puisque nous voilà tous habillés, et que le Roi ne doit venir de deux heures, employons ce temps à répéter notre affaire, et voir la manière dont il faut jouer les choses. ')",-,0.0
"('#la-grange', ""Le moyen de jouer ce qu'on ne sait pas ? "")",-,0.0
"('#mademoiselle-du-parc', ""Pour moi je vous déclare que je ne me souviens pas d'un mot de mon personnage. "")",-,0.0
"('#mademoiselle-de-brie', ""Je sais bien qu'il me faudra souffler le mien d'un bout à l'autre. "")",-,0.0
"('#mademoiselle-bejart', 'Et moi je me prépare fort à tenir mon rôle à la main. ')",-,0.0
"('#mademoiselle-moliere', 'Et moi aussi. ')",-,0.0
"('#mademoiselle-herve', ""Pour moi je n'ai pas grand'chose à dire. "")",-,0.0
"('#mademoiselle-du-croisy', 'Ni moi non plus, mais avec cela je ne répondrais pas de ne point manquer. ')",-,0.0
"('#du-croisy', ""J'en voudrais être quitte pour dix pistoles."")",-,0.0
"('#brecourt', 'Et moi pour vingt bons coups de fouet, je vous assure. ')",-,0.0
"('#moliere', ""Vous voilà tous bien malades d'avoir un méchant rôle à jouer, et que feriez-vous donc si vous étiez en ma place ? "")",-,0.0
"('#mademoiselle-bejart', ""Qui, vous ?  Vous n'êtes pas à plaindre, car, ayant fait la pièce vous n'avez pas peur d'y manquer. "")",-,0.0
"('#moliere', ""Et n'ai-je à craindre que le manquement de mémoire, ne comptez-vous pour rien l'inquiétude d'un succès qui ne regarde que moi seul ?  Et pensez-vous que ce soit une petite affaire, que d'exposer quelque chose de comique devant une assemblée comme celle-ci ?  Que d'entreprendre de faire rire des personnes qui nous impriment le respect, et ne rient que quand ils veulent. Est-il auteur qui ne doive trembler lorsqu'il en vient à cette épreuve ?  Et n'est-ce pas à moi de dire que je voudrais en être quitte pour toutes les choses du monde ? "")",-,0.0
"('#mademoiselle-bejart', ""Si cela vous faisait trembler, vous prendriez mieux vos précautions, et n'auriez pas entrepris en huit jours ce que vous avez fait. "")",-,0.0
"('#moliere', ""Le moyen de m'en défendre, quand un Roi me l'a commandé ? "")",-,0.0
"('#mademoiselle-bejart', ""Le moyen !  Une respectueuse excuse fondée sur l'impossibilité de la chose dans le peu de temps qu'on vous donne ; et tout autre en votre place ménagerait mieux sa réputation, et se serait bien gardé de se commettre comme vous faites.  Où en serez-vous, je vous prie, si l'affaire réussit mal ?  Et quel avantage pensez-vous qu'en prendront tous vos ennemis ? "")",-,0.0
"('#mademoiselle-de-brie', ""En effet il fallait s'excuser avec respect envers le Roi, ou demander du temps davantage."")",-,0.0
"('#moliere', ""Mon_Dieu, Mademoiselle, les rois n'aiment rien tant qu'une prompte obéissance, et ne se plaisent point du tout à trouver des obstacles.  Les choses ne sont bonnes que dans le temps qu'ils les souhaitent ; et leur en vouloir reculer le divertissement, est en ôter pour eux toute la grâce.  Ils veulent des plaisirs qui ne se fassent point attendre, et les moins préparés leur sont toujours les plus agréables, nous ne devons jamais nous regarder dans ce qu'ils désirent de nous, nous ne sommes que pour leur plaire ; et lorsqu'ils nous ordonnent quelque chose, c'est à nous à profiter vite de l'envie où ils sont.  Il vaut mieux s'acquitter mal de ce qu'ils nous demandent, que de ne s'en acquitter pas assez tôt ; et si l'on a la honte de n'avoir pas bien réussi, on a toujours la gloire d'avoir obéi vite à leurs commandements.  Mais songeons à répéter s'il vous plaît. "")",-,0.0
"('#mademoiselle-bejart', 'Comment prétendez-vous que nous fassions, si nous ne savons pas nos rôles ? ')",-,0.0
"('#moliere', ""Vous les saurez, vous dis-je, et quand même vous ne les sauriez pas tout à fait, pouvez-vous pas y suppléer de votre esprit, puisque c'est de la prose, et que vous savez votre sujet ? "")",-,0.0
"('#mademoiselle-bejart', 'Je suis votre servante, la prose est pis encore que les vers. ')",-,0.0
"('#mademoiselle-moliere', 'Voulez-vous que je vous dise, vous deviez faire une comédie où vous auriez joué tout seul. ')",-,0.0
"('#moliere', 'Taisez-vous, ma femme, vous êtes une bête. ')",-,0.0
"('#mademoiselle-moliere', ""Grand merci, Monsieur mon mari, voilà ce que c'est, le mariage change bien les gens, et vous ne m'auriez pas dit cela il y a dix-huit mois. "")",-,0.0
"('#moliere', 'Taisez-vous, je vous prie. ')",-,0.0
"('#mademoiselle-moliere', ""C'est une chose étrange, qu'une petite cérémonie soit capable de nous ôter toutes nos belles qualités, et qu'un mari, et un galant regardent la même personne avec des yeux si différents. "")",-,0.0
"('#moliere', 'Que de discours ! ')",-,0.0
"('#mademoiselle-moliere', ""Ma foi, si je faisais une comédie, je la ferais sur ce sujet, je justifierais les femmes de bien des choses dont on les accuse, et je ferais craindre aux maris la différence qu'il y a de leurs manières brusques aux civilités des galants. "")",-,0.0
"('#moliere', ""Ahy, laissons cela, il n'est pas question de causer maintenant, nous avons autre chose à faire. "")",-,0.0
"('#mademoiselle-bejart', ""Mais puisqu'on vous a commandé de travailler sur le sujet de la Critique qu'on a faite contre vous, que n'avez-vous fait cette comédie des comédiens dont vous nous avez parlé il y a longtemps, c'était une affaire toute trouvée, et qui venait fort bien à la chose, et d'autant mieux, qu'ayant entrepris de vous peindre, ils vous ouvraient l'occasion de les peindre aussi, et que cela aurait pu s'appeler leur portrait, à bien plus juste titre que tout ce qu'ils ont fait ne peut être appelé le vôtre ; car vouloir contrefaire un comédien dans un rôle comique, ce n'est pas le peindre lui-même, c'est peindre d'après lui les personnages qu'il représente, et se servir des mêmes traits et des mêmes couleurs, qu'il est obligé d'employer aux différents tableaux des caractères ridicules, qu'il imite d'après nature.  Mais contrefaire un comédien dans des rôles sérieux, c'est le peindre par des défauts qui sont entièrement de lui, puisque ces sortes de personnages ne veulent, ni les gestes, ni les tons de voix ridicules, dans lesquels on le reconnaît. "")",-,0.0
"('#moliere', ""Il est vrai, mais j'ai mes raisons pour ne le pas faire, et je n'ai pas cru entre nous que la chose en valût la peine, et puis il fallait plus de temps pour exécuter cette idée.  Comme leurs jours de comédies sont les mêmes que les nôtres, à peine ai-je été les voir, que trois ou quatre fois depuis que nous sommes à Paris ; je n'ai attrapé de leur manière de réciter, que ce qui m'a d'abord sauté aux yeux, et j'aurais eu besoin de les étudier davantage pour faire des portraits bien ressemblants."")",-,0.0
"('#mademoiselle-du-parc', ""Pour moi, j'en ai reconnu quelques-uns dans votre bouche. "")",-,0.0
"('#mademoiselle-de-brie', ""Je n'ai jamais ouï parler de cela. "")",-,0.0
"('#moliere', ""C'est une idée qui m'avait passé une fois par la tête, et que j'ai laissée là comme une bagatelle, une badinerie, qui peut-être n'aurait point fait rire. "")",-,0.0
"('#mademoiselle-de-brie', ""Dites-la-moi un peu, puisque vous l'avez dite aux autres. "")",-,0.0
"('#moliere', ""Nous n'avons pas le temps maintenant. "")",-,0.0
"('#mademoiselle-de-brie', 'Seulement deux mots. ')",-,0.0
