quinault-alceste,quinault-proserpine,Score
"('#la-nymphe-de-la-seine', ""LE HÉROS que j'attends, ne reviendra-t-il pas ?  Serai-je toujours languissante  Dans une si cruelle attente ?  LE HÉROS que j'attends, ne reviendra-t-il pas ?  On n'entend plus d'Oiseau qui chante,  On ne voit plus de Fleurs qui naissent sous nos pas :  LE HÉROS que j'attends, ne reviendra-t-il pas ?  L'herbe naissante  Paraît mourante,  Tout languit avec moi dans ces lieux plein d'appas :  LE HÉROS que j'attends, ne reviendra-t-il pas ?  Serai-je toujours languissante  Dans une si cruelle attente ?  LE HÉROS que j'attends, ne reviendra-t-il pas ?  Bruit de Guerre. Quel bruit de guerre m'épouvante ?  Quelle Divinité va descendre ici-bas. "")",-,0.0
"('#la-nymphe-de-la-seine', ""Hélas ! Superbe Gloire, hélas !  Ne dois-tu point être contente !  LE HEROS que j'attends, ne reviendra-t-il pas ?  Il ne te suit que trop dans l'horreur des Combats ;  Laisse en paix un moment sa Valeur triomphante  LE HEROS que j'attends, ne reviendra-t-il pas ? "")",-,0.0
"('#la-gloire', ""Pourquoi tant de murmure ? Nymphe, ta plainte est vaine,  Tu ne peux voir sans moi LE HEROS que tu sers,  Si son éloignement te coûte tant de peine,  Il récompense assez les douceurs que tu perds,  Vois ce qu'il fait pour Toi, quand la Gloire l'emmène ;  Vois comme sa Valeur a soumis à la Seine  Le Fleuve le plus fier qui soit dans l'Univers. "")",-,0.0
"('#la-nymphe-de-la-seine', 'On ne voit plus ici paraître  Que des Ornements imparfaits ;  Ah ! Rends-nous notre AUGUSTE MAITRE,  Tu nous rendras tous nos attraits. ')",-,0.0
"('#la-gloire', ""Il revient, et tu dois m'en croire ;  Je lui sers de guide avec soin :  Puisque tu vois la Gloire,  Ton Héros n'est pas loin.  Il laisse respirer tout le Monde qui tremble ;  Soyons ici d'accord pour combler ses désirs. "")",-,0.0
"('#ensemble', ""Qu'il est doux d'accorder ensemble  La Gloire, et les Plaisirs. "")",-,0.0
"('#la-nymphe-de-la-seine', ""Naïades, Dieux des Bois, Nymphes, que tout s'assemble,  Qu'on entende nos chants après tant de soupirs. "")",-,0.0
"('#choeur', ""Qu'il est doux d'accorder ensemble  La Gloire, et les Plaisirs. "")",-,0.0
"('#la-nymphe-des-tuileries', ""L'art d'accord avec la Nature  Sert l'Amour dans ces lieux charmants :  Ces Eaux qui font rêver par un si doux murmure,  Ces Tapis où les Fleurs forment tant d'ornements,  Ces Gazons, ces Lits de verdure,  Tout n'est fait que pour les Amants."")",-,0.0
"('#la-nymphe-de-la-marne', ""L'onde se presse  D'aller sans cesse  Jusqu'au bout de son cours :  S'il faut qu'un coeur suive une pente,  En est-il qui soit plus charmante  Que le doux penchant des Amours ?  On danse."")",-,0.0
"('#la-gloire #la-nymphe-de-la-seine', 'Que tout retentisse,  Que tout réponde à nos voix. ')",-,0.0
"('#la-nymphe-de-la-tuileries', 'Que tout fleurisse  Dans nos jardins et dans nos bois. ')",-,0.0
"('#la-nymphe-de-la-marne', ""Que le Chant des Oiseaux s'unisse  Avec le doux son des Hautbois. "")",-,0.0
"('#tous-ensemble', ""Que tout retentisse,  Que tout réponde à nos voix :  Que le Chant des Oiseaux s'unisse  Avec le doux son des hautbois. Que tout retentisse,  Que tout réponde à nos voix.  On danse."")",-,0.0
"('#choeur', ""Quel coeur sauvage  Ici ne s'engage ?  Quel coeur sauvage  Ne sent point l'amour ?  Nous allons voir les Plaisirs de retour ;  Ne manquons pas d'en faire un doux usage :  Pour rire un peu, l'on n'est pas moins sage.  Ah, quel dommage  De fuir ce rivage !  Ah, quel dommage  De perdre un beau jour !  Nous allons voir les Plaisirs de retour ;  Ne manquons pas d'en faire un doux usage :  Pour rire un peu, l'on n'est pas moins sage.  On danse."")",-,0.0
"('#choeurs', 'Revenez, Plaisirs exilés,  Volez de toutes parts, volez.  Les Plaisirs volent, et viennent préparer des Divertissements.')",-,0.0
"('#choeur', 'Vivez, vivez, heureux époux. ')",-,0.0
"('#licas', 'Votre Ami le plus cher, épouse la Princesse  La plus charmante de la Grèce :  Lorsque chacun les suit, Seigneur, les fuyez-vous ? ')",-,0.0
"('#choeur', 'Vivez, vivez, heureux Époux. ')",-,0.0
"('#licas', ""Vous paraissez troublé des cris qui retentissent ?  Quand deux Amants heureux s'unissent  Le coeur du grand Alcide en serait-il jaloux ? "")",-,0.0
"('#choeur', 'Vivez, vivez, heureux Époux. ')",-,0.0
"('#licas', 'Seigneur, vous soupirez, et gardez le silence ? ')",-,0.0
"('#alcide', 'Ah ! Licas, laisse-moi partir en diligence. ')",-,0.0
"('#licas', 'Quoi ! Dès ce même jour presser votre départ ? ')",-,0.0
"('#alcide', ""J'aurai beau me presser, je partirai trop tard.  Ce n'est point avec toi que je prétends me taire ;  Alceste est trop aimable, elle a trop su me plaire ;  Un autre en est aimé, rien ne flatte mes voeux :  C'en est fait, Admète l'épouse,  Et c'est dans ce moment qu'on les unit tous deux.  Ah ! Qu'une âme jalouse  Éprouve un tourment rigoureux !  J'ai peine à l'exprimer moi-même :  Figure-toi, si tu le peux,  Quelle est l'horreur extrême  De voir ce que l'on aime,  Au pouvoir d'un Rival heureux. "")",-,0.0
"('#licas', ""L'Amour est-il plus fort qu'un Héros indomptable ? L'Univers n'a point eu de Monstre redoutable  Que vous n'ayez pu surmonter. "")",-,0.0
"('#alcide', ""Eh, crois-tu que l'Amour soit moins à redouter ?  Le plus grand coeur a sa faiblesse.  Je ne puis me sauver de l'ardeur qui me presse  Qu'en quittant ce fatal Séjour :  Contre d'aimables charmes  La valeur est sans armes,  Et ce n'est qu'en fuyant qu'on peut vaincre l'Amour. "")",-,0.0
"('#licas', ""Vous devez vous forcer, au moins à voir la Fête  Qui déjà dans ce Port, vous paraît toute prête.  Votre fuite à présent ferait un trop grand bruit ;  Différez jusqu'à la nuit. "")",-,0.0
"('#alcide', 'Ah Licas ! Quelle nuit ! Ah quelle nuit funeste ! ')",-,0.0
"('#licas', 'Tout le reste du jour voyez encore Alceste. ')",-,0.0
"('#alcide', ""La voir encore !... Hé bien différons mon départ,  Je vous l'avais bien dit, je partirai trop tard.  Je vais la voir aimer un Époux qui l'adore,  Je verrai dans leurs yeux un tendre empressement :  Que je vais payer chèrement  Le plaisir de la voir encore ! "")",-,0.0
"('#ensemble', ""L'Amour a bien des maux, mais le plus grand de tous,  C'est le tourment d'être jaloux. "")",-,0.0
"('#straton', ""Licas, j'ai deux mots à te dire. "")",-,0.0
"('#licas', ""Que veux-tu ? Parle je t'entends. "")",-,0.0
"('#straton', ""Nous sommes amis de tout temps ;  Céphise, tu le sais, me tient sous son empire,  Tu suis partout ses pas : qu'est-ce que tu prétends ? "")",-,0.0
"('#licas', 'Je prétends rire. ')",-,0.0
"('#straton', 'Pourquoi veux-tu troubler deux coeurs qui sont contents ? ')",-,0.0
"('#licas', ""Je prétends rire.  Tu peux à ton gré t'enflammer ;  Chacun a sa façon d'aimer ;  Qui voudra soupirer, soupire,  Je prétends rire. "")",-,0.0
"('#straton', ""J'aime, et je suis aimé ; laisse en paix nos amours. "")",-,0.0
"('#licas', ""Rien ne doit t'alarmer, s'il est bien vrai qu'on t'aime ;  Un rival rebuté donne un plaisir extrême. "")",-,0.0
"('#straton', ""Un Rival tel qu'il soit importune toujours. "")",-,0.0
"('#licas', ""Je vois ton amour sans colère,  Tu devrais en user ainsi :  Puisque Céphise t'a su plaire,  Pourquoi ne veux-tu pas qu'elle me plaise aussi ? "")",-,0.0
"('#straton', ""À quoi sert-il d'aimer ce qu'il faut que l'on quitte ?  Tu ne peux demeurer longtemps dans cette Cour. "")",-,0.0
"('#licas', ""Moins on a de moments à donner à l'Amour.  Et plus il faut qu'on en profite. "")",-,0.0
"('#straton', ""J'aime depuis deux ans avec fidélité :  Je puis croire sans vanité,  Que tu ne dois pas être un Rival qui m'alarme. "")",-,0.0
"('#licas', ""J'ai pour moi la nouveauté ;  En amour c'est un grand charme. "")",-,0.0
"('#straton', ""Céphise m'a promis un coeur tendre et constant. "")",-,0.0
"('#licas', ""Céphise m'en promet autant. "")",-,0.0
"('#straton', ""Ah si je le croyais !... Mais tu n'es pas croyable. "")",-,0.0
"('#licas', ""Crois-moi, fais ton profit d'un reste d'amitié,  Sers-toi d'un avis charitable  Que je te donne par pitié. "")",-,0.0
"('#straton', ""Le mépris d'une volage  Doit être un assez grand mal,  Et c'est un nouvel outrage  Que la pitié d'un Rival.  Elle vient l'Infidèle,  Pour chanter dans les Jeux dont je prends soin ici. "")",-,0.0
"('#licas', ""Je te laisse avec elle,  Il ne tiendra qu'à toi d'être mieux éclairci. "")",-,0.0
"('#cephise', 'Dans ce beau jour, quelle humeur sombre  Fais-tu voir à contretemps ? ')",-,0.0
"('#straton', ""C'est que je ne suis pas du nombre  Des Amants qui sont contents. "")",-,0.0
"('#cephise', ""Un ton grondeur et sévère  N'est pas un grand agrément ;  Le chagrin n'avance guère  Les affaires d'un Amant. "")",-,0.0
"('#straton', ""Licas vient de me faire entendre  Que je n'ai plus ton coeur, qu'il doit seul y prétendre,  Et que tu ne vois plus mon amour qu'à regret ! "")",-,0.0
"('#cephise', 'Licas est peu discret... ')",-,0.0
"('#straton', ""Ah je m'en doutais bien qu'il voulait me surprendre. "")",-,0.0
"('#cephise', ""Licas est peu discret  D'avoir dit mon secret. "")",-,0.0
"('#straton', ""Comment ! Il est donc vrai ! Tu n'en fais point d'excuse ?  Tu me trahis ainsi sans en être confuse ? "")",-,0.0
"('#cephise', 'Tu te plains sans raison ;  Est-ce une trahison,  Quand on te désabuse ? ')",-,0.0
"('#straton', 'Que je suis étonné de voir ton changement ! ')",-,0.0
"('#cephise', ""Si je change d'Amant  Qu'y trouves-tu d'étrange ?  Est-ce un sujet d'étonnement  De voir une fille qui change ? "")",-,0.0
"('#straton', 'Après deux ans passés dans un si doux lien,  Devais-tu jamais prendre une chaîne nouvelle ? ')",-,0.0
"('#cephise', ""Ne comptes-tu pour rien  D'être deux ans fidèle ? "")",-,0.0
"('#straton', ""Par un espoir doux et trompeur,  Pourquoi m'engageais-tu dans un amour si tendre ?  Fallait-il me donner ton coeur,  Puisque tu voulais le reprendre ? "")",-,0.0
"('#cephise', ""Quand je t'offris mon coeur, c'était de bonne foi ;  Que n'empêches-tu qu'on te l'ôte ?  Est-ce ma faute  Si Licas me plaît plus que toi ? "")",-,0.0
"('#straton', 'Ingrate, est-ce le prix de ma persévérance ? ')",-,0.0
"('#cephise', ""Essaye un peu de l'inconstance :  C'est toi qui le premier m'appris à m'engager :  Pour récompense  Je te veux apprendre à changer. "")",-,0.0
"('#straton #cephise', 'Il faut aimer toujours.  Il faut changer toujours.  Les plus douces amours  Sont les amours fidèles :  Sont les amours nouvelles :  Il faut aimer toujours.  Il faut changer toujours. ')",-,0.0
"('#licomede', ""Straton, donne ordre qu'on s'apprête  Pour commencer la Fête.  STRATON se retire."")",-,0.0
"('#licomede', ""Enfin, grâce au dépit, je goûte la douceur  De sentir le repos de retour dans mon coeur.  J'étais à préférer au Roi de Thessalie ;  Et si pour sa gloire, on publie  Qu'Apollon autrefois lui servit de Pasteur,  Je suis Roi de Scyros, et Thétis est ma soeur.  J'ai su me consoler d'un hymen qui m'outrage,  J'en ordonne les Jeux avec tranquillité.  Qu'aisément le dépit dégage  Des fers d'une ingrate Beauté :  Et qu'après un long esclavage,  Il est doux d'être en liberté. "")",-,0.0
