racine-plaideurs,racine-plaideurs-69,Score
"('#petit-jean', ""Ma foi, sur l'avenir, bien fou qui se fiera. Tel qui rit vendredi, dimanche pleurera. Un juge, l'an passé, me prit à son service, Il m'avait fait venir d'Amiens pour être Suisse. Tous ces Normands voulaient se divertir de nous,  On apprend à hurler, dit l'autre, avec les loups. Tout Picard que j'étais, j'étais un bon apôtre, Et je faisais claquer mon fouet tout comme un autre. Tous les plus gros monsieurs me parlaient chapeau bas. Monsieur de Petit Jean, ah ! gros comme le bras.  Mais sans argent, l'honneur n'est qu'une maladie ; Ma foi j'étais un franc portier de comédie, On avait beau heurter et m'ôter son chapeau, On n'entrait point chez nous sans graisser le marteau. Point d'argent, point de suisse, et ma porte était close.  Il est vrai qu'à Monsieur j'en rendais quelque chose. Nous comptions quelquefois. On me donnait le soin De fournir la maison de chandelle et de foin, Mais je n'y perdais rien. Enfin vaille que vaille, J'aurais sur le marché fort bien fourni la paille.  C'est dommage. Il avait le coeur trop au métier, Tous les jours le premier aux plaids, et le dernier, Et bien souvent tout seul, si l'on l'eût voulu croire, Il y serait couché sans manger et sans boire. Je lui disais parfois : « Monsieur Perrin Dandin,  Tout franc, vous vous levez tous les jours trop matin. Qui veut voyager loin, ménage sa monture ; Buvez, mangez, dormez, et faisons feu qui dure. » Il n'en a tenu compte. Il a si bien veillé, Et si bien fait, qu'on dit que son timbre est brouillé.  Il nous veut tous juger les uns après les autres. Il marmotte toujours certaines patenôtres Où je ne comprends rien. Il veut bon gré, mal gré, Ne se coucher qu'en robe, et qu'en bonnet carré. Il fit couper la tête à son coq de colère,  Pour l'avoir éveillé plus tard qu'à l'ordinaire : Il disait qu'un plaideur, dont l'affaire allait mal, Avait graissé la patte à ce pauvre animal. Depuis ce bel arrêt, le pauvre homme a beau faire, Son fils ne souffre plus qu'on lui parle d'affaire.  Il nous le fait garder, jour et nuit, et de près. Autrement serviteur, et mon homme est aux plaids. Pour s'échapper de nous, Dieu sait s'il est allègre. Pour moi, je ne dors plus. Aussi je deviens maigre, C'est pitié. Je m'étends, et ne fais que bâiller.  Mais veille qui voudra, voici mon oreiller, Ma foi, pour cette nuit, il faut que je m'en donne, Pour dormir dans la rue on n'offense personne. Dormons."")",-,0.0
"('#l-intime', 'Hé, Petit Jean, Petit Jean.')","('#l-intime', 'Ay, Petit-Jean, Petit-Jean.')",0.8986021876335144
"('#petit-jean', ""L'Intimé. Il a déjà bien peur de me voir enrhumé. "")","('#petit-jean', ""L'Intimé. Il a déjà bien peur de me voir enrhumé. "")",1.0000001192092896
"('#l-intime', 'Que diable ! Si matin que fais-tu dans la rue ?')","('#l-intime', 'Que diable ! Si matin que fais-tu dans la rue ?')",1.0
"('#petit-jean', ""Est-ce qu'il faut toujours faire le pied de grue, Garder toujours un homme, et l'entendre crier ? Quelle gueule ! Pour moi, je crois qu'il est sorcier."")","('#petit-jean', ""Est-ce qu'il faut toujours faire le pied de grue, Garder toujours un homme, et l'entendre crier ? Quelle gueule ! Pour moi, je crois qu'il est sorcier."")",1.0000001192092896
"('#l-intime', 'Bon.')","('#l-intime', 'Bon.')",0.9999998807907104
"('#petit-jean', ""Je lui disais donc en me grattant la tête,  Que je voulais dormir. « Présente ta requête Comme tu veux dormir », m'a-t-il dit gravement. Je dors en te contant la chose seulement. Bonsoir."")","('#petit-jean', ""Je lui disais donc en me grattant la tête,  Que je voulais dormir. Présente ta requête Comme tu veux dormir, m'a-t-il dit gravement. Je dors en te contant la chose seulement. Bonsoir."")",0.9923709630966187
"('#l-intime', ""Comment bonsoir ? Que le diable m'emporte Si... Mais j'entends du bruit au dessus de la porte. "")","('#l-intime', ""Comment bonsoir ? Que le diable m'emporte Si... Mais j'entends du bruit au dessus de la porte."")",1.0
"('#dandin', ""Petit Jean. L'Intimé."")","('#dandin', ""Petit-Jean. L'Intimé."")",0.9348301887512207
"('#l-intime', 'Paix.')","('#l-intime', 'Paix.')",1.000000238418579
"('#dandin', 'Je suis seul ici. Voilà mes guichetiers en défaut, Dieu merci. Si je leur donne temps, ils pourront comparaître. Çà, pour nous élargir, sautons par la fenêtre. Hors de cour.')","('#dandin', 'Je suis seul ici. Voilà mes guichetiers en défaut, Dieu merci. Si je leur donne temps, ils pourront comparaître. Çà, pour nous élargir, sautons par la fenêtre. Hors de cour.')",0.9999998807907104
"('#l-intime', 'Comme il saute.')","('#l-intime', 'Comme il saute.')",0.9999998807907104
"('#petit-jean', 'Ho ! Monsieur, je vous tiens. ')","('#petit-jean', 'Ho, Monsieur, je vous tiens. ')",0.9491304159164429
"('#dandin', 'Au voleur, au voleur.')","('#dandin', 'Au voleur, au voleur.')",0.9999998807907104
"('#petit-jean', 'Ho ! Nous vous tenons bien.')","('#petit-jean', 'Ho, nous vous tenons bien.')",0.9659522771835327
"('#l-intime', 'Vous avez beau crier.')","('#l-intime', 'Vous avez beau crier.')",0.9999998211860657
