racine-thebaide-64,rotrou-antigone,Score
"('#jocaste', ""Ils sont sortis, Olympe ? Ah mortelles douleurs ! Qu'un moment de repos me va coûter de pleurs ! Mes yeux depuis six mois étaient ouverts aux larmes, Et le sommeil les ferme en de telles alarmes ? Il devait bien plutôt les fermer à jamais, Que de favoriser le plus noirs des forfaits. Mais en sont-ils aux mains ?"")",-,0.0
"('#olympe', ""Du haut de la muraille, Je les ai vus déjà tous rangés en bataille, J'ai vu déjà le fer briller de toutes parts, Et pour vous avertir, j'ai quitté les remparts. J'ai vu le fer en main Étéocle lui-même ; Il marche des premiers, et d'une ardeur extrême Il montre aux plus hardis à braver le danger."")",-,0.0
"('#jocaste', ""N'en doutons plus, Olympe, ils se vont égorger. Que l'on aille au plus vite avertir la Princesse, Je l'attends. Juste ciel ! Soutenez ma faiblesse, Il faut, il faut courir après ces inhumains, Il les faut séparer, ou mourir par leurs mains. Nous voici donc, Olympe, à ce jour détestable Nous voici donc, Olympe, me rendait misérable Dont la seule frayeur, ni pleurs ne m'ont de rien servi, Et le courroux du sort voulait être assouvi. Ô toi, qui que tu sois qui rends le jour au monde, Que ne l'as-tu laissé dans une nuit profonde ? À de si noirs forfaits, prêtes-tu tes rayons, Et peux-tu sans horreur voir ce que nous voyons ? Mais ces monstres, hélas ! Ne t'épouvantent guère, Le seul sang de Laïus les a rendus vulgaires ; Tu peux voir sans frayeur les crimes de mes fils, Après ceux que le père et la mère ont commis : Tu ne t'étonnes pas si mes fils sont perfides, S'ils sont tous deux méchants, et s'ils sont parricides, Tu sais qu'ils sont sortis d'un sang incestueux, Et tu t'étonnerais s'ils étaient vertueux. Ce sang en leur donnant la lumière céleste, Leur donna pour le crime un pente funeste, Et leurs coeurs infectés de ce fatal poison, S'ouvrirent à la haine avant qu'à la raison. À un page."")",-,0.0
"('#jocaste', ""Ma fille, avez-vous su l'excès de nos misères."")",-,0.0
"('#antigone', ""Oui, Madame, on m'a dit la fureur de mes frères."")",-,0.0
"('#jocaste', ""Allons, chère Antigone, allons tout de ce pas, Arrêter s'il se peut leur parricide bras. Allons leur faire voir ce qu'ils ont de plus tendre ; Voyons si contre nous ils pourront se défendre, Ou s'ils oseront bien dans leur noire fureur Répandre notre sang pour attaquer le leur."")",-,0.0
"('#antigone', ""Madame, c'en est fait, voici le Roi lui-même."")",-,0.0
"('#jocaste', 'Olympe, soutiens-moi, ma douleur est extrême.')",-,0.0
"('#eteocle', ""Madame qu'avez-vous ? Et quel mal si caché..."")",-,0.0
"('#jocaste', ""Ah ! Mon fils, de quel sang êtes vous-là taché ? Est-ce de votre frère, ou n'est-ce point du vôtre ?"")",-,0.0
"('#eteocle', ""Non Madame, ce n'est ni de l'un ni de l'autre, Poynice à mes yeux ne s'est point présenté, Et l'on s'est peu battu d'un et d'autre côté. Seulement quelques grecs d'un insolent courage, M'ayant osé d'abord disputé le passage, J'ai fait mordre la poudre à ces audacieux, Et leur sang est celui qui paraît à vos yeux."")",-,0.0
"('#jocaste', ""Mais pourquoi donc sortir avec votre armée, Quel est ce mouvement qui m'a tant alarmée ?"")",-,0.0
"('#eteocle', ""Madame, il était temps que j'en usasse ainsi, Et je perdais ma gloire à demeurer ici. Je n'ai que trop langui derrière une muraille, Je brûlais de me voir en un champ de bataille, Lorsque l'on peut paraître au milieu des hasards, Un grand coeur est honteux de garder des remparts. J'étais las d'endurer que le fier Polynice Me reprochât tout haut cet indigne exercice, Et criât aux Thébains afin de les gagner, Que je laissais aux fers ceux qui me font régner. Le peuple à qui la faim se faisait déjà craindre, De mon peu de vigueur commençait à se plaindre, Ma reprochant déjà qu'il m'avait couronné, Et que j'occupais mal le rang qu'il m'a donné. Il le faut satisfaire, et quoi qu'il en arrive, Thèbes dès aujourd'hui ne sera plus captive, Je veux, en n'y laissant aucun de mes soldats, Qu'elle soit seulement juge de nos combats. J'ai des forces assez pour tenir la campagne, Et si quelque bonheur nos armes accompagne, L'insolent Polynice et ses grecs orgueilleux, Laisseront Thèbes libre, ou mouront à ses yeux."")",-,0.0
"('#jocaste', ""Vous préserve le Ciel d'une telle victoire, Thèbes ne veut point voir une action si noire, Laissez là à son salut et n'y songez jamais ; La guerre vaut bien mieux que cette affreuse paix. Dure-t-elle à jamais cette cruelle guerre, Dont le flambeau fatal désole cette terre. Prolongez nos malheurs, augmentez-les toujours, Plutôt qu'un si grand crime en arrête le cours. Vous-même d'un tel sang souilleriez vous vos armes ? La couronne pour vous a-t-elle tant de charmes ? Si par un parricide il la fallait gagner Ah ! Mon fils à ce prix voudriez vous régner ? Mais il ne tient qu'à vous si l'honneur vous anime, De nous donner la paix, sans le secours d'un crime, Vous pouvez-vous montrer généreux tout à fait, Contenter votre frère, et régner en effet."")",-,0.0
"('#eteocle', 'Appelez-vous régner partager ma couronne, Quand le sang, et le peuple me la donne ?')",-,0.0
"('#jocaste', ""Vous savez bien, mon fils, que le choix et le sang Lui donnent comme à vous sa part à ce haut rang. Oedipe en achevant sa triste destinée Ordonna que chacun régnerait son année, Et n'ayant qu'un État à mettre sous vos lois, Il voulut que tous deux vous fussiez les Rois. À ces conditions vous voulûtes souscrire, Le sort vous appela le premier à l'Empire, Vous montâtes au trône, il n'en fut point jaloux, Et vous ne voulez pas qu'il y monte après vous ?"")",-,0.0
"('#eteocle', ""Il est vrai, je promis, ce que voulut mon père, Pour un trône est-il rien qu'on refuse de faire ? On promet tout, Madame, afin d'y parvenir, Mais on ne songe après qu'à s'y bien maintenir. J'étais alors sujet, et dans l'obéissance, Et je tiens aujourd'hui la suprême puissance : Ce que je fis alors ne m'est plus une loi, Le devoir d'un sujet n'est pas celui d'un Roi. D'abord que sur sa tête il reçoit la Couronne, Un roi sort à l'instant de sa propre personne, L'intérêt du public doit devenir le sien, Il doit tout à l'État, et ne se doit rien."")",-,0.0
"('#jocaste', ""Au moins doit-il, mon fils, quelque choses à sa gloire, Dont le soin ne doit pas sortir de sa mémoire, Et quand ce nouveau rang l'affranchirait des lois, Au moins doit il tenir sa parole à des Rois."")",-,0.0
"('#eteocle', ""Polynice à ce titre aurait tort de prétendre, Thèbes sous son pouvoir n'a point voulu se rendre, Et lorsque sur le trône il s'est voulu placer, C'est elle et non pas moi qui l'en a su chasser. Thèbes doit-elle moins redouter sa puissance, Après avoir six mois senti sa violence ? Voudrait-elle obéir à ce prince inhumain Qui vient d'armer contre elle et le fer et la faim ? Prendrait-elle pour Roi l'esclave de Mycène Qui pour tous les Thébains n'a plus que de la haine, Qui s'est au Roi d'Argos indignement soumis, Et que l'hymen attache à nos fiers ennemis ? Lorsque le roi d'Argos l'a choisi pour son gendre, Il espérait par lui de voir Thèbes en cendre, L'amour eut peu de part à cet hymen honteux, Et la seule fureur en alluma les feux. Thèbes m'a couronné pour éviter ses chaînes ; Elle s'attend par moi de voir finir ses peines, Il la faut accuser si je manque de foi, Et je suis son captif, je ne suis pas son Roi."")",-,0.0
"('#jocaste', ""Dites, dites plutôt, coeur ingrat et farouche, Qu'auprès du diadème il n'est rien qui vous touche ; Mais je me trompe encor, ce rang ne vous plaît pas, Et le crime tout seul a pour vous des appas. Hé ! Bien, puisqu'à ce point vous en êtes avide, Je vous offre à commettre un double parricide, Versez le sang d'un frère : et si c'est peu du sien, Je vous invite encore à répandre le mien. Vous n'aurez plus alors d'ennemis à soumettre, D'obstacle à surmonter ni de crime à commettre, Et n'ayant plus au trône un fâcheux concurrent, De tous les criminels vous serez le plus grand."")",-,0.0
"('#eteocle', ""Hé bien, Madame, hé bien, il faut vous satisfaire, Il faut sortir du trône et couronner mon frère, Il faut pour seconder votre injuste projet, De son roi que j'étais devenir son sujet. Et pour vous élever au comble de la joie, Il faut à sa fureur que je me livre en proie, Il faut par mon trépas..."")",-,0.0
