schelandre-tyr-sidon-i,schelandre-tyr-sidon-ii,Score
"('#leonte', ""Ô grand fils de Junon, qui d'un tour de ton bras Peux lever un empire ou le verser à bas, Dieu de tous les vaillants aussi bien que des Thraces, Ô mars ! Père d'honneur, je te rends mille grâces. Et toi, puissant Hercule, honte des fainéants, Invincible ennemi des monstres et géants, Qui vois comme dans Tyr on révère ton temple (Peut-être le plus beau que tout le ciel contemple), Mon patron, je t'estime entre les demi-dieux Comme entre les flambeaux le soleil radieux, Et promets à ce coup, si l'ennemi succombe, À tous vos deux autels une entière hécatombe. Car c'est de vos faveurs, ces deux derniers étés, Qu'en ma charge ayant pris des soldats rebutés, Des fuyards coutumiers, jouets de l'épouvante, Moins fermes que la paille en tourbillon mouvante, Je les ai rassurés, les ai tant affermis Qu'ils ont barre aujourd'hui sur tous leurs ennemis. Tant de ces roitelets qui, depuis Alexandre, Ont osé contre nous la Phénice entreprendre, Ne pouvant plus d'eux-même en armes subsister, Viennent ceux de Sidon tous en ligne assister. Mais qu'ils sont bien trompés ! Je peins la crainte blême Au milieu de leurs fronts dans leur enceinte même, Tant sont-ils acculés, au petit pied réduits !"")",-,0.0
"('#phulter', ""Pensez-y, Monseigneur : ils sont trop bien conduits Pour faire sans dessein des fuites et remises. Tel lâche bien le pied qui veut venir aux prises ; Ils ont un capitaine en santé revenu, Leur prince, homme sans peur, qui n'est que trop connu Pour un habile maître en l'art de la milice. Que si, jusqu'à présent, il évite la lice, Peut-être qu'en cédant le champ plus spacieux, Il veut s'avantager en assiette de lieux Ou nous veut attirer par quelque stratagème."")",-,0.0
"('#leonte', ""Nous y serons présents, et voilà ce que j'aime."")",-,0.0
"('#phulter', 'Ne méprisons jamais un adversaire armé.')",-,0.0
"('#leonte', 'En refusant le choc peut-il être estimé ?')",-,0.0
"('#phulter', 'Voyez que chaque jour il augmente ses forces.')",-,0.0
"('#leonte', 'Il reçoit tous les jours quelques rudes entorses.')",-,0.0
"('#phulter', 'Les premiers coups du jeu ne donnent pas le gain.')",-,0.0
"('#leonte', ""Mais c'est un préjugé..."")",-,0.0
"('#phulter', ""Qui n'a rien de certain."")",-,0.0
"('#leonte', 'Voulez-vous que du sort les erres je refuse ?')",-,0.0
"('#phulter', 'Non, mais que prudemment votre conseil en use, Et que, sans triompher de ces légers succès, Nous réservions la joie à la fin du procès.')",-,0.0
"('#leonte', 'Je ne vous vois jamais en humeur trouble-fête.')",-,0.0
"('#phulter', 'Je ne vous vois jamais un tel lutteur en tête.')",-,0.0
"('#leonte', ""Tant plus ai-je d'honneur en l'allant aborder."")",-,0.0
"('#phulter', 'Mais tant plus de sujet de ne rien hasarder.')",-,0.0
"('#leonte', ""De l'excès de prudence un brave coeur se moque, Il faut, c'est trop attendre, il faut que je le choque, Ce grand entrepreneur, cet homme tant vanté De bonheur, de courage, et de capacité, Belcar, à qui mon père, un vrai foudre de guerre, N'a jamais su ravir un seul pouce de terre, À qui j'ai destiné les effets de mon bras, Jaloux de son honneur dès mon âge plus bas. C'est où tend le désir de mon âme échauffée, Qu'un si digne ennemi me fournisse un trophée, Qu'en funestes cyprès transformant ses lauriers, J'enrichisse mon nom de ses exploits guerriers ; Ou, si le destin veut que d'une mort vaillante Je rende à ce combat sa gloire plus brillante, Je ne saurai choisir une plus brave main Pour m'adoucir le coup du trépas inhumain. Bref, voilà l'espérance où mon humeur se baigne ; Des villes, des trésors, que j'en perde ou j'en gagne, Il m'est indifférent ; mon seul but est l'honneur, Ainsi que le plaisir est celui du veneur. Vois-je pas un héraut qui vers nous s'achemine ? C'est pour nous défier, il m'en porte la mine. Parlez, mon grand ami, ne soyez étonné."")",-,0.0
"('#le-herault', ""Je ne le fus jamais, prince heureux et bien né, Car j'ai trop d'assurance au chef qui me commande. Belcar expressément, ô Léonte, vous mande Qu'alors qu'il refusait vos désirs pleins de vent, Il reculait un peu pour sauter plus avant ; Maintenant il vous offre, en bataille rangée, La palme qui doit être au vainqueur adjugée ; Que demain, s'il vous plait, dès que l'astre du jour Effacera le teint aux étoiles d'autour, Vous fassiez battre aux champs et vous mettiez en montre Pour à moitié chemin lui venir à rencontre."")",-,0.0
"('#leonte', ""Dis-lui que ses délais ont déjà rabattu Du splendide renom qui dorait sa vertu. Il est encor matin : qu'il marche dès cette heure ; Il faut avant la nuit ou qu'il fuie ou qu'il meure. Va donc, dépêche-toi, nous n'avons que tarder."")",-,0.0
"('#le-herault', 'Je retourne au galop.')",-,0.0
"('#leonte', ""Sus, allez commander Que l'on sonne à cheval, qu'avec ordre on s'avance, Qu'on arrange nos gros en toute diligence. Suivez de point en point le plan par nous tracé ; J'irai dès que j'aurai mon harnais endossé."")",-,0.0
