andrieux-moliere-et-ses-amis,cadet-gassicourt-souper-de-moliere,Score
"('#laforet', 'Bonsoir, monsieur Chapelle.')",-,0.0
"('#chapelle', 'Eh ! Bonsoir, Laforêt.')",-,0.0
"('#laforet', ""Vous venez de bonne heure, et rien encor n'est prêt. Monsieur même est dehors."")",-,0.0
"('#chapelle', 'Où donc est-il, ton maître ? º')",-,0.0
"('#laforet', ""Après son dîner, chaque jour Dans le bois de Boulogne, il s'en va faire un tour ; Il y rêve ; il travaille en cet endroit champêtre ; Nous aimons bien Auteuil ; le village est charmant ; Et puis, nous y vivons librement, et sans gêne....."")",-,0.0
"('#chapelle', 'Nos amis ne sont pas venus ?')",-,0.0
"('#laforet', ""Jusqu'à présent Je n'en ai vu qu'un seul, monsieur Delafontaine, Qui depuis plus d'une heure, au jardin se promène ; Voulez-vous l'aller joindre ?"")",-,0.0
"('#chapelle', ""Eh ! Non, ma chère enfant. La bonhomme n'a pas l'entretien fort brillant. Je vais attendre ici. Depuis une semaine Molière est mieux pourtant ?"")",-,0.0
"('#laforet', 'Beaucoup mieux, Dieu merci ; Dame ! nous avons eu pour lui bien du souci.')",-,0.0
"('#chapelle', 'Ce soir, pour sa convalescence, En signe de réjouissance, Ici nous souperons ; nous traiteras-tu bien ?')",-,0.0
"('#laforet', ""N'ayez pas peur ; allez ; je ne vous plaindrai rien. Mon pauvre maître, hélas ! je l'aime et le révère, Entendez-vous ? Autant que si c'était mon père ; Et tant que je vivrai, me vînt-il des trésors, Je resterai chez lui, s'il ne m'en met dehors. Mais je n'en ai pas peur ; car je sais bien qu'il m'aime ; Aussi voilà seize ans, arrive le carême, Que je suis chez monsieur, et ce n'est pas un jour ; Ce soir, de sa santé pour fêter le retour, Je vous ferai donc bonne chère."")",-,0.0
"('#chapelle', ""Je promets au souper de faire honneur, ma chère Aujourd'hui je n'ai pas dîné."")",-,0.0
"('#laforet', 'Ah ! Mon_Dieu !... si vous vouliez prendre Quelque chose ?...')",-,0.0
"('#chapelle', 'Moi ? non, je crois pouvoir attendre.')",-,0.0
"('#laforet', 'Comme vous entriez, six heures ont sonné.')",-,0.0
"('#chapelle', 'Oui ; mais jusques à cinq nous avons déjeuné. ')",-,0.0
"('#laforet', 'Ah ! vous me rassurez.')",-,0.0
"('#chapelle', ""Sais-tu, ma chère amie, Qu'au cabaret j'étais en bonne compagnie ? Un comte, deux marquis, à la cour bien venus ! Nous avions fait gageure à qui boirait le plus."")",-,0.0
"('#laforet', ""Et vous l'avez gagnée ?"")",-,0.0
"('#chapelle', ""Assurément, ma chère ; Et tu vois qu'il n'y paraît guère. Prêt à recommencer."")",-,0.0
"('#laforet', ""Oh ! Vraiment, aujourd'hui, À souper, vous allez faire encor pis, je gage."")",-,0.0
