,biancolelli-ecole-galante,dufresny-depart-des-comediens,Cost,Operation Type
0,"('#argentine', ""Quel plaisir trouvez vous à me désespérer ? Vôtre coeur aux soupçons ne fait que se livrer.  Vous êtes inquiet, jaloux à toute outrance, Croyez-moi, c'est trop loin pousser la défiance, Vous mériteriez bien qu'à vôtre vilain front Puisque vous m'outragez, je file quelque affront."")","('#arlequin', ""Déserts, affreux déserts, sombres loges, parterre,  Balcons inhabités, théâtre solitaire ;  Et vous fidèles bancs, qui seuls depuis six mois,  Demeurez attentifs à nos comiques voix ;  Je viens vous raconter les malheurs de ma bourse.  De ces malheurs, hélas ! Le printemps est la source.  Le cruel mois de Mai, qui devrait tous les ans  Fournir nos coquettes d'amants,  Les effarouche et les écarte :  Il n'est officier qui ne parte.  Ô renouveau fatal, qui fais couler nos pleurs !  Pendant qu'on voit briller les parterres de fleurs,  Le nôtre languissant, ne pousse  Que des chardons et de la mousse.  Oui, le printemps qui vient peupler les arbrisseaux  De mille différents oiseaux,  Dépeuple de plumets, théâtres et ruelles,  Et fait nicher les hirondelles  Tranquillement dans nos plafonds.  On voit reverdir les buissons,  Et sécher sur pied les grisettes.  Le printemps vient enfin désoler nos cassettes.  À ce mot, mon coeur se saisit. Déjà vox faucibus haesit.  Qu'êtes-vous devenus, jeunes foudres de guerre,  Qui triomphiez jadis dans ce vaste parterre ?  Hélas ! Je n'y vois plus  Ce doux flux et reflux  De têtes ondoyantes,  Qui rend en plein hiver nos moissons abondantes,  Quand le troupeau guerrier et terrestre et marin,  Vient piétiner notre terrain ;  En y semant quelques paroles,  Nous recueillons force pistoles.  À présent nous semons dans la concavité.  Notre voix n'y produit qu'un écho répété ;  Écho fatal, qui va jusques dans nos marmites  Prouver le vide aux parasites.  Je le prouverais au Docteur entêté,  Que ma bourse est vide en été.  Depuis six mois entiers, à peine le dimanche  Arlequin tire-t-il les frais de son éclanche.  Aussi faute d'émolument  On voit que le relâchement  Se met dans la troupe comique :  Mezzetin s'en va voyager,  Le docteur quitte la boutique,  Pasquariel nous fait enrager ;  Octave fait l'amour, et Cinthe a la colique :  Notre caissier s'endort en faisant la recette,  Et le portier lit la gazette.  Le théâtre représente une solitude. "")",0.04,Substitution
1,"('#arlequin', ""Hélas ! pardonnez-moi mon aimable Argentine, J'ai tout à redouter de vôtre humeur badine ; Vos yeux vifs, et perçants, me font avec raison, Craindre de vôtre part un peu de trahison. Je ne puis m'empêcher de me rendre justice, Je suis à parler net un fort vilain Jocrice ; Si j'étais plus joli je serais moins jaloux ; Mais enfin vous savez ce que j'ai fait pour vous. J'ai moi-même pris soin d'élever vôtre enfance ; Donnez-moi vôtre coeur pour toute récompense. Je vous fais aujourd'hui la maîtresse du mien, Je vous donne ma main, mon amour, et mon bien, Je suis maître d'École, et marchand de Fromage, Je vais tout disposer pour notre mariage, Dés demain vous serez admise dans mon lit, Cela vous devrait bien aiguiser l'appétit."")","('#colombine', ""À quoi diantre s'amuse Arlequin, pendant que la troupe tient conseil sur les affaires présentes ?"")",1.7,Substitution
2,"('#argentine', ""Dés demain, dites-vous ? C'est trop tôt, rien ne presse."")",,1.0,Insertion
3,"('#arlequin', 'Ah ! Ce terme est encor trop long pour ma tendresse.')","('#arlequin', ""Je racontais nos malheurs aux échos et aux bois d'alentour."")",1.9,Substitution
4,"('#argentine', 'Il vaut bien mieux laisser passer un peu de temps, Ce sera, je vous jure, assez tôt dans dix ans.')",,1.0,Insertion
5,"('#arlequin', ""Dans dix ans, ma Bellotte, ah ! Qu'oses-tu me dire ? Quelle extrême rigueur ! Tu veux donc que j'expire, Tu prétends me ravir des biens si souhaités, Lorsque je suis pressé de mes nécessités.  Non, non, point de délai : la chose est résolue. Tu seras du logis la maîtresse absolue, Je te ferai porter perles, et bracelets, Toi seule auras le soin de gronder les valets, Tu feras le matin mitonner mon potage, Et tu n'oublieras point d'y mettre du fromage, Je ne puis m'en passer, je l'aime autant que toi, Et c'est, mon cher amour, t'en dire assez, je crois ; Je me suis consulté, je ne puis plus attendre, À mes justes désirs ma belle il faut se rendre."")","('#colombine', 'Tu ferais bien mieux de chercher quelque remède à nos maux.')",1.2,Substitution
6,"('#argentine', ""Quoi c'est donc tout de bon ? vous n'en démordez pas, Vous ferez dés demain la noce, et le repas ? Ah ! Différez de grâce."")",,1.0,Insertion
7,"('#arlequin', ""Il ne m'est pas possible : A toutes tes beautés mon coeur est trop sensible ; Et certaine raison m'oblige fortement à marquer pour l'hymen beaucoup d'empressement. Non mon coeur je ne puis différer, ou je meure, Et si je m'en croyais, ce serait tout à l'heure ; Va, va, n'affecte point ces dehors spécieux, Tu le veux, comme moi, je le vois à tes yeux. Adieu, tout de ce pas, je vais chez le Notaire, Cette cérémonie est ici nécessaire, Pourtant si tu voulais je m'en passerais bien."")","('#arlequin', ""Hélas !  Nous sommes les malades, et voilà les médecins... Il n'y a que la quantité de médecins qui puisse guérir notre maladie. Montrant le parterre."")",1.59,Substitution
8,"('#argentine', ""Puisque vous le pouvez, Monsieur n'en faites rien."")",,1.0,Insertion
9,"('#arlequin', ""Non, je veux que demain tu partages ma couche L'hymen est un morceau qu'on prend de broc en bouche, Le plutôt est le mieux, point de réflexion, Lorsque l'on veut former une longue union. Donne-moi deux baisers."")","('#colombine', 'Nous prendrions notre mal en patience, si nous pouvions avoir ici tous les jours une consultation de cinq à six cents médecins.')",1.61,Substitution
10,"('#argentine', 'Vraiment, je suis trop sage.')",,1.0,Insertion
11,"('#arlequin', 'Je rabattrai cela sur notre mariage.')",,1.0,Insertion
12,"('#argentine', ""Les hommes, ce dit-on, en rabattent assez, Prés de nous cependant ils font les empressez, Débitent galamment un amoureux langage, Et pour nous obtenir mettent tout en usage ; Quand ils sont une fois les maîtres du Logis, En moins de quinze jours ils sont bien refroidis. Nous ne les voyons plus attachez à nous plaire, A peine peuvent-ils fournir le nécessaire, Les époux sont ma foi d'étranges animaux !"")","('#arlequin', 'Oh, ces médecins-là ne sont pas si âpres aux consultations, que ceux de la faculté.')",0.82,Substitution
13,"('#arlequin', ""Les hommes d'aujourd'hui ne sont pas tous égaux, Tu ne te plaindras point, mon aimable Argentine, Toujours bon vin en Cave, et bon pot en Cuisine : Je te laisse, mon coeur, pour un petit moment."")","('#colombine', ""J'en sais bien la raison : c'est qu'on donne de l'argent à ceux-là ; et ceux-ci au contraire payent à la porte le droit de dire leur avis."")",1.16,Substitution
14,"('#argentine', ""J'ai tout à craindre hélas ! De cet empressement, Je ne puis le souffrir, et malgré mon envie Il veut que dès demain le noeud d'hymen nous lie ; Il croit se faire aimer, mais son espoir est vain, Je ne puis consentir à lui donner la main ; Que demande Pierrot ? "")",,1.0,Insertion
15,"('#pierrot', ""Bonjour la brune-blonde, Il faut auprès de vous que mon coeur se débonde ; Si vous le souhaitez je ferai vôtre Amant, Et je m'en vais vous faire un petit compliment. Je commence, écoutez. Le feu de ma tendresse Allumé par les yeux de ma belle Maîtresse... Cela fait que l'amour... Ne m'interrompez pas, Cela fait donc tout juste... Un autre en pareil cas Pourrait bien se brouiller ; mais je ne suis pas bête. Ors donc je vous dirai, que si vous êtes prête, Je suis tout disposé, vous n'avez qu'à parler... Dame ! Je voudrais bien avec vous m'enrôler."")",,1.0,Insertion
16,"('#argentine', ""Je veux feindre un moment d'applaudir à sa flamme ; Vous m'aimez donc Pierrot ?"")","('#arlequin', ""C'est pour cela qu'ils le disent si librement."")",1.78,Substitution
17,"('#pierrot', ""Qui vraiment, ma chère âme, Quand je ne vous vois pas je suis absent de vous ; Quand je m'emporte un peu, je me mets en courroux. En un mot je vous aime, et vous n'avez qu'à dire, Je suis un drôle, allez, je vous ferai bien rire."")","('#colombine', ""Mon pauvre Arlequin, puisque la saison de l'été est si contraire au tempérament des comédiens, puisque nous sommes desséchés, atténués, languissants, agonisants ; en un mot puisque nous sommes abandonnés des médecins, il faut tirer le rideau, c'est-à-dire fermer notre théâtre, et prendre congé de la compagnie."")",0.82,Substitution
18,"('#argentine', ""Que vos expressions charment mon tendre coeur ! Je ne m'en défends point, vous êtes mon vainqueur, Et je n'ai pu vous voir sans vous rendre les armes."")",,1.0,Insertion
19,"('#pierrot', ""On me l'a toujours dit ; que j'avais bien des charmes, Je suis un beau garçon ; pour la taille, je crois Qu'on n'en saurait trouver de mieux bâti que moi.  Elle en tient pour le coup. Bas."")",,1.0,Insertion
20,"('#argentine', ""Non, il n'est pas possible Qu'en vous voyant si beau je paraisse insensible : On ne peut résister à de puissants appas."")",,1.0,Insertion
21,"('#pierrot', ""Elle va se pâmer, je pense, entre mes bras. Eh, Ventrebleu, pourquoi suis-je un fi beau brin d'homme. Ça, je vois bien qu'il faut vous acquitter la somme, Et vous ne voulez point des lettres de répit, Embrassez-moi ma fille, et sans faire grand bruit..."")","('#arlequin', ""Avant que de mourir, nous avons encore l'émétique, et la petite bagatelle que nous jouons sera peut-être un émétique salutaire."")",0.82,Substitution
22,"('#pierrot', 'Ah ! Je me suis mépris, et cela me chagrine : Au lieu de toi, je dois embrasser Argentine, Je vais recommencer pour te faire plaisir.')","('#colombine', ""Bagatelle.  L'émétique le plus fin n'a point de vertu en automne.  En un mot, il faut quitter le jeu quand il ne vaut pas la chandelle."")",1.38,Substitution
23,"('#arlequin', ""Il n'en est pas besoin, modère ce désir. Hé bien, je vous y prends, Madame la carogne, Et vous, que faites-vous ici Monsieur l'ivrogne ? "")","('#arlequin', ""Elle a raison : cette diable de chandelle brûle toujours, il n'y a qu'à l'éteindre. Il veut éteindre les chandelles. "")",1.68,Substitution
24,"('#pierrot', ""Tu m'as interrompu, que je suis malheureux ! Ta prétendue, et moi je badinions tous deux. Je me dégourdissais de la belle manière, Va t'en pour un moment, crois-moi, laisse-moi faire."")",,1.0,Insertion
25,"('#argentine', ""Vous êtes trop jaloux, c'est là tour mon souci, Et vous ne deviez pas venir sitôt ici."")","('#colombine', ""Doucement.  Ce n'est pas que, si on jouait la comédie à l'aveuglette, cela nous ferait peut-être venir plus de monde."")",1.55,Substitution
26,,"('#arlequin', ""Je le crois.  L'auditeur a plus d'attention quand il ne voit goutte."")",1.0,Deletion
27,"('#arlequin', ""Je conviens que j'ai tort, et je devais attendre Le joli dénouement d'un entretien si tendre. Vous voulez donc toujours m'en donner à garder, A vôtre opinion la mienne doit céder, Sur le point d'occuper la couche maritale, Vous donnez une entorse à la foi conjugale ?"")","('#colombine', ""Oui, mais j'aurais peur qu'on ne fût si recueilli dans les loges, que l'attention ne passât pas les barreaux.  Finissons la plaisanterie.  Tous nos acteurs sont résolus de quitter la comédie, et de faire valoir chacun leur petit talent en particulier.  Ils vont tous passet en revue devant toi, afin que tu choisisses avec qui tu veux t'associer. Elle s'en va. "")",0.78,Substitution
28,,"('#arlequin', 'La revue ne sera pas complète ; car nous avons bien des déserteurs.')",1.0,Deletion
29,"('#pierrot', ""Puisqu'il demeure ici, sans faire du fracas, Mène-moi dans ta Chambre, il ne le saura pas."")",,1.0,Insertion
30,"('#argentine', ""J'y consens."")",,1.0,Insertion
31,"('#arlequin', 'Ah ! Tout doux, et vous Monsieur le drille Décampez au plutôt.')",,1.0,Insertion
32,"('#pierrot', 'Lâche-moi cette fille, Va, je te la rendrai dans un petit moment.')",,1.0,Insertion
