,biancollelli-arlequin-gentilhomme,regnard-coquette,Cost,Operation Type
0,"('#colombine', 'Allons, maître faquin, dénichez promptement. ')",,1.0,Insertion
1,"('#pierrot', ""C'est ainsi que l'on traite un méchant garnement,  Hors d'ici... "")",,1.0,Insertion
2,"('#arlequin', 'Modérez cette brusque colère,  Monsieur, que votre main soit un peu plus légère,  Et vous, Madame, ayez plus de compassion,  Vous pourriez bien me faire une contusion,  Je ne vis de mes jours femme plus violente,  Qui connaît mieux que moi votre humeur turbulente ? ')","('#arlequin', ""Vous en avez menti, messieurs les commis de la barrière, je ne dois rien : vous êtes des fripons.  On est plus assuré au milieu des bois que dans ce maudit pays-ci : on ne saurait faire un pas qu'on ne trouve un filou.  Il n'y a pas une demi-heure que je suis arrivé dans Paris, et me voilà déjà presque tout déshabillé...  Au voleur !  Au voleur !  Quelle maudite nation !  À peine suis-je entré dans la ville, qu'on fait derrière mon cheval l'opération à ma valise ; on en tire les hardes, et on la fait accoucher avant terme.  En descendant à l'hôtellerie, on m'escamote ma casaque.  Je fais deux pas dans la rue, un fiacre me couvre de boue depuis les pieds jusqu'à la tête ; un porteur de chaise me donne d'un de ses bâtons dans le dos : il vient un homme me saluer ; je lui ôte mon chapeau, un coquin par derrière m'arrache ma perruque ; et, pour comble de friponneries, on veut me faire payer l'entrée à la porte comme bête à cornes, parce que je viens pour me marier...  Attendez donc que je sois... "")",0.96,Substitution
3,"('#colombine', ""Je ferais beaucoup mieux de te remercier,  Et te laisser gratis vider tout mon cellier,  Chez moi depuis trois mois tu prends ta nourriture,  J'ai voulu te prêter dix écus sans usure,  Et tu ne songes pas encore à t'acquitter,  Demain je prendrai soin de te faire arrêter,  Une obscure prison sera ta récompense,  Si par le paiement tu n'obtiens ta quittance. "")",,1.0,Insertion
4,"('#arlequin', ""Vous voulez en prison faire mettre Arlequin,  Je n'y resterai pas je suis trop libertin."")","('#arlequin', ""Monsieur, n'êtes-vous pas un coupeur de bourses ?  Au lieu de répondre, Mezzetin tourne autour de lui, l'examine en se moquant de lui ; et Arlequin fait des lazzis de frayeur. Le restant de cette scène consiste dans un jeu italien. "")",1.02,Substitution
5,"('#pierrot', ""Bon, bon, quand une fois tu seras dans la cage,  Quoique tu sois porté pour le libertinage,  Tu ne sortiras pas pour t'aller promener,  Je te ferai mon cher, moi-même emprisonner,  Foi de Pierrot, hélas ! Quel serment effroyable  Cela me fait trembler/ "")","('#colombine', ""Holà, quelqu'un !  N'ai-je là personne ?  Cascaret, Jasmin, Pierrot, Bagatelle, Bagatelle ! "")",1.39,Substitution
6,"('#arlequin', ""Vous êtes trop bon Diable,  Vous n'avez pas le coeur de me faire enfermer. "")","('#colombine', ""D'où vient, petit garçon, qu'il faut vous appeler tant de fois ? "")",1.86,Substitution
7,"('#pierrot', ""Oh si tu prenais l'air tu pourrais t'enrhumer,  Dans un cachot bien clos tu seras à ton aise. "")",,1.0,Insertion
8,"('#arlequin', ""Le cachot est mal sain et n'a rien qui me plaise,  D'ailleurs la solitude a pour moi peu d'appas. "")",,1.0,Insertion
9,"('#pierrot', 'Tu pourras converser avec Messieurs les rats,  Qui le jour et la nuit te tiendront compagnie. ')","('#bagatelle', ""Mademoiselle, c'est que j'achevais ma main au lansquenet. "")",1.3,Substitution
