,boyer-amours-jupiter-semele,dufresny-adieux-des-officiers,Cost,Operation Type
0,"('#melpomene', ""Superbes demi-Dieux dont les noms éclatants  Triomphent de l'oubli, de la mort et du temps,  Vous que je fais revivre avec tant de gloire,  Héros contentez-vous des honneurs de l'histoire.  Le siècle de Louis confond tout votre orgueil  Pourquoi vous retirer des ombres du cercueil,  Pour faire à ce grand Roi quelque nouveau spectacle ?  Son Règne chaque jour nous fournit un miracle,  Et s'il lui faut offrir des objets glorieux,  Dois-je offrir d'autre objet que lui-même à ses yeux ?  Mais de ce grand dessein mon âme possédée  En peut-elle remplir la glorieuse idée ?  Louis se verra-t-il, tel qu'il est aujourd'hui,  Dans tout ce que ma main entreprendra pour lui ?  De ce fonds infini de gloire et de merveilles...  Mais quel bruit importun a frappé mes oreilles.  C'est une de mes soeurs qui pour quelque succès  Dans un siècle enjoué se flatte avec excès.  Elle vient m'insulter avec cet avantage.  Thalie qui est la déesse de la Comédie descend du Parnasse sur une nue en jouant d'un Tambour de Basque, auquel se mêle un concert de Violons."")",,1.0,Insertion
1,"('#thalie', ""Hé bien toujours ma soeur sur quelque grand ouvrage,  J'ai tort d'oser ainsi troubler votre repos :  Je vois bien qu'au milieu de ces fameux Héros  Votre esprit se remplit de sentiments tragiques.  Vous n'aimez que les vers enflés et magnifiques. "")",,1.0,Insertion
2,"('#melpomene', ""La pompe vous déplaît et vous fait mal aux yeux :  Vous décriez partout le langage des Dieux.  C'est savoir se connaître, et c'est par cette adresse  Qu'étant faible on se fait honneur de sa faiblesse."")",,1.0,Insertion
3,"('#thalie', ""Selon vous tout est faible, à moins d'être en fureur.  Guérissez votre esprit d'une si longue erreur :  Je viens vous détromper et non pas vous combattre :  Ne me disputez plus la gloire du Théâtre ;  Votre Règne est passé, le mien vient à son tour ;  Vous êtes du vieux temps et de la vieille Cour ;  Tout le monde aime à rire, et j'en sais la méthode :  Vos tristes entretiens ne sont plus à la mode ;  Louis m'aime en un mot, j'ai pour lui des appas. "")","('#le-tambour', 'À cheval, à cheval, Mars, vite à la guerre,  Prends ta rapière,  Il est temps,  Quand le coq a chanté : Mars déjà la gloire,  Et la victoire,  Sont aux champs. ')",0.92,Substitution
4,"('#melpomene', ""Il vous aime il est vrai, mais il ne me hait pas,  Et pour dire tout haut ce que j'en ose croire,  Louis me doit aimer puisqu'il aime la gloire.  Pouvez-vous inspirer ces nobles mouvements,  Ces belles passions, et ces grands sentiments,  Que je fais si souvent éclater sur la Scène ?  La gloire des héros et la vertu Romaine  Qui la sait mieux que moi retirer du cercueil ?  Qui la fait mieux revivre avec tout son orgueil ?  Pour rendre dignement présents à sa mémoire  Ces exemples fameux de vaillance et de gloire ?  Avez-vous comme moi d'assez nobles chaleurs ?  Avez-vous comme moi d'assez riches couleurs ?  Quoique l'ingénieuse et savante satire  Mêle le soin de plaire à la gloire d'instruire,  Louis peut-il tirer de ces enseignements,  De ces faibles leçons, de ces amusements,  Ces sentiments d'honneur, dont une âme enflammée  Soupire pour la gloire et pour la renommée ?  L'art de porter un Sceptre et de le maintenir ?  L'art de récompenser et celui de punir ?  Ce que vous enseignez n'est que pour le vulgaire ;  Ainsi contentez-vous de la gloire de plaire. "")","('#un-amour', 'Suivez la gloire et ses attraits,  Laissez Mars et Vénus en paix. ')",0.95,Substitution
5,"('#thalie', ""Et n'est-ce pas assez de pouvoir quelquefois  Divertir le plus sage et le plus grand des Rois ?  Après que tous les jours sa sagesse profonde  A su dans son Conseil régler le sort du monde,  Est-ce peu que l'honneur de délasser un Roi  De ces soins assidus, de ce pénible emploi,  Pour le mettre en état de reprendre avec joie  Cette noble fatigue où son zèle l'emploie ?  Mais c'est trop peu pour vous, votre orgueil aujourd'hui  Fait de votre Théâtre une école pour lui ;  Pour lui qui pour régner n'a besoin de personne,  Et qui soutient lui seul le poids de la Couronne.  Vantez-vous de l'instruire, il en sait plus que vous :  Ma gloire est de lui plaire et c'est assez pour nous. "")","('#le-tambour', 'Le bruit de mon tambour et de la trompette,  Met la grisette  Aux abois.  Mais un brave guerrier doit de bonne grâce,  Céder la place  Au bourgeois. ')",0.85,Substitution
6,"('#melpomene', ""Ne puis-je pas ma soeur, ne m'est-il pas facile  De joindre quand je veux l'agréable à l'utile ?  Est-il rien d'aussi beau qu'un transport glorieux  Que pousse avec éclat un coeur ambitieux,  Qu'une intrigue de Cour menée avec adresse,  Qu'un entretien mêlé de flamme et de tendresse ?  Quelle douceur alors qu'un malheureux amant,  Touche le spectateur d'un tendre sentiment !  Lorsque je fais agir cette adresse admirable  Et ce bel art qui rend la douleur agréable,  Et qui des maux d'autrui nous faisant soupirer  Fait trouver si souvent de la joie à pleurer.  Pour vous qui vous piquez de divertir le monde  Donnez-vous une joie et solide et profonde ?  Le ris, l'emportement, n'ont qu'un charme trompeur,  Les sensibles plaisirs sont dans le fond du coeur,  Et ce sont là ma soeur les plaisirs que je donne. "")","('#l-amour', 'Vénus ne saurait consentir  À le laisser partir. ')",1.97,Substitution
7,"('#thalie', ""Vos charmes sont puissants, mais on vous abandonne,  On ne veut plus de vous, tout le monde est pour moi.  Et pour vous en parler ici de bonne foi,  La pompe de vos vers plaît moins que ma satire ;  Apprenez que pour plaire, il faut savoir médire :  Voilà tout le secret pour aider mon dessein,  Il se glisse en naissant dans tout le genre humain  Un chagrin qui s'attache à la plus belle vie,  Une maligne humeur que l'on appelle envie.  Par là la médisance a des charmes pour tous ;  Surtout en déguisant sa malice et ses coups  Sous une délicate et fine raillerie.  Pour mordre impunément il suffit qu'on en rie. "")","('#le-tambour', 'Un jeune héros doit laisser sa faiblesse  À sa maîtresse  En partant.  Je lui permets de rire avec son hôtesse,  Mais sans tendresse,  En passant. ')",0.45,Substitution
8,"('#melpomene', ""Ce sont là des secrets dont je fais peu de cas,  Mais au moins ménagez cette source d'appas,  Ce trésor de venin, ce fonds de médisance,  Ne le prodiguez pas avec tant de licence.  Comme le ridicule est court et limité,  On craint pour vos sujets quelque stérilité. "")","('#l-amour', ""Ne permettez rien aux amants,  Ils ne sont que trop inconstants.  Mars et Vénus quittent le lit de repos, et s'avancent."")",1.07,Substitution
9,"('#thalie', ""Que vous connaissez mal le fonds de ma satire !  Je prends de tous côtés la matière de rire ;  L'univers m'en fournit de l'un à l'autre bout,  Mon Empire est sans borne et mon fonds est partout.  Ne vous flattez donc pas d'une vaine espérance,  Et quand d'un monde entier j'obtiens la préférence.  En voulez-vous juger ? Vos yeux sont-ils meilleurs... "")",,1.0,Insertion
