,corneillep-medee,corneillet-medee,Cost,Operation Type
0,,"('#un-chef-d-habitants', ""Louis est triomphant, tout cède à sa puissance, La Victoire en tous lieux, fait révérer ses lois. Pour la voir avec nous toujours d'intelligence, Rendons-lui des honneurs dignes de sa présence. Rendons-lui des honneurs dignes des grands exploits Qui consacrent le Nom du plus puissant des rois."")",1.0,Deletion
1,,"('#le-choeur', ""Louis est triomphant, tout cède à sa puissance, La Victoire en tous lieux, fait révérer ses lois. Pour la voir avec nous toujours d'intelligence, Rendons-lui des honneurs dignes de sa présence. Rendons-lui des honneurs dignes des grands exploits Qui consacrent le Nom du plus puissant des rois."")",1.0,Deletion
2,,"('#deux-bergers #un-habitant', 'Paraissez, charmante Victoire, Hâtez-vous, venez, descendez. Amenez-nous Bellone, amenez-nous la Gloire, Par qui vos soins pour nous sont si bien secondez. Paraissez, charmante Victoire, Hâtez-vous, venez, descendez.')",1.0,Deletion
3,"('#pollux', ""Que je sens à la fois de surprise et de joie ! Se peut-il qu'en ces lieux enfin je vous revoie, Que Pollux dans Corinthe ait rencontré Jason ?"")","('#le-choeur', 'Paraissez, charmante Victoire, Hâtez-vous, venez, descendez.')",1.11,Substitution
4,,"('#deux-bergers #un-habitant', 'Ce nuage brillant nous donne lieu de croire, Que vous nous entendez.')",1.0,Deletion
5,"('#jason', ""Vous n'y pouviez venir en meilleure saison ; Et pour vous rendre encore l'âme plus étonnée, Préparez-vous à voir mon second hyménée."")","('#le-choeur', ""Paraissez, charmante Victoire, Hâtez-vous, venez, descendez. On entend une symphonie, pendant laquelle il paraît un tourbillon de nuages qui descend, et en s'ouvrant fait paraître le palais de la Victoire, qui s'avance et occupe tout le Théâtre ; et au milieu du Palais, sont la Gloire, la Victoire et Bellone."")",1.07,Substitution
6,"('#pollux', 'Quoi ! Médée est donc morte, ami ?')",,1.0,Insertion
7,"('#jason', 'Non, elle vit ; Mais un objet plus beau la chasse de mon lit.')","('#la-victoire', ""Le Ciel dans vos voeux s'intéresse,  Depuis longtemps, la France est mon séjour. Attachée au héros, qui pour elle sans cesse Fait agir sa haute sagesse, Je sens pour lui de jour en jour, En redoublant mes soins, redoubler mon amour. Ne craignez pas que la Victoire, Favorise jamais les jaloux de sa gloire. Ils ne cherchent à triompher Qu'afin de prolonger la guerre. Louis combat pour l'étouffer, Et rendre le calme à la terre."")",0.8,Substitution
8,,"('#le-choeur', ""Ils ne cherchent à triompher Qu'afin de prolonger la guerre. Louis combat pour l'étouffer, Et rendre le calme à la terre. "")",1.0,Deletion
9,"('#pollux', 'Dieux ! Et que fera-t-elle ?')",,1.0,Insertion
