,corneillet-inconnu,dancourt-inconnu,Cost,Operation Type
0,"('#thalie', ""Génie incomparable, Esprit à qui la France  Doit les sages conseils qui la font admirer,  Pour réparer mon impuissance,  De ton secours qu'ai-je lieu d'espérer ? "")","('#thalie', ""Quelle favorable puissance  A rétabli les agréments,  La pompe et la magnificence  D'un Théâtre que mon absence  Avait laissé sans ornements ?  Moi, qu'on nomme en tous lieux la divine Thalie ;  Moi, Muse de la Comédie,  L'amour des plus rares esprits,  Je n'ai donc pu par leurs écrits  Soutenir l'honneur de la Scène ?  J'ai pris une inutile peine,  Malgré les efforts que j'ai faits,  On a déserté mes Palais :  Depuis un temps une juste colère  M'a fait abandonné ces lieux ;  Un retour de tendresse, un désir curieux,  De voir ce que sans moi l'on y peut encore faire  Me fait y reporter et mes pas et mes yeux :  Je reviens, je n'y vois rien qui ne doive plaire.  Une foule de connaisseurs,  Par le bon goût au spectacle appelée,  Me fait penser que l'une de mes Soeurs  À ma place s'en est mêlée.  Se pourrait-il qu'à mon emploi  Elle réussit mieux que moi ! "")",0.0,Match
1,"('#le-genie', ""Tout, Divine Thalie, et je suis sans excuse,  Si pouvant t'appuyer contre ce qui t'abat,  Je néglige à servir la Muse,  De qui la Comédie emprunte son éclat.  C'est toi qui fais paraître avec pompe, avec gloire,  Sur le Théâtre des Français,  Ce qu'aux Étrangers quelquefois  Le récit qu'on en fait rend difficile à croire. "")","('#crispin', 'Dieu vous garde, Madame Thalie.  Hé ! Depuis quand à Paris de retour ?  Je vous croyais en Italie,  Où vous aviez dit-on, fixé votre séjour. ')",1.07,Substitution
2,,"('#thalie', ""N'est-ce pas là Crispin qui me parle."")",1.0,Deletion
3,"('#thalie', ""Je promettrais encor des Divertissements  Dont on aimerait le spectacle,  Si pour faire crier miracle  Je pouvais à mon choix régler les ornements.  Quand Sémélé, Circé, la Toison, Andromède,  Sur la Scène à l'envi se sont fait admirer,  Par la Machine à qui tout cède,  Chacun avec plaisir se laissait attirer.  Mais que pensera-t-on, si toujours je m'obstine  À faire voir Machine sur Machine ?  Comme on se plaît à la diversité,  Il est de galantes matières  Qui par les agréments de quelque nouveauté  Auraient des grâces singulières. "")","('#crispin', ""Lui-même.  Crispin cadet, fils de Crispin l'aîné,  Sous une heureuse étoile né  S'il pouvait se flatter de la gloire suprême  D'être autant de vos favoris  Que feu son père en fut jadis ;  Car il en fut beaucoup, à ce que j'entends dire. "")",0.62,Substitution
4,"('#le-genie', ""J'en ferai tant voir à la fois,  Que je pourrai te satisfaire.  La nouveauté charme tous les Français,  Et ce m'est un moyen assuré de leur plaire. "")","('#thalie', ""Je l'ai favorisé, j'ai connu les talents  Qu'il eût du Ciel pour faire rire,  Et pour plaire aux honnêtes gens :  Mais enfin depuis quelque temps,  En termes assez bons on m'a parlé des vôtres,  Et l'on m'en a tant dit… "")",0.57,Substitution
5,"('#thalie', ""Je t'ai parlé déjà d'un Amant inconnu,  Qui pour toucher une fière Maîtresse,  Lui donnant des Fêtes sans cesse,  En aurait enfin obtenu  L'heureux aveu de sa tendresse,  Mais l'Amour aura beau le rendre ingénieux.  Que fera-t-il de magnifique,  S'il n'a pour l'oreille et les yeux  Ni pompes de Ballets, ni charmes de Musique ? "")","('#crispin', ""À d'autres,  Comme toujours de la Profession  L'amour propre fut l'apanage,  Ne me louez qu'avec précaution,  Je n'ai que trop de pente à la présomption,  Ne m'en donnez pas davantage. "")",0.41,Substitution
6,,"('#thalie', ""La louange n'est pas mon fort,  La raillerie est mon partage. "")",1.0,Deletion
7,"('#le-genie', ""Il peut se reposer sur moi  Du soin de ses galantes Fêtes.  Pour plaire à ce qu'il aime, et lui marquer sa foi ;  Il les trouvera toujours prêtes. "")","('#crispin', ""Fort bien, vous me raillez, je gage,  Et j'ai donné dedans. J'ai tort.  D'autres que moi… "")",0.99,Substitution
8,"('#thalie', 'Ses desseins doivent être heureusement conduits,  Si ta bonté les favorise. ')","('#thalie', ""Laissons cette matière,  Et me dites un peu ce que l'on fait ici. "")",1.5,Substitution
9,"('#le-genie', ""Il faut par un essai dont tu seras surprise,  Te faire voir ce que je puis.  Vois-tu cette inégale masse  Qui partout n'est que pierre ? En ce même moment  Je lui veux devant toi donner du mouvement. "")","('#crispin', ""On fait tout ce qu'on peut pour plaire,  Et l'on est fort content quand on a réussi. "")",1.49,Substitution
10,"('#thalie', 'Je brûle de voir ces merveilles. ')","('#thalie', ""Arrive-t-il souvent que l'on y réussisse ?  Et pendant mon absence… "")",1.64,Substitution
11,"('#le-genie', ""Tu m'avoueras peut-être que jamais  Il ne s'en est vu de pareilles ;  Mais il est temps d'en venir aux effets.  Animez-vous, Rochers, et changez de figure ;  Paraissez tout couverts d'Hommes et de Verdure.  C'est moi qui veux ces divers changements,  Et voir de votre sein naître des Instruments.  On voit ici la Montagne se remuer ; elle est en un moment couverte d'arbres, et il s'en détache des pierres qui sont changées en hommes. Ces hommes touchent d'autres pierres, et elles deviennent des Violons entre leurs mains. Ils en jouent un air dont la vitesse du mouvement rend Thalie toute surprise. "")","('#crispin', ""On s'est passé de vous,  Et pour peu qu'on nous applaudisse,  Nous redoublons nos soins, enfin nous sommes tous  Fort contents de Paris, quand Paris l'est de nous."")",0.74,Substitution
12,"('#thalie', ""Tu promets moins que tu ne donnes,  Et ma peine déjà commence à s'adoucir.  Quels divertissements, lorsque tu les ordonnes,  Peuvent manquer de réussir ? "")","('#thalie', 'De bons Acteurs la Troupe est-elle bien fournie ? ')",1.47,Substitution
13,"('#le-genie', ""C'est encor peu ; je veux que vous fassiez paraître  Un Berger dont les doux accents  Suivent les tons ravissants  De quelque Nymphe champêtre.  En même temps on voit deux morceaux de Rocher se changer en une Nymphe et en un Berger. Ils s'avancent, et chantent les paroles qui suivent. "")","('#crispin', ""Troupe, Madame ! On dit à présent Compagnie.  Malepeste ! Sur un bon pied  Nous avons mis la Comédie ;  Et si par quelque heureux génie  Le théâtre était appuyé…  Car voyez-vous, j'ai l'âme la plus ronde,  Et ne sais point faire le fin.  Vous nous voyez aujourd'hui bien du monde,  Nous n'aurons personne demain."")",0.73,Substitution
14,,"('#thalie', 'Comment donc ! Et qui peut produire  Chez vous cette inégalité ? ')",1.0,Deletion
15,"('#la-nymphe', ""Amants, qui vous rebutez  De la fierté d'une Belle,  Aimez, souffrez, méritez.  La constance vous appelle  Aux grandes félicités.  Languir pour une inhumaine  Que d'abord en vain on poursuit,  C'est une cruelle gêne ;  Mais regardez-en le fruit,  Vous en aimerez la peine. "")","('#crispin', ""C'est que… Comprenez bien ce que je vais vous dire.  Une première fois par curiosité…  On vient voir en foule un ouvrage.  Quand… la première fois… on en est dégoûté,  On n'y revient pas davantage. "")",1.12,Substitution
16,"('#le-berger', 'Quand on diffère à se rendre,  Une Belle peut prendre  De la fierté ;  Mais contre un coeur tendre  Pourquoi défendre  Sa liberté ? ')","('#thalie', ""Cela se comprend aisément ;  Mais à qui d'une Pièce attribuer la chute ? "")",1.17,Substitution
17,"('#le-genie', ""Achevez, et formez pour Spectacles nouveaux,  Et des Buissons et des Berceaux.  Les arbres qui ont paru sur la montagne, s'en séparent, et forment successivement des buissons, des allées et des berceaux. "")","('#crispin', ""On en parle différemment.  L'Auteur aux Acteurs l'impute  Les Acteurs parlent autrement,  Le Parterre ordinairement  Est le Juge de la dispute ;  Et comme il juge sainement,  Il juge souverainement :  Ce qu'il a jugé s'exécute. "")",1.06,Substitution
18,"('#le-genie', 'Et bien, Muse, es-tu satisfaite. ')","('#thalie', 'Vous avez de nouveaux Acteurs ? ')",1.84,Substitution
19,"('#thalie', ""J'admire, et me tais. "")",,1.0,Insertion
20,"('#le-genie', ""Après ce que tu vois,  Des Fêtes dont l'Amour me doit laisser le choix,  Puisque j'en prends le soin, ne sois plus inquiète. "")",,1.0,Insertion
21,"('#nymphe #berger', ""Ah, qu'il est doux de s'unir à l'Amour !  Avec l'Amour on peut tout faire.  La Beauté la plus sévère  A beau fuir ce qui peut l'enflammer à son tour.  Cherchez toujours à lui plaire,  Vous trouverez un nouveau jour.  Ah, qu'il est doux de s'unir à l'Amour !  Avec l'Amour on peut tout faire. "")","('#crispin', ""Oh ! Beaucoup, presque autant que de nouveaux Auteurs.  Que l'un de nous quitte ou trépasse,  Il en viendra quatre à sa place. "")",1.44,Substitution
22,"('#le-genie', ""Allons c'est trop tarder suis moi. "")",,1.0,Insertion
23,"('#thalie', ""Pour l'Inconnu j'attends beaucoup de toi. "")","('#thalie', 'Cela vous fait plaisir. ')",1.24,Substitution
24,"('#le-genie', ""L'entreprise est un peu hardie ;  Mais je n'ai rien promis dont je ne vienne à bout. "")",,1.0,Insertion
25,"('#thalie', ""Je le crois, ce n'est pas d'aujourd'hui qu'on publie  Que les Français ont un Génie  Qui les rend capables de tout.  Ils passent en s'en retournant par-dessous une allée qui occupe le milieu du théâtre, et qui en tient toute la longueur ; et lorsqu'ils sont tout à fait retirés, cette grande allée forme trois petits monts, qui se changent en un instant en plusieurs arbres. Ces arbres se retirent un moment après, et les violons jouent une ouverture. "")","('#crispin', 'Le proverbe le dit,  Plus on est de fous, plus on rit. ')",1.72,Substitution
26,"('#le-marquis', 'Entrer dans ce Château ! ')",,1.0,Insertion
27,"('#la-montagne', 'Le grand péril ! ')",,1.0,Insertion
28,"('#le-marquis', ""Je tremble  Que quelqu'un ne t'observe, et ne nous voie ensemble. "")",,1.0,Insertion
29,"('#la-montagne', ""Et quand on me verrait ? Monsieur, j'ai de l'esprit,  C'est vous qui m'employez ; je conduis tout, suffit.  Ne craignez rien. "")",,1.0,Insertion
30,"('#le-marquis', 'On peut remarquer ton visage. ')",,1.0,Insertion
31,"('#la-montagne', ""Et n'en changerai-je pas à chaque personnage ?  Quand je suis déguisé, je le donne au plus fin,  Si me voulant connaître, il n'y perd son latin.  Ne vous inquiétez pour aucun de mes rôles.  Je les jouerai d'un air... Mais trêve de paroles.  Vous avez par l'effet déjà vu ce que vaut... "")","('#thalie', 'Le proverbe est très véritable.  Mais, dites-moi de grâce, à ces Acteurs nouveaux  Le parterre est-il favorable ? ')",0.84,Substitution
32,"('#le-marquis', ""N'as-tu rien oublié de tout ce qu'il nous faut ? "")",,1.0,Insertion
33,"('#la-montagne', ""Quand je vous fais en tout paraître un zèle extrême,  Douter de moi qui suis la vigilance même,  Et qui toujours sur pied pour servir votre amour,  Depuis un mois et plus ne dors ni nuit ni jour ?  Au moins si par hasard mon cerveau se démonte,  Ce sera, s'il vous plaît, Monsieur, sur votre compte.  À force de veiller... "")","('#crispin', ""S'il ne leur était pas, ce serait bien le diable.  Nous n'avons presque plus de ces originaux,  Que vous aviez formés vous-même.  Grand changement d'un temps à l'autre y a ;  Et quand on n'a pas ce qu'on aime,  Il faut bien aimer ce qu'on a.  Nous nous formons sur le meilleur modèle.  À vous faire la cour tous ardents comme moi,  Nous avons tous le même zèle,  Pour réussir chacun dans son emploi. "")",0.89,Substitution
34,"('#le-marquis', ""Va, j'en réponds. "")",,1.0,Insertion
35,"('#la-montagne', ""Ma foi,  Je suis sûr qu'un jaloux dormirait plus que moi.  Avoir tout à la fois tant de choses à faire,  C'est assez pour... Allez, quoique prompt à vous plaire,  Pour bien songer à tout, bien vous prend qu'au besoin  Ma mémoire ait fourni de quoi nous mener loin.  Il ne manque plus rien à l'ordre de la Fête ;  Et de l'air dont chacun sur mes Leçons s'apprête,  Ce que j'ai préparé de Divertissements,  Aura tout ce qu'on peut souhaiter d'agréments.  Ainsi la belle Veuve à qui vous voulez plaire,  Ignorant d'où lui vient ce qu'elle verra faire,  Vous croira tout au moins demi Sorcier. Pour moi,  Je mets le Diable au pis, s'il brigue mon emploi.  C'est de quoi l'exercer, quelque adroit qu'il puisse être. "")","('#thalie', ""Avec succès je crois que chacun s'en acquitte ;  Si par hasard la chose est autrement,  Le zèle tient lieu de mérite ;  Et le public qui de l'orgueil s'irrite,  Aux modernes Acteurs se prête bonnement ;  Quoi qu'il en soit, faites-les-moi connaître,  Je prétends les encourager ;  Et suivant ce qu'ils pourront être,  Je m'engage à les protéger. "")",0.0,Match
36,"('#le-marquis', ""Mais tout cela n'est rien, si l'on me fait connaître.  Prends bien garde au secret. "")",,1.0,Insertion
37,"('#la-montagne', 'Il vous est sûr. ')","('#crispin', ""N'est-ce point trop vous engager."")",1.36,Substitution
38,"('#le-marquis', 'Comment ? ')",,1.0,Insertion
39,"('#la-montagne', ""La plupart de mes gens ne parlent qu'Allemand.  Comme j'entends la Langue assez pour les instruire,  J'ai voulu les choisir incapables de nuire.  D'ailleurs, que craindre d'eux, puisqu'ils ignorent tous  Que vous êtes mon Maître, et que j'agis pour vous ?  Je les paye, et c'est là tout ce qui leur importe. "")",,1.0,Insertion
40,"('#le-marquis', ""C'en est assez. Va-t-en, avant que quelqu'un sorte. "")","('#thalie', ""Non, qu'ils viennent. "")",0.9,Substitution
41,"('#la-montagne', ""Vous croyez donc qu'ici je sois venu pour rien ?  Il me faut... "")","('#crispin', ""Holà, Monsieur Dufort, la France ?  Voyez si ces Messieurs, ces Dames sont là-haut.  Une Muse de connaissance  Nous honore de sa présence ;  Qu'ils accourent tous au plutôt,  Lui faire la révérence.  En voici deux nouveaux, c'est Ponteuil et Sallé. "")",1.17,Substitution
42,"('#le-marquis', 'Quoi ? Dis vite. ')",,1.0,Insertion
43,"('#la-montagne', ""Attendez, c'est..."")",,1.0,Insertion
44,"('#le-marquis', 'Et bien ? ')",,1.0,Insertion
45,"('#la-montagne', ""Vous m'avez fait songer à ce que je prépare,  Et souvent en courant ma mémoire s'égare. "")",,1.0,Insertion
46,"('#le-marquis', 'Veux-tu que... ')","('#thalie', ""Melpomène ma soeur m'en a déjà parlé.  N'avez-vous pas le fils de la Thorillière ? "")",1.3,Substitution
47,"('#la-montagne', 'Laissez-la, Monsieur, se retrouver.  En rêvant... ')","('#crispin', 'Oui, dont vous aimiez tant le père. ')",1.22,Substitution
48,"('#le-marquis', ""Est-ce ici, Bourreau, qu'il faut rêver ? "")",,1.0,Insertion
49,"('#la-montagne', ""La montre qu'il faudra... Non, je l'ai. "")",,1.0,Insertion
50,"('#le-marquis', 'Va-t-en, traître,  Tu me perdras. ')",,1.0,Insertion
51,"('#la-montagne', 'Et bien, Serviteur ; mais peut-être  Quelque chose manquant, vous en aurez regret. ')","('#thalie', ""De mes faveurs je l'ai toujours comblé,  Et sa famille aussi me sera toujours chère. "")",1.37,Substitution
52,"('#le-marquis', 'Non, sors. ')",,1.0,Insertion
53,"('#la-montagne', 'Ah, je le tiens. Monsieur, votre portrait. ')","('#crispin', 'Tant mieux. La famille a peuplé,  En voici de la jeune espèce.  Vous aimiez fort aussi, dit-on, la Champmeslé ? ')",1.36,Substitution
54,"('#le-marquis', ""Prends et t'éloigne. Quoi, tu reviens ? "")",,1.0,Insertion
55,"('#la-montagne', ""Autre affaire.  J'oubliais de l'argent, c'est le plus nécessaire. "")",,1.0,Insertion
56,"('#le-marquis', 'Voilà ma Bourse. ')",,1.0,Insertion
57,"('#la-montagne', 'Mais... ')","('#thalie', 'Assurément. ')",0.25,Substitution
