,dancourt-desolation-des-joueuses,dancourt-femme-d-intrigues,Cost,Operation Type
0,,"('#gabrillon', 'Ah, vous voilà donc à la fin !  Bonjour, Monsieur de la Brie.')",1.0,Deletion
1,,"('#la-brie', ""Bonjour, cousine : que me veut ta Maîtresse ?  On m'a dit à l'auberge qu'elle avait envoyé me chercher.  La besogne donne-t-elle ?  Car, elle ne m'emploie que lorsqu'il y a ici des affaires à tout rompre."")",1.0,Deletion
2,,"('#gabrillon', 'Les grands génies ne se mettent pas à tous les jours.')",1.0,Deletion
3,"('#lisette', ""Quand Madame votre mère en devrait enrager cent fois davantage, je ne saurais m'empêcher d'en être ravie, et je gage que vous en êtes pour le moins aussi contente que moi."")","('#la-brie', ""Écoute, ne pense pas rire, tout homme qui travaille pour Madame Thibaut, ne doit pas être un sot.  Malepeste !  Il se fait ici les plus belles affaires de Paris : voulez-vous des Charges, des Offices, des Emplois ?  On vous en fera voir de tous les échantillons.  Êtes-vous dans le goût de vous marier ?  On vous y fournira des femmes de toutes tailles, de tous âges ; et si vous plaidez, vous y trouverez des Solliciteuses depuis une pistole jusqu'à trente : voilà ce qu'on appelle une bonne boutique ; il n'y a point ici de nenni.  Mais, mon zèle l'emporte sur la curiosité : dis-moi donc, qui y a-t-il de nouveau."")",1.18,Substitution
4,,"('#gabrillon', 'Bien des affaires, ma foi.')",1.0,Deletion
5,"('#angelique', ""Je t'avoue, Lisette, que je voudrais de tout mon coeur que ce ne fût point uue fausse nouvelle, et que ce qu'on nous en disait hier au soir se confirmât aujourd'hui."")","('#la-brie', 'Et dis-moi donc vite.')",1.12,Substitution
6,,"('#gabrillon', 'Elle se marie.')",1.0,Deletion
7,,"('#la-brie', 'Elle se marie !  Et contre qui ?')",1.0,Deletion
8,,"('#gabrillon', ""Contre un homme qui aura un jour plus de vingt-cinq mille livres de rentes.  Il s'appelle Cléante : il est Capitaine d'Infanterie."")",1.0,Deletion
9,,"('#la-brie', 'Gentilhomme ?')",1.0,Deletion
10,,"('#gabrillon', ""Belle demande !  Il est Gascon : en vient-il d'autres de ce pays-là ?"")",1.0,Deletion
11,,"('#la-brie', 'Il est Gascon ?')",1.0,Deletion
12,,"('#gabrillon', 'Et ma maîtresse Normande.')",1.0,Deletion
13,,"('#la-brie', 'Voilà de quoi faire un bon haras.  Le Gascon et le Normand sont dans le monde, ce que le Singe et le Renard sont dans la fable.  Mais que tu es extravagante de croire...')",1.0,Deletion
14,"('#lisette', ""Cela est tout confirmé, il n'est encore venu ni joueur ni joueuse d'aujourd'hui.  Voilà déjà la cohue écartée, Dieu merci !  Et je sais bien pour moi, que si j'avais gouverné la police, il y a longtemps que l'affaire serait faite, et qu'on ne parlerait plus de ces maudits jeux, qui causent tant de désordre, et qui m'ont fait passer tant de nuits sans me coucher."")","('#gabrillon', ""Je te dis, moi, qu'il donne tête baissée tout au travers de la noce, et que Madame Thibaut lui paraît un parti de douze mille livres de rente, et cela en attendant encore une succession de vingt mille écus."")",1.43,Substitution
15,,"('#la-brie', ""Oh !  L'affaire change bien de face."")",1.0,Deletion
16,"('#angelique', ""Ce ne sont point les veilles qui me fatiguent, et le jeu même ne me déplairait pent-être point si fort, si l'on jouait ailleurs que chez ma mère mais, que cette maison soit une Académie ouverte à toutes sortes de gens ; que tout ce qu'il y a de fainéants, de ridicules et d'extravagants, pour ne rien dire de plus fâcheux, soient les bienvenus dans ce logis ; que dans mon cabinet, à ma toilette même, je sois éternellement obsédée de quelque visage désagréable, à qui je n'ose dire : vous me fatiguez, parce qu'il perd quelquefois son argent avec ma mère en vérité : c'est un supplice dont je serai bien aise d'être débarrassée."")","('#gabrillon', ""Il ne sait point qu'elle a demeuré au Marais, et il y a si peu qu'elle loge en ce quartier-ci, que personne ne s'est encore aperçu de la ruse que je vais t'apprendre.  Ce logis a deux issues.  Par la petite porte, elle est ce qu'elle a coutume d'être, elle se mêle d'intrigues, fait des mariages, prête sur gages ; et par la porte cochère, elle est veuve d'un Conseiller de Bretagne, qui depuis quelques jours est venue s'établir à Paris.  Comme on lui donne à vendre des nippes de toutes parts, la magnificence des meubles, la richesse des pierreries, et l'abondance de vaisselle d'argent que le Capitaine voit dans ce logis, lui font paraître ma maîtresse un des meilleurs partis de la Robe."")",0.3,Substitution
17,,"('#la-brie', ""La fine mouche !  Eh, dis-moi un peu !  Comment t'a-t-elle connue ?"")",1.0,Deletion
18,,"('#gabrillon', 'Par aventure.  Ne connaissons-nous pas tout le monde par aventure, nous autres ?')",1.0,Deletion
19,,"('#la-brie', 'Mais encore, que veut-elle de mon petit ministère ?')",1.0,Deletion
20,,"('#gabrillon', 'Tu ne le sais pas ?')",1.0,Deletion
21,,"('#la-brie', ""Qui me l'aurait dit ?"")",1.0,Deletion
22,,"('#gabrillon', ""On ne t'a donc pas donné sa lettre ?"")",1.0,Deletion
23,,"('#la-brie', ""Non, vraiment !  On m'a dit simplement qu'elle voulait me parler."")",1.0,Deletion
