,dancourt-diable-boiteux,dancourt-femme-d-intrigues,Cost,Operation Type
0,,"('#gabrillon', 'Ah, vous voilà donc à la fin !  Bonjour, Monsieur de la Brie.')",1.0,Deletion
1,"('#le-diable', ""Reposons-nous un peu, s'il vous plaît, Mesdames, je suis las comme un pauvre Diable ; et ce n'est pas peu de fatigue à un boiteux comme moi, d'avoir apporté deux femelles comme vous, de plus de trois cent lieues."")","('#la-brie', ""Bonjour, cousine : que me veut ta Maîtresse ?  On m'a dit à l'auberge qu'elle avait envoyé me chercher.  La besogne donne-t-elle ?  Car, elle ne m'emploie que lorsqu'il y a ici des affaires à tout rompre."")",0.88,Substitution
2,,"('#gabrillon', 'Les grands génies ne se mettent pas à tous les jours.')",1.0,Deletion
3,"('#therese', 'Je trouve que vous ne nous avez pas encore assez éloignées de Madrid ; et si mon mari découvre où nous sommes…')","('#la-brie', ""Écoute, ne pense pas rire, tout homme qui travaille pour Madame Thibaut, ne doit pas être un sot.  Malepeste !  Il se fait ici les plus belles affaires de Paris : voulez-vous des Charges, des Offices, des Emplois ?  On vous en fera voir de tous les échantillons.  Êtes-vous dans le goût de vous marier ?  On vous y fournira des femmes de toutes tailles, de tous âges ; et si vous plaidez, vous y trouverez des Solliciteuses depuis une pistole jusqu'à trente : voilà ce qu'on appelle une bonne boutique ; il n'y a point ici de nenni.  Mais, mon zèle l'emporte sur la curiosité : dis-moi donc, qui y a-t-il de nouveau."")",1.55,Substitution
4,,"('#gabrillon', 'Bien des affaires, ma foi.')",1.0,Deletion
5,,"('#la-brie', 'Et dis-moi donc vite.')",1.0,Deletion
6,,"('#gabrillon', 'Elle se marie.')",1.0,Deletion
7,,"('#la-brie', 'Elle se marie !  Et contre qui ?')",1.0,Deletion
8,"('#le-diable', ""Qu'il le découvre ou non, il n'a plus de pouvoir sur moi, le charme est fini, c'est lui-même cette fouis-ci, qui a cassé la fiole, et qui m'a mis en liberté."")","('#gabrillon', ""Contre un homme qui aura un jour plus de vingt-cinq mille livres de rentes.  Il s'appelle Cléante : il est Capitaine d'Infanterie."")",1.55,Substitution
9,,"('#la-brie', 'Gentilhomme ?')",1.0,Deletion
10,,"('#gabrillon', ""Belle demande !  Il est Gascon : en vient-il d'autres de ce pays-là ?"")",1.0,Deletion
11,,"('#la-brie', 'Il est Gascon ?')",1.0,Deletion
12,,"('#gabrillon', 'Et ma maîtresse Normande.')",1.0,Deletion
13,,"('#la-brie', 'Voilà de quoi faire un bon haras.  Le Gascon et le Normand sont dans le monde, ce que le Singe et le Renard sont dans la fable.  Mais que tu es extravagante de croire...')",1.0,Deletion
14,"('#therese', ""Vous en avez l'obligation de la colère où je le mis ; et sans l'emportement qui lui fit me jeter à la tête ce gros livre que j'eus l'adresse d'éviter, et qui alla, par hasard, briser la bouteille, vous seriez encore dedans, ne vous en déplaise."")","('#gabrillon', ""Je te dis, moi, qu'il donne tête baissée tout au travers de la noce, et que Madame Thibaut lui paraît un parti de douze mille livres de rente, et cela en attendant encore une succession de vingt mille écus."")",0.7,Substitution
15,,"('#la-brie', ""Oh !  L'affaire change bien de face."")",1.0,Deletion
16,"('#le-diable', ""Je conviens de l'obligation que je vous ai, quoique le hasard y ait grande part, et je n'ai pas nui moi-même à me rendre ce bon office."")","('#gabrillon', ""Il ne sait point qu'elle a demeuré au Marais, et il y a si peu qu'elle loge en ce quartier-ci, que personne ne s'est encore aperçu de la ruse que je vais t'apprendre.  Ce logis a deux issues.  Par la petite porte, elle est ce qu'elle a coutume d'être, elle se mêle d'intrigues, fait des mariages, prête sur gages ; et par la porte cochère, elle est veuve d'un Conseiller de Bretagne, qui depuis quelques jours est venue s'établir à Paris.  Comme on lui donne à vendre des nippes de toutes parts, la magnificence des meubles, la richesse des pierreries, et l'abondance de vaisselle d'argent que le Capitaine voit dans ce logis, lui font paraître ma maîtresse un des meilleurs partis de la Robe."")",1.18,Substitution
17,,"('#la-brie', ""La fine mouche !  Eh, dis-moi un peu !  Comment t'a-t-elle connue ?"")",1.0,Deletion
18,,"('#gabrillon', 'Par aventure.  Ne connaissons-nous pas tout le monde par aventure, nous autres ?')",1.0,Deletion
19,,"('#la-brie', 'Mais encore, que veut-elle de mon petit ministère ?')",1.0,Deletion
20,,"('#gabrillon', 'Tu ne le sais pas ?')",1.0,Deletion
21,"('#therese', ""Vous, Seigneur Asmodée ?  Et comment donc, s'il vous plaît ?"")","('#la-brie', ""Qui me l'aurait dit ?"")",0.97,Substitution
22,,"('#gabrillon', ""On ne t'a donc pas donné sa lettre ?"")",1.0,Deletion
23,,"('#la-brie', ""Non, vraiment !  On m'a dit simplement qu'elle voulait me parler."")",1.0,Deletion
24,"('#le-diable', ""C'est moi, qui, en rentrant par la force des conjurations de votre mari, dans la fiole dont Cléophas m'avait tiré, passai par votre appartement, et qui a depuis fâché tant le Magicien, et qui est cause de l'aventure à qui je dois ma liberté."")","('#gabrillon', ""Comment diantre !  Va vite te la faire rendre, et revient sur tes pas ; on pourrait la décacheter, et l'on y verrait trop le caractère de ma maîtresse, et le tien."")",1.0,Substitution
25,,"('#la-brie', ""Tu as raison, cela me décrierait à l'auberge.  De quoi diantre s'avise-t-elle de confier ces choses au papier ?"")",1.0,Deletion
26,"('#sanchette', ""Oh, Monsieur le Diable Boiteux, vous êtes un ingrat, vous voulez diminuer le bon office que vous a rendu ma bonne maman.  Ce n'est point vous qui lui avez soufflé la coquetterie, en rentrant dans la bouteille ; elle a toujours été coquette, ma bonne maman, je le sais bien, mon vilain papa s'en est toujours plaint ; et toutes les mies que j'ai eues, m'ont toujours dit qu'il n'avait pas tort d'être fâché, et que je n'étais pas tout à fait sa fille."")","('#gabrillon', ""Ne perds point de temps en réflexions, et songe à réparer la faute qu'elle a faite."")",1.11,Substitution
27,,"('#la-brie', 'Je ferai diligence, ne te mets pas en peine.')",1.0,Deletion
28,,"('#gabrillon', 'Par où vas-tu ?  Sors par la grande porte, tu abrégeras ton chemin de la moitié.')",1.0,Deletion
29,,"('#la-brie', 'Fort bien.')",1.0,Deletion
30,"('#le-diable', ""Cela se pourrait, et je sais ce qui en est mieux qu'un autre."")","('#gabrillon', ""Monsieur de la Brie est un trésor pour Madame Thibaut, et Madame Thibaut est un petit Pérou pour Monsieur de la Brie, et je ne sais comment ils pourraient se passer l'un de l'autre.  La voici qui revient de la ville, quel équipage pour une femme qui couche en joue un parti de cent mille écus !"")",1.38,Substitution
31,,"('#madame-thibaut', ""Je n'en puis plus, donne-moi une chaise."")",1.0,Deletion
32,,"('#gabrillon', 'Vous vous tuez.')",1.0,Deletion
33,,"('#madame-thibaut', 'Ôte-moi cela.')",1.0,Deletion
34,,"('#gabrillon', 'Vous voilà toute en eau.')",1.0,Deletion
35,,"('#madame-thibaut', ""Porte ce paquet dans ma chambre.  Prends garde à ce coulant, mets cette montre sur ma table, et surtout aie soin que ce collier ne s'égare point."")",1.0,Deletion
36,,"('#gabrillon', 'Mais où avez-vous donc dîné ?  Il est quatre heures.')",1.0,Deletion
37,,"('#madame-thibaut', 'À peine ai-je eu le loisir de manger un morceau chez une de mes amies.')",1.0,Deletion
38,,"('#gabrillon', ""Hé, que ne quittez-vous ce gueux de métier ?  C'est bien à vendre des hardes, ma foi, que vous gagnez le plus."")",1.0,Deletion
39,,"('#madame-thibaut', 'Ton cousin, Monsieur de la Brie, est-il venu ?')",1.0,Deletion
40,,"('#gabrillon', ""Oui, Madame, il s'en est retourné même."")",1.0,Deletion
41,"('#sanchette', ""Hé, dites-le moi, si vous le savez ; je voudrais bien que cela fût vrai, et je serais bien aise de n'être point la fille du Magicien."")","('#madame-thibaut', ""Il s'en est retourné !  Il faut qu'il soit fou.  Y a-t-il un moment à perdre ?  Cléante revient aujourd'hui de Versailles.  Quelques mesures que je prenne pour paraître à ses yeux ce que je ne suis pas, avec le temps tout se sait, et si je ne l'oblige pas à m'épouser avant qu'il soit deux jours, peut-être ne l'épouserai-je jamais."")",1.0,Substitution
42,"('#le-diable', ""Oh bien, soyez contente, vous ne l'êtes point, Mademoiselle Sanchette ; c'est un des plus grands Seigneurs de la Cour, le parrain de votre bonne maman, qui est votre papa."")","('#gabrillon', 'Mon cousin va revenir, ne vous emportez pas.')",1.41,Substitution
43,"('#sanchette', ""Est-il possible ?  Ah !  Que je vous ai d'obligation de m'apprendre ce secret-là !  Cela me va donner cent fois plus d'esprit et de confiance."")","('#madame-thibaut', 'Monsieur de la Brie devient furieusement libertin.  A-t-on écrit les gens qui sont venus me demander ?')",1.22,Substitution
44,,"('#gabrillon', 'Oui, Madame.')",1.0,Deletion
45,,"('#madame-thibaut', 'Qui sont-ils ?')",1.0,Deletion
46,,"('#gabrillon', ""Monsieur l'Abbé Castoret, qui a envoyé deux fois."")",1.0,Deletion
47,,"('#madame-thibaut', ""L'Abbé ?"")",1.0,Deletion
48,"('#therese', 'Votre indiscrétion, Seigneur Asmodée…')","('#gabrillon', ""Monsieur l'Abbé Castoret."")",1.3,Substitution
49,"('#le-diable', ""Oh, sans colère, Madame Thérèse, remerciez-moi de ne mettre qu'un joli homme sur votre compte, vous savez bien que j'en puis nommer d'autres."")","('#madame-thibaut', ""Celui-là vous était recommandé, sans doute, puisque vous le nommez des premiers.  Monsieur l'abbé Castoret vous aurait-il, par quelque petit bénéfice, mise dans ses intérêts ?"")",0.96,Substitution
50,,"('#gabrillon', 'Lui, Madame ?')",1.0,Deletion
