,dufresny-adieux-des-officiers,la-motte-carnaval-folie,Cost,Operation Type
0,"('#le-tambour', 'À cheval, à cheval, Mars, vite à la guerre,  Prends ta rapière,  Il est temps,  Quand le coq a chanté : Mars déjà la gloire,  Et la victoire,  Sont aux champs. ')","('#jupiter #venus #le-choeur', ""Qu'à nos voeux ici tout réponde ; Versez-nous, versez-nous la céleste liqueur. Versez, que le Nectar enchante notre coeur, Qu'il y porte une paix profonde."")",1.46,Substitution
1,"('#un-amour', 'Suivez la gloire et ses attraits,  Laissez Mars et Vénus en paix. ')","('#venus', ""C'en est assez ; goûtons des plaisirs plus parfaits, Et que le tendre Amour à son tour nous inspire. Régnez, Amour, régnez, rassemblez vos attraits; Triomphez, sur nos coeurs étendez votre empire. Mais, qu'à son gré chacun soupire ; Laissez-nous le choix de vos traits."")",0.77,Substitution
2,"('#le-tambour', 'Le bruit de mon tambour et de la trompette,  Met la grisette  Aux abois.  Mais un brave guerrier doit de bonne grâce,  Céder la place  Au bourgeois. ')",,1.0,Insertion
3,"('#l-amour', 'Vénus ne saurait consentir  À le laisser partir. ')","('#choeur', 'Régnez, Amour, régnez, rassemblez vos attraits ; Triomphez, sur nos coeurs étendez votre empire.')",1.79,Substitution
4,"('#le-tambour', 'Un jeune héros doit laisser sa faiblesse  À sa maîtresse  En partant.  Je lui permets de rire avec son hôtesse,  Mais sans tendresse,  En passant. ')","('#jupiter #venus', ""Mais, qu'à son gré chacun soupire ; Laissez-nous le choix de vos traits."")",1.33,Substitution
5,"('#l-amour', ""Ne permettez rien aux amants,  Ils ne sont que trop inconstants.  Mars et Vénus quittent le lit de repos, et s'avancent."")","('#momus', 'Ne vous faites point violence : Junon est encor à Samos, Profitez bien de son absence.')",0.94,Substitution
6,"('#mars', ""Mon devoir m'arrache d'auprès de vous, charmante Vénus, il faut vous quitter dans le temps que votre coeur commençait à s'ébranler pour moi ; quel contretemps ! "")","('#jupiter', ""Téméraire Censeur, laisse-nous en repos. Que l'on chante ici, que l'on danse. Livrons-nous à tous nos désirs ; Sur notre puissance Réglons nos plaisirs. NEPTUNE danse avec THETIS, APOLLON avec DIANE, MARS avec PALLAS, et BACCHUS avec CÉRÉS."")",1.21,Substitution
7,"('#venus', ""Hélas, je suis bien plus à plaindre que vous !  J'ai tout à craindre de votre inconstance ; et une campagne endurcit bien le coeur d'un guerrier."")","('#venus', ""Heureux un coeur que l'Amour blesse. Ah ! Que ses chaînes ont d'appas ! Mettons tous nos plaisirs à lui céder sans cesse : Le pouvoir des Dieux ne vaut pas Une si charmante faiblesse."")",0.87,Substitution
8,"('#le-tambour', ""Il faut, s'il vous plaît, abréger vos dialogues ; vous n'avez que le temps de venir payer votre hôtesse. Bellone a déjà endossé son habit de postillon, elle sera ici dans un moment avec votre chaise de poste. "")",,1.0,Insertion
9,"('#mars', ""Va voir s'il ne manque rien à mon équipage, et laisse-moi profiter de quelques moments que la gloire veut bien accorder à ma tendresse. "")","('#momus', ""Vous ne vous lassez point de plaisirs, ni d'amour; Quand cesserez-vous donc de suivre leur empire !"")",1.41,Substitution
10,"('#le-tambour', ""Votre équipage est complet, il ne vous manque rien que de l'argent ; mais, madame Vénus y pourvoira.  À propos, pendant que je suis dans le magasin de Vulcain, je vais vous choisir deux bons éperons de longueur, car je me souviens que votre cheval est toujours rétif quand il faut sortir de Paris. "")",,1.0,Insertion
11,"('#mars', ""Tes discours m'importunent ; retire-toi. "")","('#venus', 'Quand vous cesserez de médire.')",1.14,Substitution
12,"('#le-tambour', 'À voir les cérémonies que votre cheval fait pour sortir des portes, on croirait que le pauvre animal ressent la moitié de la tendresse que vous avez pour madame. ')","('#momus', 'Ah ! Vous voulez aimer toujours.')",1.36,Substitution
13,"('#mars', 'Hé, laisse-nous en paix. ')","('#jupiter #venus', ""Que de nos chants tous les Cieux retentissent. Que les Jeux, que les Ris signalent ce beau jour. Chantons Bacchus, chantons l'Amour ; Qu'ils sont charmants quand ils s'unissent ! On danse."")",1.48,Substitution
14,"('#le-tambour', ""Vous souvient-il du tour qu'il vous joua en revenant de Flandres, comme nous sortions de cette hôtellerie... là... où vous devîntes amoureux de la servante ? "")","('#venus', ""Dieu d'Amour, réserve-nous tes charmes, C'est pour nos coeurs que tes plaisirs sont faits ; Fais-nous sans alarmes Goûter leurs attraits. Doux moments, Doux transports des amants, Ne pouvez-vous naître Qu'après les tourments ? Aimons tous. Tendre Amour, blesse-nous : Qui peut craindre pour maître Un Vainqueur si doux ? Tes biens trop aimables Sont trop peu durables ; Fixe-les pour nous."")",0.79,Substitution
15,"('#mars', 'Te tairas-tu maraud ? ')",,1.0,Insertion
16,"('#le-tambour', 'Il faut les laisser seuls : le jour du départ on a mille choses à se dire.  Mais voilà Bellone, dépêchez-vous. Vers Mars.')","('#choeur-des-deesses', ""Viens, Amour, avec tous tes charmes, Que les Jeux viennent sur tes pas. Nous aimons tes douces alarmes ; Tes chaînes, tes feux sont remplis d'appas. Prends tes traits, prépare tes armes, Et viens te venger des coeurs qui n'aiment pas. VÉNUS danse avec MARS, et VULCAIN se mêle avec eux pour les observer."")",1.28,Substitution
17,"('#bellone', ""Partez, partez, Mars, il est temps ;  Les plaisirs du printemps  Sont indignes de vous ; allez porter la guerre. Aux deux bouts de la terre.  Laissez en paix, au moins pendant six mois,  Nos ménages bourgeois,  C'est le seul bien que vous leur puissiez faire,  Rien n'est si doux  Pour un jaloux  Que votre absence :  Mais vos adieux,  En récompense,  Sont bien dangereux. "")","('#mercure', ""Quittez, quittez ces Jeux, en faveur de l'Amour : Que de nouveaux soins les suspendent. Dans un moins superbe séjour De plus doux plaisirs vous attendent. J'ai volé, j'ai servi vos feux ; Et mille charmantes mortelles N'aspirent qu'au moment heureux De vous voir soupirer près d'elles."")",0.38,Substitution
18,"('#vulcain', ""Le ciel soit loué !  Voilà Bellone qui va délivrer ma maison de ce grand pendard de Mars.  C'est le plus grand maraud !  Cependant, parce qu'il a de la bravoure, et que je suis naturellement poltron, j'ai mille complaisances pour lui.  Il me prend pourtant envie de venger mon front sur le sien.  Mais, non, c'est un brutal qui n'entend pas raillerie, différons la vengeance jusqu'à ce qu'il soit parti.  Il aime tendrement ma femme, et je ne puis mieux me venger de lui, qu'en rossant ce qu'il aime.  Pour le présent, le plus sûr est de travailler comme si de rien n'était.  Il lève son marteau. Vulcain frappe sur son enclume dans le temps que Mars et Vénus parlent ensemble."")","('#momus', ""Suivez, suivez Mercure, abandonnez les Cieux. Livrez-vous aux plaisirs ; qu'en vain la Gloire gronde, L'Amour est un plus digne objet : Aimez ; il est un Roi qui prend le soin du monde ; Jouissez du loisir qu'un mortel vous a fait."")",0.15,Substitution
19,"('#un-amour', ""Vive la prudence  Du grand dieu Vulcain :  Il voit qu'on l'offense,  Et va toujours son train.  Suivez cet usage,  Mortels indiscrets,  Dans votre ménage  Vous aurez la paix  Vive la prudence  Du grand dieu Vulcain :  Il voit qu'on l'offense,  Et va toujours son train. "")","('#jupiter', ""De tes ris outrageants c'est trop souffrir l'injure, Cesse, Momus, de troubler nos désirs ; FuiS, va chez les mortels exercer ta censure , Et laisse ici les Dieux maîtres de leurs plaisirs."")",0.6,Substitution
