,guimont-de-la-touche-iphigenie,favard-voisenon-la-petite-iphigenie,Cost,Operation Type
0,"('#iphigenie', ""Grand dieu ! Dont en tremblant j'implore l'assistance, Daignez, en l'éprouvant, soutenir ma constance ; Du songe qui m'accable éclaircissez l'horreur. De vos profonds décrets est-il l'avant-coureur ?"")","('#iphigenie', ""Un songe cause en moi de sinistres pensées Je n'ai rêvé la nuit que de glaces cassées Ce terrible accident qui m'afflige beaucoup ; Me menace aujourd'hui de quelque mauvais coup."")",0.9,Substitution
1,"('#ismenie', ""Quels douloureux accents me remplissent d'alarmes ! N'entends-je pas la voix d'Ipliigénie en larmes ?"")","('#iphigenie', 'Est-ce toi que je vois ! Ô ma chère Isménie ! Viens-tu pour consoler la triste Iphigénie ?')",0.37,Substitution
2,"('#iphigenie', ""Est-ce toi, dont les soins me deviennent si chers, Qui seule à ma douleur, restes dans l'univers ?"")",,1.0,Insertion
3,"('#ismenie', ""Vous me faites frémir. Vers ces autels funèbres, Rendus plus effrayants par l'horreur des ténèbres, Pâle et tremblante, hélas ! Que venez-vous chercher, Vous, qui, le jour osez à peine en approcher ? Aucun ordre sanglant n'a frappé mon oreille. Du farouche Thoas la cruauté sommeille ; Son coeur, qui veille en proie aux superstitions, Avide par devoir du sang des nations, Au pied de ces autels, du trouble qui le tue N'assiège point encor Diane et sa statue ; Mais que vois-je ? Vos sens d'épouvante frappés, D'un nuage de pleurs vos yeux enveloppés !..."")","('#ismenie', ""Ce jour pour vous, Madame, est un jour solennel ? Le Roi vient de trouver un malheureux mortel, Sans mouvement, sans force, étendu sur le sable, Thoas prend de ses jours un foin inconcevable, Il cherche à ranimer cet homme languissant Par les bonnes façons d'un coeur reconnaissant, Pour le mettre en état qu'on lui coupe la gorge."")",0.11,Substitution
4,"('#iphigenie', ""À la gloire des Grecs et du fils de Pelée, Diane, que n'étAis-je en Aulide immolée ! Ou que n'ai-je du moins, quand ta puissante main Me transporta loin d'eux sous ce ciel inhumain, Subi la loi sanglante en ton nom établie, Contre les étrangers qu'elle te sacrifie . Ô déesse !"")","('#iphigenie', ""Jouet infortuné des terreurs qu'il se forge, Il ne cherche qu'à voir couler le sang humain, Et moi je suis contrainte à lui prêter ma main."")",0.47,Substitution
5,"('#ismenie', ""Pourquoi lui reprocher toujours La trop juste pitié qui défendit vos jours ? Craignez que sa bonté, si mal récompensée À la fin, de vos pleurs ne se trouve offensée. Mais en ce jour naissant, qui peut les redoubler ? Est-ce le sang qui doit sous votre main couler ? D'un coeur compatissant victime déplorable, Hélas ! Auriez-vous vu l'étranger misérable, Au pied du temple hier trouvé sans mouvement, Sur le sable étendu, privé de sentiment, Que dans l'horrible excès du zèle qui l'enivre, Par d'homicides soins Thoas a fait revivre ?"")","('#ismenie', ""Il fallait supposer dans l'emploi qu'on vous donne, Que vous n'avi[e]z encor sacrifié personne. Peut-on être touché du sort d'une beauté. Qui plonge dans les coeurs son bras ensanglanté ! On aurait pu sauver cette image effrayante, Vous en auriez été bien plus intéressante."")",0.0,Match
6,"('#iphigenie', ""Pourquoi l'aurais-je vu ? N'ai-je donc pas assez De la crainte des maux qui me sont annoncés ? À quels pleurs éternels je semble être livrée ! D'un trop crédule espoir me serais-je enivrée ? Ô destin ! N'ai-je dû naître que pour souffrir ? Me verrai-je toujours, sans vivre ni mourir, Dans ce temple de sang, au meurtre assujettie, Traîner avec effort ma chaîne appesantie, Victime a chaque instant d'un devoir odieux, L'horreur de la nature, et peut-être des dieux ?"")","('#iphigenie', ""Diane, devais-tu me transporter ainsi Pour me faire jouer un pareil rôle ici ! Je n'ai pas un coeur fait pour dépeupler le monde. Un songe met le comble à ma douleur profonde."")",0.24,Substitution
7,"('#ismenie', 'Quoi ! Ne comptez-vous plus sur votre frère Oreste ? Avez-vous oublié cet espoir qui vous reste ?')",,1.0,Insertion
8,"('#iphigenie', ""Vain espoir ! Son trépas ne m'est que trop prédit ! Un songe encor présent à mon coeur interdit..."")","('#ismenie', 'Mettez-le donc en chant si vous le racontez ; Vos rêves sont plus beaux lorsque vous les chantez.')",1.0,Substitution
9,"('#ismenie', ""Pourquoi vous alarmer sur la foi d'un mensonge ? Fille du roi des rois, devez-vous craindre un songe ?"")","('#iphigenie', ""Tu sauras le dernier en lisant les mensonges Dans le Dictionnaire à l'usage des songes. Éclairs, mugissements, spectres, pâles flambeaux Gémissements, terreur, lieux funèbres, tombeaux, Horreur, bruit souterrain, la terre qui s'entrouvre, Un fantôme sortant de l'enfer qu'on découvre Abîme, accents plaintifs, poignards, lambeaux sanglants, Ombre, crime, remords, effroi, g[e]noux tremblants, Autel, temple, cyprès, coupable encens, idole, Ou père, ou mère, ou soeur, ou frère qu'on immole ; Voilà quel est mon songe, et tu reconnais-là, L'histoire de tous ceux que l'on a faits déjà."")",0.89,Substitution
10,"('#iphigenie', ""Le coeur des malheureux a tout à redouter. Mais quel ressouvenir vient encor m'agiter ? Quand dans l'espoir flatteur d'un brillant hyménée, Je fus aux champs d'Aulide en triomphe amenée, De mes affreux destins fatal avant-coureur Un songe également vint me remplir d'horreur ; J'y vis d'Agamemnon la sanglante imposture ; Je le vis à l'autel, outrageant la nature, D'un titre qu'il souillait avidement jaloux, Me présenter la mort au lieu de mon époux !"")","('#eumene', ""Madame, dans ces lieux le tyran va paraître. Il sent une frayeur dont il n'est pas le maître. N'est pas hardi qui veut ; le croiriez-vous ? Il craint Cet étranger mourant qui ne doit qu'être plaint, Et vient comme un devoir presser le sacrifice."")",0.39,Substitution
11,"('#ismenie', ""Quel fantôme aujourd'hui, quel sinistre présage De vos sens égarés suspend encor l'usage ? Osez me le tracer, soulagez votre coeur ; Le récit de nos maux adoucit leur rigueur."")","('#iphigenie', ""Grands Dieux ! Si cette loi vous semble une injustice, Faites- moi triompher du farouche Thoas ; Que ce tyran sensible à mes faibles appas Ne fasse plus du meurtre un auguste mystère Et puisse en me voyant désirer le contraire. Inspirez-moi ces tours et ces mots caressants Qui séduisent l'esprit et captivent les sens, Répandez dans mes yeux cette mélancolie Qui ne blesse les coeurs que pour donner la vie. Et qu'en vous honorant, mes pacifiques mains Ne fervent déformais qu'au bonheur des humains."")",0.0,Match
12,,"('#ismenie', 'Thoas vient, vous pourrez parler des Dieux ensemble.')",1.0,Deletion
13,"('#iphigenie', ""Quel mélange inouï d'horreur et d'allégresse ? Je revoyais les lieux si chers a ma tendresse ; Au sein de la nature et de l'humanité, Je respirais le calme avec la liberté ; Au fond de leur palais, rempli de leur puissance, Je cherchais les auteurs de ma triste naissance, Quand un bruit effrayant, des gouffres du trépas,  S'élève et fait trembler le marbre sous mes pas.  D'une sombre vapeur l'air a l'instant se couvre, La voûte du palais à longs sillons s'entr'ouvre; Je fuis, et la lueur d'un pâle et noir flambeau Ne me laisse plus voir qu'un horrible tombeau. En ce même moment un nouveau bruit s'élève; De ce vaste débris qu'avec peine il soulève, Sort un jeune inconnu, sanglant, pâle, meurtri ; Il m'appelle en poussant un lamentable cri : J'accours ; et pleine encor du fatal ministère Dont je porte le joug, esclave involontaire, Ornant son front de fleurs et du bandeau mortel, Je le traîne en pleurant aux marches de l'autel. Ce jeune infortuné, grands dieux ! c'était mon frère.. Sorti du sein des morts, mon parricide père Semblait, brûlant encor de la soif de son sang, Forcer ma main tremblante à lui percer le flanc."")","('#thoas', ""Si je viens vous trouver c'est parce que je tremble Madame,"")",0.9,Substitution
14,"('#ismenie', ""Chassez ces vains objets, effacez-en l'empreinte."")","('#iphigenie', ""C'est un mal où vous êtes sujet."")",1.78,Substitution
15,"('#iphigenie', ""N'es-tu plus, cher espoir ? en croirai-je ma crainte ? Es-tu, comme ta soeur, à l'orgueil immolé ? Pour un autre Ilion ton sang a-t-il coulé ? Hélas ! Tu soutenais mon timide courage ; J'attendais chaque jour qu'un favorable orage Me livrât sur ces bords, de mes larmes trempes, Quelques malheureux Grecs au naufrage échappés, Pour instruire par eux Argos et ta tendresse, Du cours de mes destins, ignoré de la Grèce ; Sûre que ton grand coeur, pénétré de mon sort, M'affranchirait d'un joug plus cruel que la mort: Inutiles projets ! Les dieux, dans leur vengeance, M'ont voulu tout ravir, jusques à l'espérance."")","('#thoas', ""Ou dormant ou veillant quelque sinistre objet À mon coeur effrayé vient donner des secousses ; Je crois à chaque instant voir l'enfer à mes trousses ; J'entends dans ma cave on roule des tonneaux ; Lorsque je fuis couché, l'on tire mes rideaux Des fantômes hideux croyant faire merveilles, Viennent dès que je dors, me crier aux oreilles. Vous qui savez parler à tout ce monde-là, Il faut absolument faire cesser cela."")",0.52,Substitution
16,"('#ismenie', ""Croyez-en moins un songe et vos pressentiments : 11n'est d'oracles sûrs que les événements. Quel barbare plaisir, quelle fureur extrême D'irriter vos ennuis sans pitié pour vous-même ! D'ailleurs, souvent les dieux, qu'accusent nos douleurs, Annoncent leurs bienfaits sous l'aspect des malheurs. Jusqu'au dernier moment que votre coeur espère ; Je peux encor pour vous nommer ici mon père : Votre rang, vos vertus, mes pleurs et vos bienfaits, Jusqu'au fond de son coeur ont porté vos regrets. Caché sous l'humble toit qu'honore sa vieillesse, Du soin de vos malheurs il se remplit sans cesse. Hélas ! que votre sort lui fait sentir le sien ! Mais, madame, parlez ; nos jours sont votre bien."")","('#iphigenie', ""Seigneur, ces esprits font les mortels qu'on immole."")",0.97,Substitution
17,"('#eumene', ""V tyran, pressé par ses sombres alarmes, Vient, Madame, rouvrir la source de vos larmes. Inquiet, éperdu, croyant tout ce qu'il craint, Redoutant l'étranger qui ne doit qu'être plaint, Il vient, en ses terreurs, aussi cruel qu'extrême, L'immoler par vos mains au ciel moins qu'à lui-même."")","('#thoas', ""Qu'ils se plaignent plus bas, leur concert me désole ; Mais il faut immoler le nouvel étranger."")",1.01,Substitution
18,"('#iphigenie', 'À quoi me réduit-il ? fatale extrémité ! Et quel moment encor choisit sa cruauté !')","('#iphigenie', ""D'un si funeste emploi daignez me dégager."")",0.47,Substitution
