,la-fontaine-climene,cahusac-l-algerien,Cost,Operation Type
0,,"('#la-satire', ""J'étouffe. Oh ! C'en est trop..."")",1.0,Deletion
1,,"('#apollon', 'Quoi toujours des murmures !')",1.0,Deletion
2,"('#acanthe', ""Apollon se plaignait aux neuf Soeurs, l'autre jour, De ne voir presque plus de bons vers sur l'amour. Le siècle, disait-il, a gâté cette affaire : Lui nous parler d'amour ! Il ne la sait pas faire. Ce qu'on n'a point au coeur, l'a-t-on dans ses écrits ? J'ai beau communiquer de l'ardeur aux esprits ; Les belles n'ayant pas disposé la matière, Amours et vers, tout est fort à la cavalière. Adieu donc, ô beautés ! Je garde mon emploi Pour les surintendants sans plus, et pour le roi. Je viens pourtant de voir, au bord de l'Hippocrène, Acanthe fort touché de certaine Clymène. J'en sais qui sous ce nom font valoir leurs appas ; Mais, quant à celle-ci, je ne la connais pas : Sans doute qu'en province elle a passé sa vie."")","('#la-satire', ""Eh ! Comment ne pas murmurer ? Tout contre moi semble se déclarer On me sait chaque jour de nouvelles injures... Quoiqu'il arrive, il faut que ma sincérité Soulage mon coeur irrité."")",0.51,Substitution
3,,"('#apollon', 'À ces noires vapeurs on connaît la Satire.')",1.0,Deletion
4,,"('#la-satire', ""Il ne m'est plus permis de parier ni d'écrire, Et tout trahit la vérité."")",1.0,Deletion
5,"('#erato', ""Sire, j'en puis parler ; c'est ma meilleure amie. La province, il est vrai, fut toujours son séjour ; Ainsi l'on n'en fait point de bruit en votre Cour."")","('#apollon', ""N'abusez plus de ce nom respecté. La vérité sans vous voit fleurir son empire. Confondrez-vous toujours sa douceur, sa beauté. Son aimable ingénuité Avec la fureur de médire."")",0.59,Substitution
6,,"('#la-satire', ""L'erreur est de votre côté. De vices, de travers, le monde est infecté, Et médire est être sincère."")",1.0,Deletion
7,"('#uranie', 'Je la connais aussi.')",,1.0,Insertion
8,"('#apollon', ""Comment, vous, Uranie ! En ce cas, Terpsichore, Euterpe, et Polymnie, Qui n'ont pas des emplois du tout si relevés, M'en apprendront encor plus que vous n'en savez."")","('#uranie', ""Et voilà les discours d'un esprit emporté. Moins ami de la probité Qu'esclave des transports d'une aveugle colère. Car enfin quels objets peuvent tant vous déplaire ?"")",1.02,Substitution
9,,"('#la-satire', 'Tout.')",1.0,Deletion
10,"('#polymnie', 'Oui, sire, nous pouvons vous en parler chacune.')","('#uranie', 'Comment tout ?')",0.99,Substitution
11,,"('#la-satire', 'WARNING: invalid @part in source.')",1.0,Deletion
12,,"('#clio', ""Oh bon ! C'est comme à l'ordinaire ; Puisque tout lui déplaît, sans doute tout va bien."")",1.0,Deletion
13,,"('#la-satire', ""En effet l'ennui qui nous ronge Est un bonheur extrême et qui doit nous flatter."")",1.0,Deletion
14,,"('#apollon', ""L'ennui donne ses traits à celui qui s'y plonge Il est le mal des Sots, l'esprit sait l'éviter. Finissons, et tâchez de calmer votre bile."")",1.0,Deletion
15,"('#apollon', ""Si ma prière n'est aux Muses importune, Devant moi tour à tour chantez cette beauté ; Mais sur de nouveaux tons, car je suis dégoûté. Que chacune pourtant suive son caractère."")","('#la-satire', ""Non, je ne saurais voir avec un coeur tranquille Les malheurs qui sur nous fondent de toutes parts, Vous nous fîtes jadis abandonner la Grèce, Rome avec nous reçut les talents et les arts Ils y fructifiaient sous les yeux des Césars, À la Cour, à la ville, on nous fêtait sans cesse ; Mais notre gloire enfin déchût : L'ignorance et la barbarie Nous chassèrent de l'Italie. Louis en France alors comme un Astre parut, Nous vînmes à la hâte aux cris de ce grand homme? Colbert nous accueillit, le Roi nous secourut ; Nous étions à Paris encore mieux qu'à Rome. Maintenant, s'il vous plaît, où nous conduirez-vous ? Quand partons-nous ? Parlez ?"")",0.59,Substitution
16,,"('#uranie', ""Pourquoi cette folie ? Des arts la France est la Patrie ; Dans Athènes ; ils n'ont point joui d'un sort plus doux."")",1.0,Deletion
17,"('#euterpe', 'Sire, nous nous savons toutes neuf contrefaire : Pour si peu laissez-nous libres sur ce point-là.')","('#la-satire', ""Cette réponse est juste, on doit vous la permettre Vous êtes à la mode, on vous chérit encor, Pour tous vos nourrissons votre art est un trésor, Chaque femme a son Géomètre, Et c'est pour eux le Siècle_d_or : Tout le reste abattu n'ose se faire entendre, Craint, haï, sans secours, et comme sans aveu."")",0.73,Substitution
18,,"('#apollon', ""C'est qu'on nous prend pour vous..."")",1.0,Deletion
19,"('#apollon', ""Commencez donc, Euterpe, ainsi qu'il vous plaira."")","('#la-satire', ""Eh ! Peut-on s'y méprendre ; J'ai de l'esprit au moins."")",1.52,Substitution
20,,"('#apollon', ""Mais entre nous fort peu ; Et dans le fonds qu'en avez vous affaire ; Lorsqu'on se permet tout il n'est plus nécessaire, Dans voire art odieux le sot même a beau jeu. Ce siècle est éclairé, puisqu'il faut vous le dire, On craint sans l'estimer le talent de médire, Il a mille dangers, et n'est plus glorieux."")",1.0,Deletion
21,"('#euterpe', ""Que ma compagne m'aide, et puis en dialogue, Nous vous ferons entendre une espèce d'églogue."")","('#la-satire', 'Si le Siècle était vertueux Il ne craindrait pas la Satire...')",1.39,Substitution
22,"('#apollon', ""Terpsichore, aidez-la mais surtout évitez Les traits que tant de fois l'églogue a répétés ; II me faut du nouveau, n'en fût-il point au monde."")","('#clio', ""Vous perdez dans les airs les traits que vous lancez Contre le siècle heureux que j'ajoute à l'histoire. Il égale est vertus tous les siècles passés Sans avoir leurs erreurs, il a toute leur gloire."")",0.83,Substitution
23,"('#terpsichore', ""Je m'en vais commencer ; qu'Euterpe me réponde. Quand le soleil a fait le tour de l'univers, Ce n'est point d'avoir vu cent chefs-d'oeuvre divers, Ni d'en avoir produit, qu'à Téthys il se vante ; Il dit : J'ai vu Clymène, et mon âme est contente."")","('#la-renommee', ""Doctes soeur écoutez... LOUIS aux Champs de Mars Fait revivre en lui seul les Héros de sa race : Il vole en conquérant au milieu des hasards, De ses Ennemis qu'il terrasse, Il a foudroyé les Remparts. CLERMONT le suit... CONDÉ n'était pas plus terrible. La foudre est dans ses mains, la mort dans ses regards ; Tout fuit devant LOUIS, tout lui devient possible : La Victoire enchaînée à son bras invincible Ne fuit plus que ses étendards."")",0.7,Substitution
24,,"('#apollon', ""Nous avons dû prévoir les lauriers qu'il moissonne, Tout nous annonçait ses exploits ; Grand dans sa Cour, grand aux Champs de Bellone, LOUIS sera toujours le modèle des Rois."")",1.0,Deletion
25,,"('#la-renommee', ""Dans les Alpes CONTI s'est ouvert un passage, Mont_Dauphin_et_Démond se livrent au Vainqueur. La prudence prépare et guide son ardeur, Des deux Rivaux fameux de Rome et de Carthage Il rassemble au printemps de l'âge L'art, la sagesse et la valeur."")",1.0,Deletion
26,,"('#clio', ""De ce jeune Guerrier nous devons tout attendre Par l'aurore de ses travaux, Jugez du jour brillant qu'ils vont bientôt répandre."")",1.0,Deletion
27,,"('#apollon', ""Ces succès éclatants doivent peu nous surprendre : L'exemple des grands Rois fait toujours des Héros."")",1.0,Deletion
28,"('#euterpe', ""L'aurore vous veut voir Clymène, montrez-vous : Non, ne bougez du lit ; le repos est trop doux : Tantôt vous paraîtrez vous-même une autre aurore ; Mais ne vous pressez point, dormez, dormez encore."")","('#calliope', ""Mon coeur est transporté de ce qu'il vient d'entendre, Vous dont le génie et la voix Des ravages du temps font triompher la gloire, Des vertus de LOUIS, de ses brillants exploits Hâtez-vous d'embellir le Temple de Mémoire. Il règne sur les coeurs que son bras a soumis, Il répand sur ses jours une gloire immortelle, Il est l'effroi de tous ses ennemis, Et l'amour d'un Peuple fidèle. En enthousiasme."")",0.81,Substitution
29,,"('#melpomene', 'Mes soeurs... Ah ! Juste Ciel ! Quelle affreuse nouvelle !')",1.0,Deletion
30,"('#terpsichore', ""Au gré de tous les yeux Clymène a des appas : Un peu de passion est ce qu'on lui souhaite : Pour de l'amitié seule, elle n'en manque pas : Cinq ou six grains d'amour, et Clymène est parfaite."")","('#clio', 'Que nous veut Melpomène en pleurs ?')",1.05,Substitution
31,,"('#terpsicore', ""C'est le ton qu'elle prend pour paraître plus belle."")",1.0,Deletion
32,,"('#melpomene', ""Apollon apprenez le plus grand des malheurs. C'en est fait... Je succombe à ma douleur mortelle."")",1.0,Deletion
33,,"('#apollon', 'Ah ! Parlez. Dissipez, ou comblez nos terreurs.')",1.0,Deletion
34,"('#euterpe', ""L'amour, à ce qu'on dit, empêche de dormir : S'il a quelque plaisir, il ne l'a pas sans peine. Voyez la tourterelle, entendez-la gémir :  Vous vous garderez bien de condamner Clymène."")","('#melpomene', ""Tout est perdu... Ce Roi l'objet de notre zèle, Le protecteur des Arts, l'ami de ses Sujets, Intrépide au combat, juste pendant la Paix, Que la France adorait, qui s'immolait pour elle..."")",0.91,Substitution
35,,"('#apollon', 'Achevez. Aurions-nous à craindre pour ses jours ?')",1.0,Deletion
36,"('#terpsichore', ""Vénus depuis longtemps est de mauvaise humeur Clymène lui fait ombre; et Vénus, ayant peur D'être mise au-dessous d'une beauté mortelle, Disait hier à son fils : Mais la croit-on si belle ? Hé oui, oui, dit l'Amour, je vous la veux montrer."")","('#melpomene', ""Le barbare ennemi qui le force à la guerre, Croyant de ses exploits interrompre le cours, Du sang de ses Sujets avait rougi la terre. Hélas ! Ce tendre Roi volait à leur secours ; Déjà l'Ennemi tremble, il se trouble, il s'arrête ; La vengeance en éclats va fondre sur sa tête... .Tout à coup sur LOUIS le destin en courroux... Mes pleurs et mes soupirs disent assez le reste."")",0.67,Substitution
37,"('#apollon', ""Vous sortez de l'églogue."")","('#apollon', 'Juste Ciel ne frappe que nous.')",1.92,Substitution
38,,"('#melpomene', ""Il expire peut-être en ce moment funeste : La France perd un père, et l'Empire un vengeur."")",1.0,Deletion
39,"('#euterpe', ""IL nous y faut rentrer. Amour en quatre parts divise son empire : Acanthe en fait moitié, ses rivaux plus d'un quart ; Ainsi plus des trois quarts pour Clymène soupire : Les autres belles ont le reste pour leur part."")","('#apollon', ""Ciel, nous n'attendons plus que des jours de douleur ; C'est un peuple soumis que ton courroux foudroyé ? Il ne voyait en lui qu'un tendre bienfaiteur."")",1.25,Substitution
40,"('#terpsichore', ""Tout ce que peut avoir un coeur d'indifférence, Clymène le témoigne : elle en a destiné Les trois quarts pour Acanthe ; heureux dans sa souffrance S'il voit qu'à ses rivaux le reste soit donné !"")","('#thalie', 'Dissipez les terreurs dont votre âme est la proie ; Le péril est passé, le Ciel nous rend LOUIS : Livrons nos coeurs à la plus vive joie ; Les pleurs ne sont plus faits que pour ses ennemis.')",0.68,Substitution
