,moliere-divertissement-chambord,moliere-monsieur-pourceaugnac,Cost,Operation Type
0,,"('#premiere-voix', ""Répands, charmante nuit, répands sur tous les yeux, De tes pavots la douce violence, Et ne laisse veiller en ces aimables lieux: Que les coeurs que l'Amour soumet à sa puissance. Tes ombres et ton silence  Plus beau que le plus beau jour, Offrent de doux moments à soupirer d'amour."")",1,Deletion
1,,"('#deuxieme-voix', ""Que soupirer d'amour Est une douce chose, Quand rien à nos voeux ne s'oppose ! À d'aimables penchants notre coeur nous dispose, Mais on a des tyrans à qui l'on doit le jour. Que soupirer d'amour Est une douce chose, Quand rien à nos voeux ne s'oppose !"")",1,Deletion
2,,"('#troisieme-voix', ""Tout ce qu'à nos voeux on oppose, Contre un parfait amour ne gagne jamais rien ; Et pour vaincre toute chose, Il ne faut que s'aimer bien."")",1,Deletion
3,,"('#trois-voix-ensemble', ""Aimons-nous donc d'une ardeur éternelle, Les rigueurs des parents, la contrainte cruelle, L'absence, les travaux, la fortune rebelle, Ne font que redoubler une amitié fidèle : Aimons-nous donc d'une ardeur éternelle.  Quand deux coeurs s'aiment bien, Tout le reste n'est rien. La sérénade est suivie d'une danse de deux Pages, pendant laquelle quatre Curieux de spectacles, ayant pris querelle ensemble, mettent l'épée à la main. Après un assez agréable combat, ils sont séparés par deux Suisses, qui les ayant mis d'accord dansent avec eux, au son de tous les instruments."")",1,Deletion
4,,"('#julie', ""Mon_Dieu !  Éraste, gardons d'être surpris ; je tremble qu'on ne nous voie ensemble, et tout serait perdu, après la défense que l'on m'a faite."")",1,Deletion
5,,"('#eraste', ""Je regarde de tous côtés, et je n'aperçois rien."")",1,Deletion
6,,"('#julie', ""Aie aussi l'oeil au guet, Nérine, et prends bien garde qu'il ne vienne personne."")",1,Deletion
7,,"('#nerine', 'Reposez-vous sur moi, et dites hardiment ce que vous avez à vous dire.')",1,Deletion
8,,"('#julie', ""Avez-vous imaginé pour notre affaire quelque chose de favorable ?  Et croyez-vous, Éraste, pouvoir venir à bout de détourner ce fâcheux mariage que mon père s'est mis en tête ?"")",1,Deletion
9,,"('#eraste', 'Au moins y travaillons-nous fortement ; et déjà nous avons préparé un bon nombre de batteries pour renverser ce dessein ridicule.')",1,Deletion
10,,"('#nerine', 'Par ma foi, voilà votre père !')",1,Deletion
11,,"('#julie', 'Ah séparons-nous vite.')",1,Deletion
12,,"('#nerine', ""Non, non, non, ne bougez, je m'étais trompée."")",1,Deletion
13,,"('#julie', 'Mon_Dieu, Nérine, que tu es sotte de nous donner de ces frayeurs !')",1,Deletion
14,,"('#eraste', ""Oui, belle Julie, nous avons dressé pour cela quantités de machines, et nous ne feignons point de mettre tout en usage, sur la permission que vous m'avez donnée.  Ne nous demandez point tous les ressorts que nous ferons jouer, vous en aurez le divertissement ; et comme aux comédies, il est bon de vous laisser le plaisir de la surprise, et de ne vous avertir point de tout ce qu'on vous fera voir, c'est assez de vous dire que nous avons en main divers stratagèmes tous prêts à produire dans l'occasion, et que l'ingénieuse Nérine et l'adroit Sbrigani entreprennent l'affaire."")",1,Deletion
15,,"('#nerine', ""Assurément.  Votre père se moque-t-il de vouloir vous anger***** de son avocat de Limoges, Monsieur de Pourceaugnac, qu'il n'a vu de sa vie, et qui vient par le coche vous enlever à notre barbe ?  Faut-il que trois ou quatre mille écus de plus, sur la parole de votre oncle, lui fassent rejeter un amant qui vous agrée ?  Et une personne comme vous est-elle faite pour un Limousin ?  S'il a envie de se marier, que ne prend-il une Limo[u]sine et ne laisse-t-il en repos les chrétiens ?  Le seul nom de Monsieur de Pourceaugnac m'a mis dans une colère effroyable.  J'enrage de Monsieur de Pourceaugnac.  Quand il n'y aurait que ce nom-là, Monsieur de Pourceaugnac, j'y brûlerai mes livres, ou je romprai ce mariage, et vous ne serez point Madame de Pourceaugnac.  Pourceaugnac !  Cela se peut-il souffrir ?  Non, Pourceaugnac est une chose que je ne saurais supporter, et nous lui jouerons tant de pièces, nous lui ferons tant de niches sur niches, que nous renverrons à Limoges Monsieur de Pourceaugnac."")",1,Deletion
16,,"('#eraste', 'Voici notre subtil Napolitain, qui nous dira des nouvelles.')",1,Deletion
17,,"('#sbrigani', ""Monsieur, votre homme arrive, je l'ai vu à trois lieues d'ici, où a couché le coche ; et dans la cuisine où il est descendu pour déjeuner, je l'ai étudié une bonne grosse demie heure, et je le sais déjà par coeur.  Pour sa figure, je ne veux point vous en parler, vous verrez de quel air la Nature l'a dessinée, et si l'ajustement qui l'accompagne y répond comme il faut : mais pour son esprit, je vous avertis par avance qu'il est des plus épais qui se fassent ; que nous trouvons en lui une matière tout à fait disposée pour ce que nous voulons, et qu'il est homme enfin à donner dans tous les panneaux qu'on lui présentera."")",1,Deletion
18,,"('#eraste', 'Nous dis-tu vrai ?')",1,Deletion
19,,"('#sbrigani', 'Oui, si je me connais en gens.')",1,Deletion
20,,"('#nerine', ""Madame, voilà un illustre, votre affaire ne pouvait être mise en de meilleures mains, et c'est le héros de notre siècle pour les exploits dont il s'agit : un homme qui vingt fois en sa vie, pour servir ses amis, a généreusement affronté les galères ; qui au péril de ses bras et de ses épaules, sait mettre noblement à fin les aventures les plus difficiles ; et qui, tel que vous le voyez, est exilé de son pays pour je ne sais combien d'actions honorables qu'il a généreusement entreprises."")",1,Deletion
21,,"('#sbrigani', ""Je suis confus des louanges dont vous m'honorez, et je pourrais vous en donner, avec plus de justice, sur les merveilles de votre vie ; et principalement sur la gloire que vous acquîtes, lorsqu'avec tant d'honnêteté vous pipâtes au jeu, pour douze mille écus, ce jeune Seigneur étranger que l'on mena chez vous ; lorsque vous fîtes galamment ce faux contrat qui ruina toute une famille ; lorsqu'avec tant de grandeur d'âme, vous sûtes nier le dépôt qu'on vous avait confié ; et que si généreusement on vous vit prêter votre témoignage à faire pendre ces deux personnages qui ne l'avaient pas mérité."")",1,Deletion
22,,"('#nerine', ""Ce sont petites bagatelles qui ne valent pas qu'on en parle, et vos éloges me font rougir."")",1,Deletion
23,,"('#sbrigani', 'Je veux bien épargner votre modestie ; laissons cela ; et pour commencer notre affaire, allons vite joindre notre provincial, tandis que de votre côté vous nous tiendrez prêts au besoin les autres acteurs de la comédie.')",1,Deletion
