,regnard-arlequin-bonnes-fortunes,regnard-coquette,Cost,Operation Type
0,"('#le-vicomte', ""Holà, quelqu'un de mes gens !  Champagne, Picard, la Violette, Tortillon, Basque, mes pantoufles, ma robe de chambre, mon carrosse, à dîner, un bouillon. Ne suis-je pas bien malheureux qu'un homme de ma qualité soit obligé d'éveiller ses gens lui-même ?  Où sont donc ces marauds-là ?  Ouais ! Et toi, ne te lèveras-tu point ?  Si je prends un bâton, maraud, je te ferai bien lever.  C'est un trésor en hiver qu'un laquais au pied d'un lit ; son ventre sert de bassinoire.  Il sort du lit avec une robe d'aveugle des Quinze-Vingts.  À Mezzetin. Il donne un coup de pied à Mezzetin, qui est encore couché. Mezzetin, s'éveillant en sursaut, baille et se lève.  À part. "")","('#arlequin', ""Vous en avez menti, messieurs les commis de la barrière, je ne dois rien : vous êtes des fripons.  On est plus assuré au milieu des bois que dans ce maudit pays-ci : on ne saurait faire un pas qu'on ne trouve un filou.  Il n'y a pas une demi-heure que je suis arrivé dans Paris, et me voilà déjà presque tout déshabillé...  Au voleur !  Au voleur !  Quelle maudite nation !  À peine suis-je entré dans la ville, qu'on fait derrière mon cheval l'opération à ma valise ; on en tire les hardes, et on la fait accoucher avant terme.  En descendant à l'hôtellerie, on m'escamote ma casaque.  Je fais deux pas dans la rue, un fiacre me couvre de boue depuis les pieds jusqu'à la tête ; un porteur de chaise me donne d'un de ses bâtons dans le dos : il vient un homme me saluer ; je lui ôte mon chapeau, un coquin par derrière m'arrache ma perruque ; et, pour comble de friponneries, on veut me faire payer l'entrée à la porte comme bête à cornes, parce que je viens pour me marier...  Attendez donc que je sois... "")",0.58,Substitution
1,,"('#arlequin', ""Monsieur, n'êtes-vous pas un coupeur de bourses ?  Au lieu de répondre, Mezzetin tourne autour de lui, l'examine en se moquant de lui ; et Arlequin fait des lazzis de frayeur. Le restant de cette scène consiste dans un jeu italien. "")",1.0,Deletion
2,,"('#colombine', ""Holà, quelqu'un !  N'ai-je là personne ?  Cascaret, Jasmin, Pierrot, Bagatelle, Bagatelle ! "")",1.0,Deletion
3,,"('#colombine', ""D'où vient, petit garçon, qu'il faut vous appeler tant de fois ? "")",1.0,Deletion
4,,"('#bagatelle', ""Mademoiselle, c'est que j'achevais ma main au lansquenet. "")",1.0,Deletion
5,,"('#colombine', ""N'est-il venu personne me demander ? "")",1.0,Deletion
6,,"('#bagatelle', ""Il est venu cinq ou six personnes ; mais j'ai oublié leurs noms et ce qu'elles m'ont dit. "")",1.0,Deletion
7,,"('#colombine', 'Le petit étourdi !')",1.0,Deletion
8,,"('#pierrot', ""Monsieur le conseiller a dit qu'il allait revenir.  Il est venu aussi cette grande femme qui a le visage si creux, qui vous viendra voir tantôt, quand elle aura été chez son libraire. "")",1.0,Deletion
9,,"('#colombine', ""C'est notre bel esprit ; je la tiens quitte de sa visite dès à présent. Venez çà ; allez chez ma couturière, et dites-lui que je veux avoir mon habit aujourd'hui.  À Bagatelle. "")",1.0,Deletion
10,,"('#bagatelle', 'Ne lui dirai-je pas aussi de nous faire des culottes ?  La mienne est toute déchirée entre les jambes, et ma chemise passe, révérence parler, par... ')",1.0,Deletion
11,,"('#colombine', 'Taisez-vous, petit sot, et faites ce que je vous dis.')",1.0,Deletion
12,,"('#isabelle', 'Hé bien, cousine, as-tu bientôt mis la dernière main à ton visage ? ')",1.0,Deletion
13,,"('#colombine', ""Dis-moi, je te prie, comment me trouves-tu aujourd'hui ? "")",1.0,Deletion
14,,"('#isabelle', 'À charmer. ')",1.0,Deletion
15,,"('#colombine', ""J'ai beau arranger mes traits, il me semble qu'il y en a toujours quelqu'un qui se révolte contre mon économie. "")",1.0,Deletion
16,,"('#isabelle', ""Je t'assure que tu es d'un air à faire payer contribution à tous les coeurs de la ville. "")",1.0,Deletion
17,,"('#colombine', ""Je sais bien, sans vanité, que j'ai quelque agrément ; mais avec un peu de beauté, et trois ou quatre mouches sur le nez, une fille ne va pas loin dans le siècle où nous sommes.  Il faut de cela pour plaire ... Et pour attraper un époux, qui est le point difficile.  Nous commençons tout doucement à monter en graine, et nous sommes assez fortes pour bien soutenir une thèse en mariage.  Elle se touche le front. "")",1.0,Deletion
18,"('#mezzetin', ""Vous faites l'entendu, parce que les bonnes fortunes vous suivent partout ; mais souvenez-vous que nous sommes deux laquais, et qu'il n'y a point d'autre différence entre nous que celle que j'y veux bien mettre : ainsi, un peu plus de douceur, s'il vous plaît, et un peu moins d'emportement avec votre camarade. "")","('#isabelle', ""J'en tombe d'accord.  Crois-tu, cousine, que j'aie le coeur plus dur que toi ?  Je sens quelquefois qu'une fille n'est pas née pour vivre seule ; je t'avouerai même que j'emploie tout mon esprit pour attirer quelque amant dans le filet conjugal.  Mais les hommes sont des pestes de poissons rusés qui viennent badiner autour de l'appât, et qui mordent rarement à l'hameçon.  Le mariage se décrie de jour en jour ; je crois, pour moi, que nous allons voir la fin du monde. "")",0.67,Substitution
19,,"('#colombine', ""Que tu es folle !  Quoique le mariage ne soit plus guère à la mode, les hommes ont beau faire, ils ne sauraient se passer de nous.  Leur répugnance pour le mariage vient de la simplicité des filles qui ne savent pas jouer leur rôle.  L'homme est un animal qui veut être trompé. "")",1.0,Deletion
20,"('#le-vicomte', ""Ce n'est point pour te quereller, Mezzetin, que je t'éveille de si bon matin ; c'est seulement pour te dire que toutes ces bonnes fortunes me donnent fort à penser.  À l'égard de celles qui me viennent par les présents que l'on m'envoie de toutes parts, passe ; mais pour celles que nous faisons en volant des montres, en enfonçant des boutiques, et en coupant des bourses ; ma foi, j'ai peur que toutes ces bonnes fortunes-là ne nous fassent faire notre mauvaise fortune à la Grève. "")","('#isabelle', ""Je ne m'applique nuit et jour à autre chose.  Je relève, avec art, les agréments que la nature m'a donnés : je joins à quelque brillant d'esprit les talents de la poésie et de la musique : pour mes manières, elles sont douces et insinuantes ; et, avec tout cela, point d'épouseurs. "")",0.37,Substitution
21,"('#mezzetin', 'Hé !  Nous travaillons pour cela. ')","('#colombine', 'Mais que prétendent donc tous ces petits messieurs-là ? ')",1.4,Substitution
22,,"('#isabelle', ""C'est ce que je ne conçois pas.  On sait bien qu'il y a de certaines avances qui accrochent quelquefois.  Mais vous en aurez menti, messieurs les soupirants ; et si j'accorde quelque faveur, ce ne sera, ma foi, que par-devant notaire, et en vertu d'un bon parchemin bien signé. "")",1.0,Deletion
23,,"('#colombine', ""Cependant ce n'est pas une chose si difficile que tu le penses, d'engager un homme.  Savoir risquer un billet dans son temps, marcher sur le pied à l'un, tendre la main à l'autre, se brouiller avec celui-ci, se raccommoder avec celui-là : crois-moi, avec ce petit manège-là, il faut, bon gré, mal gré, que quelque bête donne dans les toiles. "")",1.0,Deletion
24,"('#le-vicomte', 'Voila une méchante besogne. ')","('#isabelle', ""Il me semble que tu copies assez bien une coquette d'après nature.  Prends-y garde, au moins : on ne fait plus guère de fortune à ce métier-là. "")",1.64,Substitution
25,,"('#colombine', ""Bon !  Il n'y a plus que les sottes qui se persuadent d'attraper des hommes par des airs composés.  Cousine, le monde m'en a plus appris qu'à toi, et je te suis caution qu'une fille n'est piquante qu'autant qu'elle a pris sel dans la coquetterie. "")",1.0,Deletion
26,"('#mezzetin', 'Tenez, voilà-t-il pas encore la robe que vous volâtes à cet aveugle des Quinze-Vingts, qui vous sert de robe de chambre ? ')","('#isabelle', ""Vraiment !  Ce ne sont pas là les maximes de ma mère, qui me prône tous les jours que la coquetterie est l'antipode du mariage ; et j'ai ouï dire cent fois à mon oncle qu'une fille coquette ressemble à ces vins pétillants dont tout le monde veut tâter, et dont personne ne veut acheter pour son ordinaire. "")",1.12,Substitution
27,"('#le-vicomte', ""Il y a longtemps qu'elle était neuve.  J'ai déjà dit trois ou quatre femmes que j'avais besoin d'un surtout de toilette : il y a bien du relâchement dans la galanterie ; et les femmes commencent à se décrier furieusement dans mon esprit.  Oh !  Nous ne vivrons pas longtemps bien ensemble. "")","('#colombine', ""Voilà-t-il pas mes contes de grand'mères, qui condamnent dans leurs enfants les plaisirs que l'âge leur refuse !  Je veux, moi, te donner des conseils pour le mariage, plus courts et plus faciles : et afin que tu les retiennes mieux, je vais te les lire en vers. "")",0.72,Substitution
28,,"('#isabelle', ""En vers, ma petite !  Ah !  C'est ma folie. "")",1.0,Deletion
29,,"('#colombine', ""Une fille qui veut se faire  Un époux parmi ses amants,  Doit changer à tous les moments  Et de visage et de manière ;  Tantôt, d'un air modeste, elle entre dans un coeur,  Sous un faux semblant de sagesse ;  Et tantôt, rallumant un feu de belle humeur,  Elle y porte à la fois la joie et la tendresse ;  Elle sait finement, par un mélange heureux,  Délaver la douceur avecque la rudesse ;  Du frein ou de l'épron usant avec adresse,  Suivant que l'animal est vif ou paresseux. N'en perds pas une syllabe.  Portrait d'une Coquette, ou la vraie morale d'une Fille à marier. Elle lit. "")",1.0,Deletion
30,,"('#isabelle', 'Je ne sais pas comment sera le reste, mais le début est fort vif. ')",1.0,Deletion
31,"('#mezzetin', 'À propos de robe de chambre, tandis que vous dormiez, madame la marquise de Noirchignon vous en a envoyé une. ')","('#colombine', ""Pour conserver les coeurs qu'elle a su préparer,  Elle tient toujours la balance  Entre la crainte et l'espérance,  Laissant un pauvre amant doucement s'enferrer.  Si quelqu'un, rebuté de son trop long martyre,  Cherche à s'échapper du filet,  Par de fausses bontés alors on le retire :  On écrit, et Dieu sait le style du billet !  Un roi ne paierait pas tout ce qu'on lui promet :  On se désespère, on soupire ;  Trac, l'oiseau rentre au trébuchet.  Rien ne se démentira.  Elle continue de lire. "")",1.74,Substitution
32,,"('#isabelle', ""Au trébuchet !  Un mari ne se prend pas comme un oiseau ; il faut bien d'autres piéges. "")",1.0,Deletion
33,,"('#colombine', ""Je te dis qu'en amour ils sont si niais, qu'une fille qui sait un peu son métier en va duper trente à la fois. Lui parle-t-on d'amour...  Elle poursuit sa lecture. "")",1.0,Deletion
34,"('#le-vicomte', 'Voyons-la. ')","('#isabelle', 'Encore ? ')",0.16,Substitution
35,"('#mezzetin', ""Passe.  La pauvre créature fait tout ce qu'elle peut pour m'égratigner le coeur, "")",,1.0,Insertion
