,regnard-arlequin-bonnes-fortunes,regnard-filles-errantes,Cost,Operation Type
0,"('#le-vicomte', ""Holà, quelqu'un de mes gens !  Champagne, Picard, la Violette, Tortillon, Basque, mes pantoufles, ma robe de chambre, mon carrosse, à dîner, un bouillon. Ne suis-je pas bien malheureux qu'un homme de ma qualité soit obligé d'éveiller ses gens lui-même ?  Où sont donc ces marauds-là ?  Ouais ! Et toi, ne te lèveras-tu point ?  Si je prends un bâton, maraud, je te ferai bien lever.  C'est un trésor en hiver qu'un laquais au pied d'un lit ; son ventre sert de bassinoire.  Il sort du lit avec une robe d'aveugle des Quinze-Vingts.  À Mezzetin. Il donne un coup de pied à Mezzetin, qui est encore couché. Mezzetin, s'éveillant en sursaut, baille et se lève.  À part. "")","('#isabelle', 'Que vous plaît-il, monsieur ?')",1.67,Substitution
1,"('#mezzetin', ""Vous faites l'entendu, parce que les bonnes fortunes vous suivent partout ; mais souvenez-vous que nous sommes deux laquais, et qu'il n'y a point d'autre différence entre nous que celle que j'y veux bien mettre : ainsi, un peu plus de douceur, s'il vous plaît, et un peu moins d'emportement avec votre camarade. "")","('#arlequin', ""Écoute, Claudine ; voici un gentilhomme qui vient loger chez moi avec sa soeur ; il faut que tu leur donnes deux chambres l'une contre l'autre."")",1.01,Substitution
2,,"('#isabelle', ""Ciel !  Que vois-je ?  Cinthio avec une autre que moi, qu'il fait passer pour sa soeur !"")",1.0,Deletion
3,,"('#arlequin', 'Claudine, tu ne me réponds point.')",1.0,Deletion
4,,"('#isabelle', ""Le traître !  Il ne fait pas semblant de me connaître.  J'ai tout quitté pour le chercher, et il ne daigne pas seulement me regarder."")",1.0,Deletion
5,"('#le-vicomte', ""Ce n'est point pour te quereller, Mezzetin, que je t'éveille de si bon matin ; c'est seulement pour te dire que toutes ces bonnes fortunes me donnent fort à penser.  À l'égard de celles qui me viennent par les présents que l'on m'envoie de toutes parts, passe ; mais pour celles que nous faisons en volant des montres, en enfonçant des boutiques, et en coupant des bourses ; ma foi, j'ai peur que toutes ces bonnes fortunes-là ne nous fassent faire notre mauvaise fortune à la Grève. "")","('#arlequin', ""N'entends-tu, Claudine ?  Ce gentilhomme vient loger chez moi ; il lui faut deux chambres l'une auprès de l'autre.  Entends-tu bien ?"")",1.11,Substitution
6,"('#mezzetin', 'Hé !  Nous travaillons pour cela. ')","('#isabelle', ""Est-ce là le prix de tant d'amour ?  Ingrat !  Devais-je être traitée de cette manière ?"")",1.32,Substitution
7,"('#le-vicomte', 'Voila une méchante besogne. ')","('#arlequin', 'Que la peste te crève !  Claudine, me répondras-tu à la fin ?')",1.69,Substitution
8,"('#mezzetin', 'Tenez, voilà-t-il pas encore la robe que vous volâtes à cet aveugle des Quinze-Vingts, qui vous sert de robe de chambre ? ')","('#isabelle', ""Je vous demande pardon, monsieur ; ce sont des vapeurs dont je suis attaquée, et je ne sais ce que je dis. Tu m'abandonnes, scélérat !  Et tu n'oses arrêter sur moi tes regards. À part."")",1.38,Substitution
9,"('#le-vicomte', ""Il y a longtemps qu'elle était neuve.  J'ai déjà dit trois ou quatre femmes que j'avais besoin d'un surtout de toilette : il y a bien du relâchement dans la galanterie ; et les femmes commencent à se décrier furieusement dans mon esprit.  Oh !  Nous ne vivrons pas longtemps bien ensemble. "")","('#arlequin', ""Ah !  Je te casserai, ma foi, la gueule, et je ferai bien passer tes pestes de vapeurs.  Je te dis qu'il faut deux chambres l'une contre l'autre.  M'entends-tu à cette heure ?  Dis donc, parle."")",0.84,Substitution
10,"('#mezzetin', 'À propos de robe de chambre, tandis que vous dormiez, madame la marquise de Noirchignon vous en a envoyé une. ')",,1.0,Insertion
11,"('#le-vicomte', 'Voyons-la. ')",,1.0,Insertion
12,"('#mezzetin', ""Passe.  La pauvre créature fait tout ce qu'elle peut pour m'égratigner le coeur, "")",,1.0,Insertion
13,"('#mezzetin', ""Il est aussi venu' un laquais de la part de madame la comtesse de Charbonglacé, qui a laissé un paquet dans une toilette.  Diable !  Celle-ci est bien mieux étoffée que l'autre.  La Comtesse pourrait bien me faire faire la sottise de l'aimer.  Mais il ne fait pas si cher vivre à Paris ; tout s'y donne.  Il tire une toilette où est encore une robe de chambre.  On frappe rudement à la porte. "")","('#isabelle', 'Oui, monsieur, je vous entends : vous pouvez vous en aller ; je vais accommoder tout cela.')",1.23,Substitution
14,"('#mezzetin', ""Monsieur, c'est le laquais de la Veuve de ce procureur. "")",,1.0,Insertion
15,"('#le-vicomte', 'Laisse-le entrer. ')","('#cinthio', 'Allons, ma soeur, entrez.')",0.28,Substitution
16,,"('#colombine', 'Voilà une fille qui me semble bien surprise ! Elle entre.')",1.0,Deletion
17,,"('#isabelle', 'Cinthio ?')",1.0,Deletion
18,"('#le-vicomte', 'Que diable me veut-elle ? ')","('#cinthio', 'Que voulez-vous ?')",0.45,Substitution
19,"('#le-laqauis', ""Monsieur, voilà ce que madame vous envoie ; elle dit comme çà que vous aurez l'honneur de la voir bientôt. "")","('#isabelle', 'Vous ne me dites rien ?')",1.53,Substitution
20,"('#le-vicomte', ""Mon enfant, dis-lui qu'elle ne s'en donne pas la peine. Je vais prendre un remède pour me débrouiller le teint.  Le laquais sort. "")","('#cinthio', ""Je n'ai rien à vous dire."")",1.58,Substitution
21,"('#le-vicomte', 'Comment !  Encore une robe de chambre !  Il faut avouer que les femmes nous aiment bien en déshabillé.  On frappe à la porte. ')","('#isabelle', 'Vous ne reconnaissez pas Isabelle ?')",1.9,Substitution
22,"('#mezzetin', ""Monsieur, c'est la Marquise. "")","('#cinthio', 'Vous, Isabelle ?  Je ne vous connais point.')",1.74,Substitution
23,"('#le-vicomte', 'Donne-moi vite la robe de chambre de la Marquise. Mezzetin prend la robe de chambre de la Marquise, et le Vicomte la met par-dessus la sienne. On refrappe à la porte. ')","('#isabelle', ""Tu me méprises, perfide !  Mais je saurai me venger. Elle entre dans l'hôtellerie."")",1.24,Substitution
24,"('#mezzetin', ""Ce n'est pas la Marquise, monsieur, c'est la Comtesse.  Il faut remarquer qu'à chaque fois que l'on heurte, Mezzetin va voir à la porte, et revient sur-le-champ."")","('#mezzetin', ""Que vois-je, Pierrot ?  Ai-je la berlue ?  Oui...  Non...  Si fait : c'est elle ; c'est ma soeur."")",0.94,Substitution
25,"('#le-vicomte', 'Et vite, la robe de chambre de la Comtesse ! Tout serait perdu si elle me trouvait sans cela.  Il met encore cette robe de chambre sur les deux autres. On continue de frapper. ')",,1.0,Insertion
26,"('#mezzetin', ""Oh !  Monsieur, c'est la veuve du procureur. "")","('#pierrot', ""Votre soeur ?  Je n'en crois rien, monsieur, si je n'y touche."")",1.32,Substitution
27,"('#le-vicomte', ""Que le diable l'emporte !  Ne saurait-elle donner une robe de chambre sans venir l'essayer ?  Donne.  Il met la troisième robe de chambre avec beaucoup de peine, ne pouvant presque plus se remuer à cause des trois autres qu'il a déjà sur lui ; à la fin, après plusieurs lazzis, il tombe, et à peine est-il relevé que la Veuve entre. "")",,1.0,Insertion
28,"('#le-vicomte', ""Hé !  Morbleu, madame !  Ne vous avais-je pas fait dire que je n'étais pas visible aujourd'hui ?  Hé, ventrebleu !  Ne saurait-on rendre un lavement sans femme ? "")","('#mezzetin', ""C'est elle-même.  Et que faites-vous donc ici, madame la coureuse ?"")",1.07,Substitution
29,"('#la-veuve', 'Pour vous trouver, monsieur, il faut vous prendre au saut du lit ; le reste du jour vous êtes inabordable. ')","('#colombine', 'Ah, mon frère !  Ne vous emportez point ; je vous dirai...')",1.27,Substitution
30,"('#le-vicomte', ""Il est vrai que je n'ai pas une heure à moi.  Je suis si courbatu de ces aventures que le vulgaire appelle bonnes fortunes, que mon superflu suffirait à vingt fainéants de la cour. "")",,1.0,Insertion
31,"('#la-veuve', ""Je crois, monsieur, que c'est aujourd'hui un de vos jours de conquête ; vous voilà fleuri comme un petit Cupidon. "")",,1.0,Insertion
32,"('#le-vicomte', ""Je n'ai pourtant encore fait la conquête que d'un bouillon postérieur qui me cause des épreintes horribles : il faut que ma femme de chambre ne me l'ait pas donné de droit fil. "")",,1.0,Insertion
33,"('#la-veuve', ""J'ai été aussi incommodée toute la nuit de tranchées ; je suis aujourd'hui à faire peur. "")",,1.0,Insertion
34,"('#le-vicomte', ""En vérité, madame, cela est vrai : il y a aujourd'hui bien des erreurs à votre teint ; mais il est resté là-bas un peu de décoction, ne vous en faites point de nécessité. "")",,1.0,Insertion
35,"('#la-veuve', ""Ce n'est pas avec des simples que l'âcreté de mon mal peut se guérir : ma maladie est là.  Elle se touche au coeur."")",,1.0,Insertion
36,"('#le-vicomte', ""On sait bien qu'une femme grosse a toujours de petits maux de coeur. "")",,1.0,Insertion
37,"('#la-veuve', 'Moi, grosse !  Moi !  Ah, quelle ordure !  Il y a trois ans que Monsieur Gratefeuille, mon mari, est mort !  Grosse !  Quelle obscénité ! ')","('#mezzetin', 'Et que me diras-tu, effrontée ?  Tiens, il me prend envie de faire une capilotade de ton foie, de ta fressure, de ton gésier.')",0.9,Substitution
38,,"('#colombine', 'Mon pauvre Pierrot !...')",1.0,Deletion
39,"('#le-vicomte', ""Ah, madame !  Je vous demande pardon ; je vous croyais fille.  On s'y trompe quelquefois. "")","('#pierrot', ""Mon pauvre Pierrot !  Votre frère a raison ; j'aime l'honneur, moi ; et je ne veux pas qu'une fille coure le guilledou."")",0.93,Substitution
40,"('#la-veuve', ""Mais, monsieur, je vous trouve bien gros ; qu'avez-vous ? "")",,1.0,Insertion
41,"('#le-vicomte', ""Je n'ai rien, c'est que je soupai furieusement hier au soir. "")","('#mezzetin', 'Parle donc ; dis-moi, quelle raison as-tu eue de sortir de la maison paternelle, carogne, carognissime ?')",1.33,Substitution
42,"('#la-veuve', ""Il faut qu'il y ait autre chose : N'êtes-vous point hydropique ? "")",,1.0,Insertion
43,"('#le-vicomte', ""J'en serais bien fâché. "")",,1.0,Insertion
44,"('#la-veuve', ""Voyons.  Elle lui lève ses robes de chambre l'une après l'autre. "")","('#pierrot', ""Voulez-vous parier, monsieur, que c'est l'amour qui l'a mise en campagne ?  Les filles sont des vaisseaux qui ne vont d'ordinaire que de ce vent-là."")",1.87,Substitution
