,schelandre-tyr-sidon-i,schelandre-tyr-sidon-ii,Cost,Operation Type
0,"('#leonte', ""Ô grand fils de Junon, qui d'un tour de ton bras Peux lever un empire ou le verser à bas, Dieu de tous les vaillants aussi bien que des Thraces, Ô mars ! Père d'honneur, je te rends mille grâces. Et toi, puissant Hercule, honte des fainéants, Invincible ennemi des monstres et géants, Qui vois comme dans Tyr on révère ton temple (Peut-être le plus beau que tout le ciel contemple), Mon patron, je t'estime entre les demi-dieux Comme entre les flambeaux le soleil radieux, Et promets à ce coup, si l'ennemi succombe, À tous vos deux autels une entière hécatombe. Car c'est de vos faveurs, ces deux derniers étés, Qu'en ma charge ayant pris des soldats rebutés, Des fuyards coutumiers, jouets de l'épouvante, Moins fermes que la paille en tourbillon mouvante, Je les ai rassurés, les ai tant affermis Qu'ils ont barre aujourd'hui sur tous leurs ennemis. Tant de ces roitelets qui, depuis Alexandre, Ont osé contre nous la Phénice entreprendre, Ne pouvant plus d'eux-même en armes subsister, Viennent ceux de Sidon tous en ligne assister. Mais qu'ils sont bien trompés ! Je peins la crainte blême Au milieu de leurs fronts dans leur enceinte même, Tant sont-ils acculés, au petit pied réduits !"")","('#cassandre', ""Ô le plus inhumain de la race divine, Vrai fils de Tisiphone, adopté de Cyprine, Ennemi capital de toute liberté, Tyran du jugement et de la volonté, Petit enfant de corps, vieux routier de malices, Avare de présents, prodigue de supplices, Jusques à quand, amour, au fonds de tes enfers Sentirai-je tes feux, tes gênes et tes fers ? Pourquoi repousses-tu mes prières plus saintes ? Es-tu, comme sans yeux, sans oreilles aux plaintes ? Si les dieux sont cléments et tendres au pardon, Tu n'es pas un vrai Dieu, rigoureux Cupidon. Depuis que par mes yeux un éclair de ton foudre Mit en braise mon coeur, mes chastes voeux en poudre, Et qu'en ton feu grégeois, qui s'accroît dans les eaux, Mes larmes ont servi de cire à tes flambeaux, Comment a peu mon âme endurer cette guerre ? Comment trainé-je encor mes membres sur la terre ? Et comment s'est-il fait qu'un tel torrent de pleurs D'un cours continuel n'ait tari mes humeurs ? Qu'un brasier tant couvé ne m'ait réduite en cendre ? Que parmi tant de morts la mort ne m'ait su prendre ? Fut-il jamais au monde une fille de roi, En qui le sort parût plus muable qu'en moi ? Moi de qui les beaux yeux échauffaient de leurs flammes Les lieux plus éloignés et les plus froides âmes, Sont ternis tout_à_coup, et cierges retournés, Sont, au lieu de rayons, de pleurs environnés : Moi qui des plus francs coeurs maîtresse reconnue Me trouve d'un captif esclave devenue : D'un trésor où l'amour assemblait ses attraits, Une butte ordinaire où se plantent ses traits. Hélas ! Que direz-vous, ô beaux et jeunes princes, Des plus grands que l'Asie élève en ses provinces, Qui par devoir exact à ma beauté rendu, Par fidèle service et par sang épandu, Et par tous les tourments de l'amoureuse rage ( Qu'aujourd'hui je ressens, las ! Trop à mon dommage ) À la fin de vos maux n'en avez remporté Qu'un refrongné refus confit en cruauté, Que direz-vous de moi ? Le feu qui me consomme Provient d'un caillou froid qui ne tient rien de l'homme. La vengeance du Ciel surmonte mes rigueurs, Car même elle défend la plainte à mes langueurs. « C'est souffrir doublement que souffrir en cachette, Ce sont larmes de sang que les larmes secrètes. » Lorsque mon coeur, poussé de mouvements soudains, Prépare des discours pour fléchir ses dédains Je tremble, je rougis, ma liberté s'envole, Ma langue à mon palais, immobile, se colle : Las ! Si voit-il mon mal ; ma mine seulement Ne l'expose que trop à son beau jugement : Mais, inhumain qu'il est, aveugle volontaire, Il ne veut pas me voir d'un regard salutaire. Il est d'autres chaînons de longtemps détenu, Mon oeil est (je le sais) d'un autre oeil prévenu, Ma soeur, ma soeur me nuit, et moins que moi craintive D'un lien mutuel doucement le captive : Crève-coeur non pareil ! Celle qui me devrait Céder en toute chose, anticipe mon droit ! Ha ! Fille sans respect, à me perdre obstinée, Oses-tu supplanter ta malheureuse aînée ? Oui, je n'en doute plus, il serait ébranlé Par le premier soupir de mon sein désolé, Eut-il le sein rempli d'une roche glacée Si tes attraits larrons ne m'avaient devancée. Mais, deussé-je, appelant tout secours le plus prompt, Arracher de son trône Hécate au triple front ; Y dussé-je employer, de rage débordée, Les gobelets de Circé et les arts de Médée ; Deussé-je, descendante aux antres de la mort, Conjurer les fureurs, le médisant discord, L'envie au teint plombé, la noire jalousie, Le soupçon méfiant, la forte frénésie, Et tout ce que d'affreux l'enfer conçut jamais, Je vous ferai la guerre en me donnant la paix. ( Qui veut bâtir au sûr, il ne faut pas qu'il ente Le nouveau sur le vieil, mais que tout il déplante Le dessein précédent pour y fonder le sien. ) Et, quand tous ces efforts ne m'aideraient à rien, Plutôt par un poison je me verrai vengée Qu'être toujours plaignante et jamais soulagée. Tout beau, folle Cassandre ! À quoi te résous-tu ? Comment s'est aujourd'hui cette rare vertu, Ce naturel accort, cette douceur aimée, En vice, en cruautés, en horreurs, transformée ? Remets, remets ton sens en sa propre maison ; Écarte les vapeurs qui troublent ta raison, Et pour de Méliane un sain jugement rendre, Mets l'intérêt à part que tu dois y prétendre. Cyprine, par ses lois, a permis de saisir ( À qui premier le peut ) l'objet de son désir, Sans égard d'aucuns temps, de personne ou de place. Partant, si de ta soeur la jeunesse et la grêce Ont donné dans la vue au prince de Sidon, Dois-tu, par un dépit flottant à l'abandon Du vent passionné d'une injuste querelle, Machiner un effet si funeste contre elle ? Non ! Meurs plutôt, pauvrette, en imputant ta mort À la malignité des astres et du sort, Qu'à ce traître complot pour guérir condescendre, Digne d'une Progné, non pas d'une Cassandre. Outre ces crève-coeurs, un présage nouveau, Un songe, cette nuit, m'a brouillé le cerveau : Déjà les roussins noirs qui trainent la charrette De l'ennuyeuse nuit espéraient leur retraite, Et, sentant de leur train les trois quarts mesurés, Courraient à chef baissé droit aux flots désirés ; Déjà la fraîche main du vigilant phosphore Commençait à blanchir le portail de l'aurore ; Mon front était à sec ; mes yeux, étant marris De manquer d'exercice en leurs ruisseaux taris, Comme par nonchalance, et faute de lumière, S'étaient laissez coller l'une et l'autre paupière, Non pas d'un vrai dormir, doux frère d'Atropos ( Car mon tourment n'est point compatible au repos ), Mais d'un léger sommeil interrompu de masques, De spectres, de frayeurs et de songes fantasques. Étant, me semblait-il, loin du bruit soucieux, Sises dessous un aulne en un pré spacieux, Seules, ma soeur et moi, nous cueillions des fleurettes, Chantants à qui mieux mieux quelques airs d'amourettes. Un cerf à l'impourvu, d'un pas gaiment doux, Sortant d'un bois prochain, s'est avancé vers nous ; Sa ramure était d'or, d'or la forte chaussure Qui de ses pieds légers marquait l'assiette sûre ; Son col haut et poli, son front large et longuet, Sur qui deux yeux hagards semblaient faire le guet ; Son poil était plus blanc que les floquets de laine Qui tombent en janvier des nuaux sur la plaine, Ses membres bien replets ; bref, il était si beau Que la reine des bois, à l'argenté flambeau, Pour ses chastes ébats en serait idolâtre. Il aborde sans crainte, et d'un geste folâtre Fait caresse à ma soeur d'un muffle incarnatin, Baisant ses mains, ses yeux, sa bouche et son tétin ; Puis va, tourne, revient, sautelle d'allégresse, Comme un chien qui se joue aux pieds de sa maîtresse. Elle aussi le mignarde avec des ris flatteurs, Ornant ses andouilliers de joyaux et de fleurs ; J'en voulais faire autant ; il recule farouche : La seule Méliane en privauté le touche ; À mes plus doux appas sa rigueur ne fléchit ; Quand je veux l'approcher, il s'esquive et gauchit. Je conçus lors dépité une humeur envieuse Qui me rendait déjà ma germaine odieuse, Quand je vois l'animal, après ces jeux mignards, L'accrocher par le bust[e] à l'or de ses brancards, La lever éminente aux pointes de sa tête, Puis recourir aux bois, joyeux de sa conquête ; J'y cours, et lui s'enfuit ; mais, talonné de près, Peureux, il lâche prise et me quitte son faix : Je poursuis nonobstant ; après telle rescousse, Le désir de vengeance et d'honneur qui me pousse Me rend les pieds dispos et les membres légers. Après avoir longtemps, sans crainte des dangers Brossé parmi les forts et les ronces poignantes, Par vallons raboteux, par cavernes sonnantes, ( Chose effroyable à voir ! ) Son chef devint tout rond, Il perdit à l'instant les armes de son front, Son poitrail s'épaissit de longue chevelure, La jambe s'accourcit, l'oreille et l'encolure ; Son poil devint tout roux et ses deux yeux ardents, Sa mâchoire s'arma de grands rochers de dents, Un tissu d'os nerveux, qui lui sort de l'échine, En lui battant les flancs, l'échauffe et le mutine : Ses pieds vinrent griffus, larges à l'avenant : Bref, ce fut un lion, qui, vers moi se tournant Déjà d'un saut agile me tenait attrapée ; De si soudaine peur ma pauvre âme frappée Fit bondir en sursaut un inutile réveil, Qui n'ôta point le songe en ôtant le sommeil. Dieux ! Si c'est mon trépas que Morphé me présage, C'est ma félicité plutôt que mon dommage. « Le choix du moindre mal, c'est l'heur du malheureux : Il vaut mieux n'être point que d'être langoureux. »"")",0.0,Match
1,"('#phulter', ""Pensez-y, Monseigneur : ils sont trop bien conduits Pour faire sans dessein des fuites et remises. Tel lâche bien le pied qui veut venir aux prises ; Ils ont un capitaine en santé revenu, Leur prince, homme sans peur, qui n'est que trop connu Pour un habile maître en l'art de la milice. Que si, jusqu'à présent, il évite la lice, Peut-être qu'en cédant le champ plus spacieux, Il veut s'avantager en assiette de lieux Ou nous veut attirer par quelque stratagème."")","('#belcar', ""Si jamais un amant, tout content de sa dame, Eut sujet de bénir et l'amour et sa flamme, Je suis celui qui dois, selon mes premiers voeux Honorer son autel du trépas de cent boeufs : Ce digne enfant de Mars, qui n'est jamais sévère À ceux qui leurs beaux ans consacrent à son père, Âme de l'univers, esprit qui rend épris D'un céleste désir des hommes les esprits, Si favorable aux siens que l'inconstante roue N'est jamais importune aux amants qu'il avoue, Le plus adroit tireur, le plus ingénieux, Le plus beau, le plus fort, et le plus craint des Dieux. Amour, qui, bien-heurant le malheur de ma prise, A guidé mes pensers à si haute entreprise, À si brave dessein, que l'oser seulement, Me serait trop d'honneur en tout événement : Il a d'une beauté par delà tout exemple, ( L'objet le plus parfait que le soleil contemple ) Engravé dans mon sein, d'un trait noble et doré, Le céleste portrait au naturel tiré ; Et puis, pour me ravir d'une douce merveille, Il a piqué son coeur d'une flèche pareille ; Si qu'aujourd'hui je puis, ô mortel trop heureux ! Me dire autant aimé que je suis amoureux. Il ne reste qu'un point pour comble de ma gloire, Il ne reste qu'un fort pour fin de ma victoire, Le formaliste hymen contre moi le défend : Mais je serai bientôt pleinement triomphant, Car la sincère foi de ma belle princesse Fait que de ce côté toute crainte me cesse : Puis, quelque dur traité qu'on m'y veuille apporter, J'irai la carte blanche au père présenter : La patience est douce et sans peine l'attente, Alors que l'espérance est solide et constante. Voici ma Meliane, ah ! Quel essaim d'attraits ! Elle ne me voit pas. Almodice est auprès ; De Megère à Cyprine étrange différence ! J'entendrai de ce coin toute leur conférence."")",0.0,Match
2,,"('#meliane', ""Non, non, ne craignez pas, ma mère, que mon feu Des bornes de l'honneur s'égare tant soit peu ; J'aime, mais sans hasard de voir abandonnée La fleur de mon printemps qu'en faveur d'Hyménée."")",1.0,Deletion
3,"('#leonte', ""Nous y serons présents, et voilà ce que j'aime."")","('#almodice', ""Ne vous offensez pas, Madame, si je crains Que ce joyau si cher vous échappe des mains : Après l'avoir lâché, la repentance est vaine. Or, bien que vous n'ayez, comme votre germaine Abouché mon tétin, je vous ai toutefois Pendue à mon collet et mille et mille fois, Dès que, venant au jour, vous parûtes si belle ; Pour cela je vous aime, et peut-être plus qu'elle, Pour cela je suis libre, et de franche façon Je prends l'autorité de vous donner leçon. Je sais que c'est de nous et sais que c'est des hommes, Ils nous en font accroire, ô sottes que nous sommes ! Qu'ils sont blessés à mort, comme en effet aussi Aucuns par nos rigueurs tombent en grand souci ; Mais leur cupidité souvent est supprimée Aussi légèrement qu'elle fut allumée : Comme le trop de bois étouffe un petit feu, S'il est mis à propos le grossit peu à peu ; Ainsi de nos faveurs, dont ils brûlent d'envie, Trop éteint leur amour, peu l'entretient en vie : Amour qui toutefois ne peut vivre un moment S'il ne tire toujours de ce doux aliment. Mais, comme vous voyez que dans la grande masse D'un antique palais, une seule crevasse Croissante avec le temps, le fait tendre au déclin, Fait brèche irréparable et le renverse enfin, Par semblable progrès leur brigue périlleuse Mine l'âme fragile et la chair chatouilleuse, Tant qu'ils nous fassent choir."")",1.36,Substitution
4,"('#phulter', 'Ne méprisons jamais un adversaire armé.')","('#meliane', ""Pour un chaste baiser, Je ne le pourrais pas ni dois le refuser : Cela ne gâte rien ; c'est un bien qui s'envole Et l'ennui languissant d'une attente console."")",1.57,Substitution
5,"('#leonte', 'En refusant le choc peut-il être estimé ?')","('#almodice', ""C'est, Madame, c'est là le soupçon qui me tient, C'est où je vous attends ; je sais trop comme vient Du baiser le toucher, du toucher autre chose."")",1.7,Substitution
6,"('#phulter', 'Voyez que chaque jour il augmente ses forces.')",,1.0,Insertion
7,"('#leonte', 'Il reçoit tous les jours quelques rudes entorses.')",,1.0,Insertion
8,"('#phulter', 'Les premiers coups du jeu ne donnent pas le gain.')","('#meliane', ""Autre but qu'un baiser Belcar ne se propose."")",1.51,Substitution
9,,"('#almodice', ""C'est un essai friand qui fait croître la faim."")",1.0,Deletion
