id,Name,id_similar,Name_similar,Intersection,Distances,Renamings,Alignment Pair frequencies
fre000016,andrieux-moliere-et-ses-amis,fre000207,cadet-gassicourt-souper-de-moliere,"[""laforet"", ""chapelle"", ""moliere"", ""mignard"", ""lulli"", ""lafontaine"", ""tous""]",0.4999995231628418,"{('la-fontaine2', 'despreaux1')}","defaultdict(<class 'int'>, {('despreaux1', 'la-fontaine2'): 1})"
fre000017,anonyme-adam,fre000039,anonyme-vierges-folles-vierges-sages,"[""moise"", ""david"", ""daniel"", ""jeremie"", ""isaie"", ""nabuchodonosor""]",0.3923438787460327,"{('reponse2', 'dieu1')}","defaultdict(<class 'int'>, {('dieu1', 'reponse2'): 1})"
fre000023,anonyme-deroute-des-precieuses,fre001159,pure-deroute-des-precieuses,"[""lamour"", ""lecolporteurcriant"", ""colporteurportant"", ""precieuses"", ""lepoete"", ""lesgalants"", ""hymen""]",3.9155063033103943,"{('l-amour1', 'l-amour2'), ('le-poete2', 'le-poete1'), ('colporteur-portant2', 'colporteur-portant1'), ('le-colporteur-criant2', 'le-colporteur-criant1'), ('precieuses2', 'precieuses1'), ('les-galants2', 'les-galants1'), ('hymen2', 'hymen1')}","defaultdict(<class 'int'>, {('l-amour1', 'l-amour2'): 1, ('le-colporteur-criant1', 'le-colporteur-criant2'): 1, ('colporteur-portant1', 'colporteur-portant2'): 1, ('precieuses1', 'precieuses2'): 1, ('le-poete1', 'le-poete2'): 2, ('les-galants1', 'les-galants2'): 1, ('hymen1', 'hymen2'): 1})"
fre000045,archambault-ce-n-est-pas,fre000049,archambault-janot-battus,"[""janot"", ""dodinet"", ""ragot"", ""simon"", ""madameragot"", ""suzon""]",0.5,"{('ragot2', 'dodinet1')}","defaultdict(<class 'int'>, {('dodinet1', 'ragot2'): 1})"
fre000059,aubignac-pucelle,fre000060,aubignac-pucelle-prose,"[""lange"", ""lapucelle"", ""legarde"", ""lecomte"", ""leduc"", ""aronte"", ""lacomtesse"", ""dalinde"", ""canchon"", ""mide"", ""lebaron"", ""unsoldat""]",15.365280449390411,"{('destivet1', 'despinet2'), ('mide2', 'mide1'), ('le-garde1', 'le-garde2'), ('le-duc2', 'le-duc1'), ('la-pucelle1', 'la-pucelle2'), ('dalinde2', 'dalinde1'), ('un-soldat1', 'un-soldat2'), ('le-comte1', 'le-comte2'), ('canchon1', 'canchon2'), ('le-baron1', 'le-baron2'), ('la-comtesse1', 'la-comtesse2')}","defaultdict(<class 'int'>, {('la-comtesse1', 'la-comtesse2'): 16, ('le-comte1', 'le-comte2'): 31, ('le-garde1', 'le-garde2'): 2, ('la-pucelle1', 'la-pucelle2'): 22, ('le-duc1', 'le-duc2'): 33, ('canchon1', 'canchon2'): 9, ('destivet1', 'despinet2'): 7, ('mide1', 'mide2'): 6, ('le-baron1', 'le-baron2'): 6, ('un-soldat1', 'un-soldat2'): 3, ('un-du-peuple1', 'un-soldat2'): 1, ('un-autre-soldat1', 'un-soldat2'): 1, ('le-comte1', 'le-baron2'): 1, ('la-comtesse1', 'canchon2'): 1, ('dalinde1', 'la-comtesse2'): 1, ('la-comtesse1', 'dalinde2'): 1, ('le-duc1', 'dalinde2'): 1, ('dalinde1', 'dalinde2'): 7, ('le-comte1', 'dalinde2'): 1, ('le-baron1', 'la-comtesse2'): 1, ('la-comtesse1', 'le-baron2'): 1, ('le-baron1', 'le-duc2'): 1, ('le-duc1', 'le-comte2'): 1})"
fre000075,barante-arlequin-misanthrope,fre000122,biancolelli-ecole-galante,"[""arlequin"", ""octave"", ""scaramouche"", ""ledocteur"", ""leandre"", ""pierrot"", ""lachanteuse"", ""mezzetin""]",0.883898913860321,"{('arlequin1', 'leandre2'), ('mezzetin2', 'le-docteur1')}","defaultdict(<class 'int'>, {('le-docteur1', 'mezzetin2'): 2, ('arlequin1', 'leandre2'): 1})"
fre000075,barante-arlequin-misanthrope,fre000127,biancollelli-arlequin-gentilhomme,"[""arlequin"", ""colombine"", ""octave"", ""scaramouche"", ""ledocteur"", ""leandre"", ""pierrot"", ""lachanteuse"", ""mezzetin""]",0.4955320358276367,"{('le-docteur2', 'octave1')}","defaultdict(<class 'int'>, {('octave1', 'le-docteur2'): 1})"
fre000075,barante-arlequin-misanthrope,fre000128,biancollelli-foire-galante,"[""arlequin"", ""colombine"", ""scaramouche"", ""ledocteur"", ""pierrot"", ""lachanteuse""]",0.28767359256744385,"{('arlequin2', 'colombine1'), ('arlequin1', 'colombine2')}","defaultdict(<class 'int'>, {('colombine1', 'arlequin2'): 2, ('arlequin1', 'colombine2'): 1})"
fre000075,barante-arlequin-misanthrope,fre000540,dufresny-depart-des-comediens,"[""arlequin"", ""colombine"", ""octave"", ""leandre"", ""pierrot"", ""lachanteuse"", ""mezzetin""]",0.5000001192092896,"{('arlequin2', 'monsieur-disanvray1')}","defaultdict(<class 'int'>, {('monsieur-disanvray1', 'arlequin2'): 1})"
fre000075,barante-arlequin-misanthrope,fre001032,mongin-promenades-de-paris,"[""arlequin"", ""colombine"", ""octave"", ""scaramouche"", ""leandre"", ""pierrot"", ""mezzetin""]",0.6214212775230408,"{('mezzetin2', 'scaramouche1'), ('arlequin2', 'octave1')}","defaultdict(<class 'int'>, {('octave1', 'arlequin2'): 1, ('scaramouche1', 'mezzetin2'): 1})"
