Bibdramatique play,In TC,Best match in TC,Score
"1 - Lyncée, tragédie",True,"3 - LYNCÉE, TRAGÉDIE.",1.0
2 - La Mort d'Achille,True,"123 - LA MORT D'ACHILLE et la DISPUTE DES ARMES, TRAGEDIE",1.0
3 - Céline ou Les Frères rivaux. Tragi-comédie,True,"151 - CÉLINE ou LES FRÈRES RIVAUX, TRAGI-COMÉDIE",1.0
4 - LA BELLE INVISIBLE ou la Constance esprouvée,True,"183 - LA BELLE INVISIBLE, ou LA CONSTANCE ÉPROUVÉE, TRAGI-COMÉDIE",0.9318181818181819
"5 - Cassandre, comtesse de Barcelone. Trage-comédie",True,"184 - CASSANDRE COMTESSE DE BARCELONE, TRAGI-COMÉDIE",1.0
6 - Les Rivaux amis. Tragi-comédie,True,"185 - LES RIVAUX AMIS, TRAGI-COMÉDIE",1.0
7 - Les Deux Frères gémeaux ou les menteurs qui ne mentent point. Comédie,False,"208 - LES NICANDRES OU LES MENTEURS QUI NE MENTENT POINT, COMÉDIE.",0.7166666666666667
8 - Germanicus. Tragédie,True,"211 - GERMANICUS, TRAGÉDIE",1.0
"9 - Marie Stuard, Reine d'Écosse. Tragédie",True,"213 - MARIE STUARD, REINE D'ÉCOSSE, TRAGÉDIE.",1.0
10 - Trois petites comédies,False,"9 - TROIS SPECTACLES, PROLOGUE",0.48
11 - Agamemnon. Tragédie,False,"220 - AGAMEMNON, TRAGÉDIE.",0.9
12 - Les Amours de Jupiter et Sémélé. Tragédie.,False,"221 - LES AMOURS DE JUPITER ET DE SÉMÉLÉ, TRAGÉDIE",0.8857142857142857
13 - Artaxerce. Tragédie,False,"223 - ARTAXERCE, TRAGÉDIE",0.9
14 - Le Comte d'Essex. Tragédie,True,"432 - LE COMTE d'ESSEX, TRAGÉDIE",1.0
15 - Fédéric. Tragi-comédie,False,"225 - FÉDÉRIC, TRAGI-COMÉDIE",0.875
16 - Judith. Tragédie,False,"227 - JUDITH, TRAGÉDIE",0.8571428571428572
17 - La Mort de Démétrius. Tragédie.,False,"85 - LA MORT DE CÉSAR, COMÉDIE",0.65
18 - La Mort des enfans de Brute. Tragédie,True,"229 - LA MORT DES ENFANTS DE BRUTE, TRAGÉDIE.",0.9310344827586207
19 - La Porcie romaine. Tragédie,True,231 - LA PORCIE ROMAINE,1.0
"20 - Porus, ou La Générosité d'Alexandre. Tragedie",True,"232 - PORUS OU LA GÉNÉROSITÉ D'ALEXANDRE, TRAGÉDIE.",1.0
21 - Ulysse dans l'île de Circé ou Euryloche foudroyé,False,"1384 - LE NOUVEAU FESTIN DE PIERRE, OU L'ATHÉE FOUDROYÉ. TRAGI-COMÉDIE.",0.42553191489361697
22 - L'Ombre de Molière. Comédie,True,"86 - L'OMBRE DE MOLIÈRE, INERMÈDE.",1.0
23 - L'Aveugle clair-voyant. Comédie,True,237 - L'AVEUGLE CLAIRVOYANT. COMÉDIE,1.0
24 - Le Turne de Virgile. Tragédie.,True,"238 - LE TURNE DE VIRGILE, TRAGÉDIE",1.0
"25 - Le Souper de Molière, ou La Soirée d'Auteuil. Fait historique en un acte, mêlé de vaudevilles.",True,"242 - LE SOUPER DE MOLIÈRE OU LA SOIRÉE D'AUTEUIL, FAIT HISTORIQUE",1.0
26 - Phalante. Tragédie.,False,"922 - PAHLANTE, TRAGÉDIE",0.6666666666666667
