VALEUR,#mistress-watson,#kilmenie,#jemmy,#la-princesse,#mistress-watson #jemmy,#nicette,#claudine,#nicoline,#la-mere-gervais,#nicoline #claudine,#fanchon,#la-marquise,#tous,#justine,#cecile,#henriette,#josephine,#madame-vingmaille
Fréquences (scènes),0.16,0.24,0.12,0.2,0.04,0.2,0.12,0.16,0.24,0.04,0.12,0.08,0.04,0.08,0.12,0.28,0.2,0.16
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.06153846153846154,0.07692307692307693,0.038461538461538464,0.046153846153846156,0.023076923076923078,0.1076923076923077,0.05384615384615385,0.09230769230769231,0.09230769230769231,0.03076923076923077,0.06153846153846154,0.038461538461538464,0.03076923076923077,0.015384615384615385,0.038461538461538464,0.07692307692307693,0.06153846153846154,0.05384615384615385
Déviations,#mistress-watson,#kilmenie,#jemmy,#la-princesse,#mistress-watson #jemmy,#nicette,#claudine,#nicoline,#la-mere-gervais,#nicoline #claudine,#fanchon,#la-marquise,#tous,#justine,#cecile,#henriette,#josephine,#madame-vingmaille
#mistress-watson,17.639999999999997,4.335,13.230000000000002,0.049999999999999975,4.409999999999999,0.8000000000000002,0.48,0.64,0.96,0.16,0.48,0.32,0.16,0.32,0.48,1.12,0.8000000000000002,0.64
#kilmenie,4.335,14.440000000000005,2.2755555555555556,6.533333333333331,2.4066666666666667,1.2000000000000002,0.72,0.96,1.44,0.24,0.72,0.48,0.24,0.48,0.72,1.6800000000000002,1.2000000000000002,0.96
#jemmy,13.230000000000002,2.2755555555555556,19.360000000000003,0.6000000000000001,0.12,0.6000000000000001,0.36,0.48,0.72,0.12,0.36,0.24,0.12,0.24,0.36,0.8400000000000001,0.6000000000000001,0.48
#la-princesse,0.049999999999999975,6.533333333333332,0.6,16.0,3.2000000000000006,1.0,0.6,0.8000000000000002,1.2,0.20000000000000004,0.6,0.4000000000000001,0.20000000000000004,0.4000000000000001,0.6,1.4000000000000001,1.0,0.8000000000000002
#mistress-watson #jemmy,4.409999999999999,2.4066666666666667,0.12,3.2000000000000006,23.04,0.20000000000000004,0.12,0.16,0.24,0.04,0.12,0.08,0.04,0.08,0.12,0.28,0.20000000000000004,0.16
#nicette,0.8000000000000002,1.2,0.6,1.0,0.20000000000000004,16.0,9.6,6.050000000000001,2.7,3.2000000000000006,3.266666666666666,0.8999999999999999,3.2000000000000006,0.4000000000000001,0.6,1.4000000000000001,1.0,0.8000000000000002
#claudine,0.48,0.72,0.36,0.6000000000000001,0.12,9.599999999999998,19.360000000000003,0.5633333333333335,2.2755555555555556,6.453333333333333,0.36,0.24,0.12,0.24,0.36,0.8400000000000001,0.6000000000000001,0.48
#nicoline,0.64,0.96,0.48,0.8000000000000002,0.16,6.050000000000001,0.5633333333333335,17.639999999999997,4.335,4.409999999999999,4.8133333333333335,1.4449999999999996,4.409999999999999,0.32,0.48,1.12,0.8000000000000002,0.64
