VALEUR,#pan,#doris,#arcas,#palemon,#le-choeur,#une-driade,#deux-bergeres,#un-satyre,#une-bergere
Fréquences (scènes),0.7142857142857143,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
Fréquences(répliques),0.26609442060085836,0.2145922746781116,0.09012875536480687,0.17167381974248927,0.05150214592274678,0.1072961373390558,0.02575107296137339,0.034334763948497854,0.03862660944206009
Confrontation,0.15151515151515152,0.15151515151515152,0.030303030303030304,0.13636363636363635,0.10606060606060606,0.10606060606060606,0.10606060606060606,0.10606060606060606,0.10606060606060606
Déviations,#pan,#doris,#arcas,#palemon,#le-choeur,#une-driade,#deux-bergeres,#un-satyre,#une-bergere
#pan,0.5714285714285713,0.007142857142857182,0.12857142857142848,0.6095238095238095,0.11428571428571437,0.11428571428571437,0.11428571428571437,0.11428571428571437,0.11428571428571437
#doris,0.007142857142857136,1.285714285714286,1.1428571428571428,0.04761904761904765,0.3214285714285715,0.3214285714285715,0.3214285714285715,0.3214285714285715,0.3214285714285715
#arcas,0.1285714285714286,1.1428571428571428,3.5714285714285716,0.023809523809523826,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
#palemon,0.6095238095238095,0.04761904761904765,0.023809523809523826,2.2857142857142865,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
#le-choeur,0.11428571428571427,0.3214285714285715,0.2857142857142857,0.7619047619047619,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
#le-choeur,0.11428571428571427,0.3214285714285715,0.2857142857142857,0.7619047619047619,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
#le-choeur,0.11428571428571427,0.3214285714285715,0.2857142857142857,0.7619047619047619,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
#le-choeur,0.11428571428571427,0.3214285714285715,0.2857142857142857,0.7619047619047619,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
#le-choeur,0.11428571428571427,0.3214285714285715,0.2857142857142857,0.7619047619047619,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
Successions,#pan,#doris,#arcas,#palemon,#le-choeur,#une-driade,#deux-bergeres,#un-satyre,#une-bergere
#pan,0.0,0.5333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0
#doris,0.5294117647058824,0.11764705882352941,0.0,0.35294117647058826,0.0,0.0,0.0,0.0,0.0
#arcas,0.5555555555555556,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#palemon,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
#une-driade,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
#deux-bergeres,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#un-satyre,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#deux-bergeres,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
