VALEUR,#penee,#melisse,#orante,#alexis,#philene,#tircis,#alcandre,#oracle,#damon,#alcan3dre,#aegon
Fréquences (scènes),0.0,0.5714285714285714,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.0,0.03571428571428571
Fréquences(répliques),0.0,0.27868045297882815,0.20088626292466766,0.1447562776957164,0.18660758247168882,0.011816838995568686,0.10142786804529788,0.011324470704086657,0.05809945839487937,0.0014771048744460858,0.004923682914820286
Confrontation,0.0,0.21,0.08,0.19,0.17,0.05,0.12,0.06,0.08,0.0,0.04
Déviations,#penee,#melisse,#orante,#alexis,#philene,#tircis,#alcandre,#oracle,#damon,#alcan3dre,#aegon
#penee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#melisse,0.0,5.142857142857144,0.003968253968253989,0.014285714285714271,0.10714285714285705,1.1428571428571428,0.035714285714285685,1.1428571428571428,0.7232142857142856,0.0,0.3214285714285715
#orante,0.0,0.00396825396825394,12.89285714285714,1.5253968253968255,2.1164021164021163,0.1984126984126985,1.2857142857142856,0.6428571428571428,1.2857142857142856,0.0,0.3214285714285714
#alexis,0.0,0.014285714285714363,1.5253968253968255,11.571428571428571,0.11904761904761911,0.11428571428571437,1.7285714285714293,0.11428571428571437,0.12857142857142848,0.0,1.1571428571428575
#philene,0.0,0.10714285714285705,2.116402116402117,0.11904761904761911,9.142857142857146,0.8571428571428571,0.04761904761904765,0.023809523809523826,0.29761904761904756,0.0,0.7619047619047619
#tircis,0.0,1.1428571428571428,0.19841269841269835,0.11428571428571427,0.8571428571428571,24.142857142857146,1.7857142857142858,5.142857142857144,1.7857142857142858,0.0,0.07142857142857142
#alcandre,0.0,0.035714285714285685,1.2857142857142858,1.7285714285714284,0.04761904761904765,1.7857142857142858,20.571428571428577,1.7857142857142858,3.5714285714285716,0.0,5.142857142857144
#oracle,0.0,1.1428571428571428,0.6428571428571429,0.11428571428571427,0.023809523809523826,5.142857142857144,1.7857142857142858,24.142857142857146,10.285714285714288,0.0,0.07142857142857142
#damon,0.0,0.7232142857142856,1.2857142857142858,0.1285714285714286,0.29761904761904756,1.7857142857142858,3.5714285714285716,10.285714285714288,20.571428571428577,0.0,0.14285714285714285
#penee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aegon,0.0,0.3214285714285715,0.32142857142857145,1.1571428571428568,0.7619047619047619,0.07142857142857142,5.142857142857144,0.07142857142857142,0.14285714285714285,0.0,26.03571428571429
Successions,#penee,#melisse,#orante,#alexis,#philene,#tircis,#alcandre,#oracle,#damon,#alcan3dre,#aegon
#penee,,,,,,,,,,,
#melisse,0.012345679012345678,0.037037037037037035,0.345679012345679,0.2716049382716049,0.18518518518518517,0.0,0.12345679012345678,0.0,0.024691358024691357,0.0,0.0
#orante,0.0,0.5961538461538461,0.0,0.34615384615384615,0.0,0.057692307692307696,0.0,0.0,0.0,0.0,0.0
#alexis,0.0,0.46296296296296297,0.3333333333333333,0.0,0.1111111111111111,0.0,0.09259259259259259,0.0,0.0,0.0,0.0
#philene,0.0,0.3888888888888889,0.05555555555555555,0.19444444444444445,0.05555555555555555,0.0,0.027777777777777776,0.027777777777777776,0.25,0.0,0.0
#tircis,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
#alcandre,0.0,0.2222222222222222,0.037037037037037035,0.2222222222222222,0.1111111111111111,0.18518518518518517,0.0,0.037037037037037035,0.14814814814814814,0.0,0.037037037037037035
#oracle,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
#damon,0.0,0.0625,0.0,0.0625,0.625,0.0,0.1875,0.0,0.0,0.0625,0.0
#alcan3dre,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aegon,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
