VALEUR,#otambo,#choeur-des-femmes,#cherokis,#vieillards,#esraim,#louise,#idamir,#alphanor,#idamis #florida #esraim,#florida,#idamir #florida #esraim,#roanoke,#illinois,#idamis,#ontario,#choeur,#un-osage,#altemar,#choeur-de-cherokis,#choeur-d-osages,#vieillards-cherokis,#louis,#guerriers #illinois,#choeur-general
Fréquences (scènes),0.5,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.42857142857142855,0.5,0.42857142857142855,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
Fréquences(répliques),0.17278617710583152,0.01079913606911447,0.04319654427645788,0.0021598272138228943,0.028077753779697623,0.07775377969762419,0.17926565874730022,0.15766738660907129,0.01079913606911447,0.04103671706263499,0.0021598272138228943,0.038876889848812095,0.0064794816414686825,0.004319654427645789,0.004319654427645789,0.05183585313174946,0.008639308855291577,0.09071274298056156,0.0064794816414686825,0.0064794816414686825,0.004319654427645789,0.02159827213822894,0.017278617710583154,0.012958963282937365
Confrontation,0.09539473684210527,0.013157894736842105,0.07894736842105263,0.013157894736842105,0.05921052631578947,0.06907894736842106,0.10855263157894737,0.08881578947368421,0.013157894736842105,0.07236842105263158,0.013157894736842105,0.07894736842105263,0.029605263157894735,0.029605263157894735,0.029605263157894735,0.02631578947368421,0.006578947368421052,0.046052631578947366,0.01644736842105263,0.01644736842105263,0.01644736842105263,0.02631578947368421,0.02631578947368421,0.02631578947368421
Déviations,#otambo,#choeur-des-femmes,#cherokis,#vieillards,#esraim,#louise,#idamir,#alphanor,#idamis #florida #esraim,#florida,#idamir #florida #esraim,#roanoke,#illinois,#idamis,#ontario,#choeur,#un-osage,#altemar,#choeur-de-cherokis,#choeur-d-osages,#vieillards-cherokis,#louis,#guerriers #illinois,#choeur-general
#otambo,3.5,0.5,0.5,0.5,0.0,0.0,0.07142857142857142,1.3333333333333333,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#choeur-des-femmes,0.5,12.071428571428573,1.7857142857142858,12.071428571428573,1.7857142857142858,0.42857142857142855,0.5,0.42857142857142855,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#cherokis,0.5,1.7857142857142858,7.142857142857143,1.7857142857142858,0.642857142857143,0.04761904761904765,0.5,0.04761904761904765,0.2857142857142857,0.642857142857143,0.2857142857142857,0.642857142857143,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.1428571428571428,0.2857142857142857,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.7857142857142858,1.7857142857142858,1.7857142857142858
#choeur-des-femmes,0.5,12.071428571428573,1.7857142857142858,12.071428571428573,1.7857142857142858,0.42857142857142855,0.5,0.42857142857142855,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#esraim,0.0,1.7857142857142858,0.642857142857143,1.7857142857142858,7.142857142857143,1.7142857142857142,0.5,0.29761904761904756,0.2857142857142857,0.017857142857142842,0.2857142857142857,0.642857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.017857142857142842,0.2857142857142857,0.017857142857142842,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.7857142857142858,1.7857142857142858,1.7857142857142858
#louise,0.0,0.42857142857142855,0.04761904761904765,0.42857142857142855,1.7142857142857142,4.571428571428573,0.0,0.07142857142857152,0.7619047619047619,0.9642857142857145,0.7619047619047619,0.29761904761904756,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.29761904761904756,0.42857142857142855,1.7142857142857142,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
#idamir,0.07142857142857142,0.5,0.5,0.5,0.5,0.0,3.5,0.3333333333333333,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5
#alphanor,1.3333333333333333,0.42857142857142855,0.04761904761904765,0.42857142857142855,0.29761904761904756,0.07142857142857152,0.3333333333333333,4.571428571428573,0.7619047619047619,0.04761904761904765,0.7619047619047619,0.04761904761904765,0.7619047619047619,0.7619047619047619,0.7619047619047619,1.7142857142857142,0.7619047619047619,0.9642857142857145,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.42857142857142855,0.42857142857142855,0.42857142857142855
#idamis #florida #esraim,0.5,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.7619047619047619,0.5,0.7619047619047619,12.071428571428573,1.7857142857142858,12.071428571428573,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#florida,0.0,0.2857142857142857,0.642857142857143,0.2857142857142857,0.017857142857142842,0.9642857142857145,0.0,0.04761904761904765,1.7857142857142858,7.142857142857143,1.7857142857142858,0.642857142857143,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.1428571428571428,0.2857142857142857,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.7857142857142858,1.7857142857142858,1.7857142857142858
#idamis #florida #esraim,0.5,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.7619047619047619,0.5,0.7619047619047619,12.071428571428573,1.7857142857142858,12.071428571428573,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#roanoke,0.5,0.2857142857142857,0.642857142857143,0.2857142857142857,0.642857142857143,0.29761904761904756,0.5,0.04761904761904765,0.2857142857142857,0.642857142857143,0.2857142857142857,7.142857142857143,1.7857142857142858,1.7857142857142858,1.7857142857142858,0.017857142857142842,0.2857142857142857,0.642857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.7857142857142858,1.7857142857142858,1.7857142857142858
#illinois,0.5,0.07142857142857142,1.7857142857142858,0.07142857142857142,0.2857142857142857,0.7619047619047619,0.5,0.7619047619047619,0.07142857142857142,1.7857142857142858,0.07142857142857142,1.7857142857142858,12.071428571428573,12.071428571428573,12.071428571428573,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#illinois,0.5,0.07142857142857142,1.7857142857142858,0.07142857142857142,0.2857142857142857,0.7619047619047619,0.5,0.7619047619047619,0.07142857142857142,1.7857142857142858,0.07142857142857142,1.7857142857142858,12.071428571428573,12.071428571428573,12.071428571428573,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#illinois,0.5,0.07142857142857142,1.7857142857142858,0.07142857142857142,0.2857142857142857,0.7619047619047619,0.5,0.7619047619047619,0.07142857142857142,1.7857142857142858,0.07142857142857142,1.7857142857142858,12.071428571428573,12.071428571428573,12.071428571428573,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#choeur,0.5,0.2857142857142857,1.1428571428571428,0.2857142857142857,0.017857142857142842,0.29761904761904756,0.5,1.7142857142857142,0.2857142857142857,1.1428571428571428,0.2857142857142857,0.017857142857142842,0.2857142857142857,0.2857142857142857,0.2857142857142857,7.142857142857143,0.2857142857142857,0.017857142857142842,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
#un-osage,0.5,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.42857142857142855,0.5,0.7619047619047619,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,12.071428571428573,1.7857142857142858,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#altemar,0.5,0.2857142857142857,1.1428571428571428,0.2857142857142857,0.017857142857142842,1.7142857142857142,0.0,0.9642857142857145,0.2857142857142857,1.1428571428571428,0.2857142857142857,0.642857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.017857142857142842,1.7857142857142858,7.142857142857143,1.7857142857142858,1.7857142857142858,1.7857142857142858,0.2857142857142857,0.2857142857142857,0.2857142857142857
#choeur-de-cherokis,0.5,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.42857142857142855,0.5,0.7619047619047619,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.07142857142857142,1.7857142857142858,12.071428571428573,12.071428571428573,12.071428571428573,0.07142857142857142,0.07142857142857142,0.07142857142857142
#choeur-de-cherokis,0.5,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.42857142857142855,0.5,0.7619047619047619,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.07142857142857142,1.7857142857142858,12.071428571428573,12.071428571428573,12.071428571428573,0.07142857142857142,0.07142857142857142,0.07142857142857142
#choeur-de-cherokis,0.5,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.42857142857142855,0.5,0.7619047619047619,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.07142857142857142,1.7857142857142858,12.071428571428573,12.071428571428573,12.071428571428573,0.07142857142857142,0.07142857142857142,0.07142857142857142
