VALEUR,#monsieur-pot-de-vin,#babet,#madame-la-comtesse,#le-marquis,#mademoiselle-adelaïde,#monsieur-de-podolie,#madame-pot-de-vin,#mademoiselle-adelaide,#monsieur-l-abbe-patelin
Fréquences (scènes),0.6666666666666666,0.5,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333
Fréquences(répliques),0.525,0.09583333333333334,0.04583333333333333,0.09583333333333334,0.016666666666666666,0.03333333333333333,0.1125,0.029166666666666667,0.04583333333333333
Confrontation,0.13333333333333333,0.044444444444444446,0.12222222222222222,0.15555555555555556,0.12222222222222222,0.12222222222222222,0.1111111111111111,0.07777777777777778,0.1111111111111111
Déviations,#monsieur-pot-de-vin,#babet,#madame-la-comtesse,#le-marquis,#mademoiselle-adelaïde,#monsieur-de-podolie,#madame-pot-de-vin,#mademoiselle-adelaide,#monsieur-l-abbe-patelin
#monsieur-pot-de-vin,0.6666666666666669,0.5,0.3333333333333334,0.0,0.3333333333333334,0.3333333333333334,0.0833333333333333,0.1666666666666667,0.0833333333333333
#babet,0.5,1.5,1.0,0.16666666666666666,1.0,1.0,0.0,0.5,0.0
#madame-la-comtesse,0.3333333333333334,1.0,2.6666666666666674,1.0,2.6666666666666674,2.6666666666666674,0.1666666666666667,1.3333333333333337,0.1666666666666667
#le-marquis,0.0,0.16666666666666666,1.0,1.5,1.0,1.0,1.0,0.5,1.0
#madame-la-comtesse,0.3333333333333334,1.0,2.6666666666666674,1.0,2.6666666666666674,2.6666666666666674,0.1666666666666667,1.3333333333333337,0.1666666666666667
#madame-la-comtesse,0.3333333333333334,1.0,2.6666666666666674,1.0,2.6666666666666674,2.6666666666666674,0.1666666666666667,1.3333333333333337,0.1666666666666667
#madame-pot-de-vin,0.0833333333333333,0.0,0.1666666666666667,1.0,0.1666666666666667,0.1666666666666667,2.6666666666666674,1.3333333333333337,2.6666666666666674
#mademoiselle-adelaide,0.1666666666666667,0.5,1.3333333333333337,0.5,1.3333333333333337,1.3333333333333337,1.3333333333333337,4.166666666666668,1.3333333333333337
#madame-pot-de-vin,0.0833333333333333,0.0,0.1666666666666667,1.0,0.1666666666666667,0.1666666666666667,2.6666666666666674,1.3333333333333337,2.6666666666666674
Successions,#monsieur-pot-de-vin,#babet,#madame-la-comtesse,#le-marquis,#mademoiselle-adelaïde,#monsieur-de-podolie,#madame-pot-de-vin,#mademoiselle-adelaide,#monsieur-l-abbe-patelin
#monsieur-pot-de-vin,0.0,0.375,0.125,0.0,0.0625,0.125,0.25,0.0,0.0625
#babet,0.8571428571428571,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
#madame-la-comtesse,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0
#le-marquis,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0,0.0
#mademoiselle-adelaïde,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
#monsieur-de-podolie,0.25,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0
#madame-pot-de-vin,0.4,0.1,0.1,0.3,0.0,0.0,0.0,0.1,0.0
#mademoiselle-adelaide,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-l-abbe-patelin,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
