VALEUR,#sophie,#madame-de-saint-franc,#d-inville,#monsieur-de-saint-franc,#prud-homme,#le-petit,#le-notaire,#le-valet,#madame-dormont,#monsieur-d-herbain
Fréquences (scènes),0.2857142857142857,0.3333333333333333,0.42857142857142855,0.5238095238095238,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.3333333333333333,0.23809523809523808
Fréquences(répliques),0.06770833333333333,0.13802083333333334,0.1171875,0.3684895833333333,0.02734375,0.01171875,0.0026041666666666665,0.05859375,0.11588541666666667,0.09244791666666667
Confrontation,0.12244897959183673,0.17346938775510204,0.1836734693877551,0.21428571428571427,0.030612244897959183,0.030612244897959183,0.02040816326530612,0.04081632653061224,0.08163265306122448,0.10204081632653061
Déviations,#sophie,#madame-de-saint-franc,#d-inville,#monsieur-de-saint-franc,#prud-homme,#le-petit,#le-notaire,#le-valet,#madame-dormont,#monsieur-d-herbain
#sophie,10.714285714285714,0.5,0.793650793650794,0.4155844155844158,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.5,0.22857142857142873
#madame-de-saint-franc,0.5,9.333333333333336,0.0,0.4848484848484846,1.3333333333333337,1.3333333333333337,0.3333333333333333,1.0,0.04761904761904754,0.06666666666666674
#d-inville,0.793650793650794,0.0,6.857142857142859,0.0173160173160173,0.42857142857142855,0.42857142857142855,0.7619047619047619,0.396825396825397,1.3333333333333333,0.009523809523809516
#monsieur-de-saint-franc,0.41558441558441556,0.484848484848485,0.0173160173160173,4.761904761904762,0.4329004329004331,0.4329004329004331,0.4329004329004331,0.11688311688311691,0.7575757575757575,0.14632034632034632
#prud-homme,0.2857142857142857,1.3333333333333337,0.42857142857142855,0.43290043290043284,19.047619047619047,19.047619047619047,0.047619047619047616,0.14285714285714285,0.3333333333333333,0.23809523809523808
#prud-homme,0.2857142857142857,1.3333333333333337,0.42857142857142855,0.43290043290043284,19.047619047619047,19.047619047619047,0.047619047619047616,0.14285714285714285,0.3333333333333333,0.23809523809523808
#le-notaire,0.2857142857142857,0.3333333333333333,0.7619047619047619,0.43290043290043284,0.047619047619047616,0.047619047619047616,19.047619047619047,0.14285714285714285,0.3333333333333333,0.23809523809523808
#le-valet,0.8571428571428571,1.0,0.396825396825397,0.11688311688311677,0.14285714285714285,0.14285714285714285,0.14285714285714285,15.428571428571432,1.0,0.7142857142857142
#madame-dormont,0.5,0.04761904761904754,1.3333333333333333,0.7575757575757577,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,9.333333333333336,0.06666666666666674
#monsieur-d-herbain,0.22857142857142873,0.06666666666666674,0.009523809523809516,0.14632034632034632,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.7142857142857142,0.06666666666666674,12.19047619047619
Successions,#sophie,#madame-de-saint-franc,#d-inville,#monsieur-de-saint-franc,#prud-homme,#le-petit,#le-notaire,#le-valet,#madame-dormont,#monsieur-d-herbain
#sophie,0.0,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.0,0.0,0.0,0.0,0.07692307692307693,0.23076923076923078
#madame-de-saint-franc,0.10344827586206896,0.034482758620689655,0.2413793103448276,0.41379310344827586,0.06896551724137931,0.0,0.0,0.0,0.10344827586206896,0.034482758620689655
#d-inville,0.125,0.1,0.0,0.225,0.0,0.0,0.0,0.475,0.025,0.05
#monsieur-de-saint-franc,0.024390243902439025,0.34146341463414637,0.1951219512195122,0.04878048780487805,0.07317073170731707,0.04878048780487805,0.024390243902439025,0.04878048780487805,0.0975609756097561,0.0975609756097561
#prud-homme,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#le-petit,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
#le-notaire,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-valet,0.0,0.0,0.8181818181818182,0.13636363636363635,0.0,0.0,0.0,0.045454545454545456,0.0,0.0
#madame-dormont,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.5
#monsieur-d-herbain,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.09523809523809523,0.0,0.0,0.0,0.0,0.5714285714285714,0.0
