VALEUR,#franville,#le-soufleur,#le-valet,#leandre,#pointu,#en-dedans,#madame-pointu,#l-abbe,#le-fiacre,#le-commissaire,#le-jeune-homme
Fréquences (scènes),1.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
Fréquences(répliques),0.0,0.0,0.0,0.7115384615384616,0.0,0.0,0.0,0.25,0.0,0.0,0.038461538461538464
Confrontation,0.38235294117647056,0.029411764705882353,0.029411764705882353,0.11764705882352941,0.11764705882352941,0.029411764705882353,0.11764705882352941,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.058823529411764705
Déviations,#franville,#le-soufleur,#le-valet,#leandre,#pointu,#en-dedans,#madame-pointu,#l-abbe,#le-fiacre,#le-commissaire,#le-jeune-homme
#franville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-soufleur,0.0,13.066666666666668,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
#le-valet,0.0,0.06666666666666667,13.066666666666668,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
#leandre,0.0,0.13333333333333333,0.13333333333333333,11.266666666666667,2.016666666666667,0.13333333333333333,2.016666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
#pointu,0.0,0.13333333333333333,0.13333333333333333,2.016666666666667,11.266666666666667,0.13333333333333333,2.016666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
#en-dedans,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,13.066666666666668,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
#madame-pointu,0.0,0.13333333333333333,0.13333333333333333,2.016666666666667,2.016666666666667,0.13333333333333333,11.266666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
#l-abbe,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,13.066666666666668,0.06666666666666667,0.06666666666666667,0.06666666666666667
#le-fiacre,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,13.066666666666668,0.06666666666666667,0.06666666666666667
#le-commissaire,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,13.066666666666668,13.066666666666668
#le-commissaire,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,13.066666666666668,13.066666666666668
Successions,#franville,#le-soufleur,#le-valet,#leandre,#pointu,#en-dedans,#madame-pointu,#l-abbe,#le-fiacre,#le-commissaire,#le-jeune-homme
#franville,0.025477707006369428,0.1464968152866242,0.14012738853503184,0.17834394904458598,0.12738853503184713,0.012738853503184714,0.10191082802547771,0.10191082802547771,0.08280254777070063,0.07643312101910828,0.006369426751592357
#le-soufleur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-soufleur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leandre,0.8387096774193549,0.0,0.0,0.0,0.0967741935483871,0.0,0.06451612903225806,0.0,0.0,0.0,0.0
#pointu,0.84,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0
#le-soufleur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-pointu,0.85,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0
#le-soufleur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-fiacre,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0
#le-soufleur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-soufleur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
