VALEUR,#l-ange,#la-pucelle,#le-garde,#le-comte,#le-duc,#despinet,#aronte,#la-comtesse,#dalinde,#canchon,#mide,#le-baron,#un-soldat
Fréquences (scènes),0.03125,0.25,0.125,0.6875,0.40625,0.21875,0.03125,0.3125,0.1875,0.25,0.1875,0.21875,0.0625
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.003676470588235294,0.0625,0.022058823529411766,0.16544117647058823,0.16544117647058823,0.11029411764705882,0.003676470588235294,0.09191176470588236,0.05514705882352941,0.11397058823529412,0.08823529411764706,0.08088235294117647,0.03676470588235294
Déviations,#l-ange,#la-pucelle,#le-garde,#le-comte,#le-duc,#despinet,#aronte,#la-comtesse,#dalinde,#canchon,#mide,#le-baron,#un-soldat
#l-ange,30.03125,2.25,0.125,0.6875,0.40625,0.21875,0.03125,0.3125,0.1875,0.25,0.1875,0.21875,0.0625
#la-pucelle,2.25,18.0,1.0,1.1363636363636365,0.019230769230769232,0.03571428571428571,0.25,2.5,1.5,0.5,1.5,1.75,0.5
#le-garde,0.125,1.0,24.5,0.022727272727272728,0.2403846153846154,0.875,0.125,1.25,0.75,1.0,0.75,0.875,0.25
#le-comte,0.6875,1.1363636363636365,0.022727272727272728,3.125,0.1263111888111888,0.007305194805194805,0.14204545454545456,0.11136363636363636,0.003787878787878788,0.4090909090909091,1.0946969696969697,0.007305194805194805,0.2840909090909091
#le-duc,0.40625,0.019230769230769232,0.2403846153846154,0.1263111888111888,11.28125,6.074519230769231,0.40625,0.21634615384615385,0.12980769230769232,2.326923076923077,1.001602564102564,0.47012362637362637,1.7355769230769231
#despinet,0.21875,0.03571428571428571,0.875,0.007305194805194805,6.074519230769231,19.53125,0.21875,0.01607142857142857,0.0744047619047619,6.035714285714286,5.502976190476191,1.4088010204081634,0.7232142857142857
#aronte,0.03125,0.25,0.125,0.14204545454545456,0.40625,0.21875,30.03125,0.3125,0.1875,0.25,0.1875,0.21875,0.0625
#la-comtesse,0.3125,2.5,1.25,0.11136363636363636,0.21634615384615385,0.01607142857142857,0.3125,15.125,5.208333333333333,0.1,0.4083333333333333,0.30178571428571427,0.225
#dalinde,0.1875,1.5,0.75,0.003787878787878788,0.12980769230769232,0.0744047619047619,0.1875,5.208333333333333,21.125,0.16666666666666666,1.125,1.3125,1.0416666666666667
#canchon,0.25,0.5,1.0,0.4090909090909091,2.326923076923077,6.035714285714286,0.25,0.1,0.16666666666666666,18.0,13.5,0.8928571428571429,0.5
#mide,0.1875,1.5,0.75,1.0946969696969697,1.001602564102564,5.502976190476191,0.1875,0.4083333333333333,1.125,13.5,21.125,2.169642857142857,1.0416666666666667
#le-baron,0.21875,1.75,0.875,0.007305194805194805,0.47012362637362637,1.4088010204081634,0.21875,0.30178571428571427,1.3125,0.8928571428571429,2.169642857142857,19.53125,0.7232142857142857
#un-soldat,0.0625,0.5,0.25,0.2840909090909091,1.7355769230769231,0.7232142857142857,0.0625,0.225,1.0416666666666667,0.5,1.0416666666666667,0.7232142857142857,28.125
Successions,#l-ange,#la-pucelle,#le-garde,#le-comte,#le-duc,#despinet,#aronte,#la-comtesse,#dalinde,#canchon,#mide,#le-baron,#un-soldat
#l-ange,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-pucelle,0.12903225806451613,0.0,0.06451612903225806,0.25806451612903225,0.1935483870967742,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.16129032258064516,0.0967741935483871,0.0,0.0
#le-garde,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-comte,0.0,0.18,0.08,0.08,0.34,0.02,0.04,0.14,0.02,0.02,0.02,0.06,0.0
#le-duc,0.0,0.2558139534883721,0.0,0.3488372093023256,0.023255813953488372,0.046511627906976744,0.0,0.09302325581395349,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.11627906976744186,0.023255813953488372
#despinet,0.0,0.125,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
#aronte,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-comtesse,0.0,0.0,0.0,0.1282051282051282,0.10256410256410256,0.0,0.02564102564102564,0.0,0.2564102564102564,0.15384615384615385,0.10256410256410256,0.20512820512820512,0.02564102564102564
#dalinde,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.07142857142857142,0.0
#canchon,0.0,0.16666666666666666,0.0,0.1111111111111111,0.2777777777777778,0.0,0.0,0.3333333333333333,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0
#mide,0.0,0.2727272727272727,0.0,0.0,0.0,0.2727272727272727,0.0,0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,0.0
#le-baron,0.0,0.0,0.0,0.16666666666666666,0.2222222222222222,0.0,0.0,0.5,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555
#un-soldat,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
