VALEUR,#pierrot,#octave,#ismenie,#l-ogre,#arlequin,#la-fee,#la-nourrice,#le-grand-ogre,#croquignolet,#la-nymphe,#le-berger,#le-vieillard,#la-dame
Fréquences (scènes),0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
Fréquences(répliques),0.0,0.0,0.0,0.0,0.325,0.15,0.125,0.0,0.058333333333333334,0.041666666666666664,0.075,0.16666666666666666,0.058333333333333334
Confrontation,0.011111111111111112,0.12222222222222222,0.12222222222222222,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.011111111111111112,0.011111111111111112,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889
Déviations,#pierrot,#octave,#ismenie,#l-ogre,#arlequin,#la-fee,#la-nourrice,#le-grand-ogre,#croquignolet,#la-nymphe,#le-berger,#le-vieillard,#la-dame
#pierrot,5.142857142857144,0.7619047619047619,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
#octave,0.7619047619047619,2.2857142857142865,0.396825396825397,0.06349206349206343,0.023809523809523826,0.06349206349206343,0.42857142857142855,0.42857142857142855,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
#ismenie,0.42857142857142855,0.396825396825397,2.2857142857142865,0.06349206349206343,0.023809523809523826,0.06349206349206343,0.42857142857142855,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
#l-ogre,0.42857142857142855,0.06349206349206343,0.06349206349206343,2.2857142857142865,0.023809523809523826,0.06349206349206343,0.7619047619047619,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
#arlequin,0.2857142857142857,0.023809523809523826,0.023809523809523826,0.023809523809523826,3.5714285714285716,1.5238095238095237,0.2857142857142857,0.2857142857142857,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.7857142857142858
#la-fee,0.42857142857142855,0.06349206349206343,0.06349206349206343,0.06349206349206343,1.5238095238095237,2.2857142857142865,0.42857142857142855,0.42857142857142855,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
#la-nourrice,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.7619047619047619,0.2857142857142857,0.42857142857142855,5.142857142857144,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
#le-grand-ogre,0.14285714285714285,0.42857142857142855,0.7619047619047619,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.14285714285714285,5.142857142857144,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
#croquignolet,0.14285714285714285,0.7619047619047619,0.7619047619047619,0.42857142857142855,1.7857142857142858,0.7619047619047619,0.14285714285714285,0.14285714285714285,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
#croquignolet,0.14285714285714285,0.7619047619047619,0.7619047619047619,0.42857142857142855,1.7857142857142858,0.7619047619047619,0.14285714285714285,0.14285714285714285,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
#croquignolet,0.14285714285714285,0.7619047619047619,0.7619047619047619,0.42857142857142855,1.7857142857142858,0.7619047619047619,0.14285714285714285,0.14285714285714285,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
#croquignolet,0.14285714285714285,0.7619047619047619,0.7619047619047619,0.42857142857142855,1.7857142857142858,0.7619047619047619,0.14285714285714285,0.14285714285714285,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
#croquignolet,0.14285714285714285,0.7619047619047619,0.7619047619047619,0.42857142857142855,1.7857142857142858,0.7619047619047619,0.14285714285714285,0.14285714285714285,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
Successions,#pierrot,#octave,#ismenie,#l-ogre,#arlequin,#la-fee,#la-nourrice,#le-grand-ogre,#croquignolet,#la-nymphe,#le-berger,#le-vieillard,#la-dame
#pierrot,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#octave,0.6666666666666666,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ismenie,0.0,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#l-ogre,0.0,0.0,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arlequin,0.0,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.4,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333
#la-fee,0.0,0.0,0.0,0.06666666666666667,0.8666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-nourrice,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-grand-ogre,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#croquignolet,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#croquignolet,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#croquignolet,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-vieillard,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
#la-dame,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
