VALEUR,#pasquin,#marforio,#le-cuisinier,#le-docteur,#angelique,#leonor,#pierrot,#la-verite,#la-medisance,#octave,#leandre,#julie,#la-genealogie,#le-jaloux,#l-impatiente,#la-chanteuse
Fréquences (scènes),0.7,0.45,0.05,0.5,0.2,0.1,0.25,0.05,0.05,0.1,0.05,0.1,0.05,0.1,0.05,0.05
Fréquences(répliques),0.3859275053304904,0.2942430703624733,0.0,0.0,0.0,0.0,0.006396588486140725,0.09381663113006397,0.07036247334754797,0.0,0.0,0.04904051172707889,0.017057569296375266,0.014925373134328358,0.014925373134328358,0.053304904051172705
Confrontation,0.23846153846153847,0.18461538461538463,0.015384615384615385,0.11538461538461539,0.06153846153846154,0.03076923076923077,0.07692307692307693,0.023076923076923078,0.023076923076923078,0.046153846153846156,0.023076923076923078,0.023076923076923078,0.03076923076923077,0.046153846153846156,0.03076923076923077,0.03076923076923077
Déviations,#pasquin,#marforio,#le-cuisinier,#le-docteur,#angelique,#leonor,#pierrot,#la-verite,#la-medisance,#octave,#leandre,#julie,#la-genealogie,#le-jaloux,#l-impatiente,#la-chanteuse
#pasquin,1.800000000000001,1.1571428571428573,0.1285714285714285,1.2857142857142858,0.2285714285714287,0.11428571428571435,0.07142857142857142,0.1285714285714285,0.1285714285714285,0.257142857142857,0.1285714285714285,0.11428571428571435,0.1285714285714285,0.257142857142857,0.1285714285714285,0.1285714285714285
#marforio,1.1571428571428573,6.050000000000001,0.6722222222222223,2.7222222222222223,0.02222222222222221,0.9,0.6944444444444444,0.6722222222222223,0.6722222222222223,1.3444444444444446,0.6722222222222223,0.9,0.6722222222222223,1.3444444444444446,0.6722222222222223,0.6722222222222223
#le-cuisinier,0.12857142857142861,0.6722222222222223,18.049999999999997,0.5,0.20000000000000004,0.10000000000000002,0.25,0.05000000000000001,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.05000000000000001
#le-docteur,1.2857142857142858,2.7222222222222223,0.5,5.0,0.0,0.0,0.9,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5
#angelique,0.22857142857142848,0.02222222222222221,0.20000000000000004,0.0,12.800000000000002,0.8999999999999999,1.0,0.20000000000000004,0.20000000000000004,0.8999999999999999,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004
#leonor,0.11428571428571424,0.9,0.10000000000000002,0.0,0.8999999999999999,16.2,0.5,0.10000000000000002,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.10000000000000002
#pierrot,0.07142857142857142,0.6944444444444444,0.25,0.9,1.0,0.5,11.25,0.25,0.25,0.5,0.25,0.5,2.25,0.5,0.25,0.25
#la-verite,0.12857142857142861,0.6722222222222223,0.05000000000000001,0.5,0.20000000000000004,0.10000000000000002,0.25,18.049999999999997,18.049999999999997,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.05000000000000001
#la-verite,0.12857142857142861,0.6722222222222223,0.05000000000000001,0.5,0.20000000000000004,0.10000000000000002,0.25,18.049999999999997,18.049999999999997,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.05000000000000001
#octave,0.25714285714285723,1.3444444444444446,0.10000000000000002,1.0,0.8999999999999999,0.20000000000000004,0.5,0.10000000000000002,0.10000000000000002,16.2,8.1,0.20000000000000004,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.10000000000000002
#leandre,0.12857142857142861,0.6722222222222223,0.05000000000000001,0.5,0.20000000000000004,0.10000000000000002,0.25,0.05000000000000001,0.05000000000000001,8.1,18.049999999999997,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.05000000000000001
#julie,0.11428571428571424,0.9,0.10000000000000002,1.0,0.4000000000000001,0.20000000000000004,0.5,0.10000000000000002,0.10000000000000002,0.20000000000000004,0.10000000000000002,16.2,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.10000000000000002
#la-genealogie,0.12857142857142861,0.6722222222222223,0.05000000000000001,0.5,0.20000000000000004,0.10000000000000002,2.25,0.05000000000000001,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.10000000000000002,18.049999999999997,0.10000000000000002,0.05000000000000001,0.05000000000000001
#le-jaloux,0.25714285714285723,1.3444444444444446,0.10000000000000002,1.0,0.4000000000000001,0.20000000000000004,0.5,0.10000000000000002,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.20000000000000004,0.10000000000000002,16.2,8.1,8.1
#l-impatiente,0.12857142857142861,0.6722222222222223,0.05000000000000001,0.5,0.20000000000000004,0.10000000000000002,0.25,0.05000000000000001,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.05000000000000001,8.1,18.049999999999997,18.049999999999997
#l-impatiente,0.12857142857142861,0.6722222222222223,0.05000000000000001,0.5,0.20000000000000004,0.10000000000000002,0.25,0.05000000000000001,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.05000000000000001,8.1,18.049999999999997,18.049999999999997
Successions,#pasquin,#marforio,#le-cuisinier,#le-docteur,#angelique,#leonor,#pierrot,#la-verite,#la-medisance,#octave,#leandre,#julie,#la-genealogie,#le-jaloux,#l-impatiente,#la-chanteuse
#pasquin,0.009900990099009901,0.19801980198019803,0.06930693069306931,0.16831683168316833,0.1188118811881188,0.13861386138613863,0.039603960396039604,0.07920792079207921,0.009900990099009901,0.039603960396039604,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.04950495049504951,0.04950495049504951,0.0
#marforio,0.5945945945945946,0.0,0.10810810810810811,0.0,0.02702702702702703,0.0,0.0,0.0,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.0,0.0,0.02702702702702703,0.05405405405405406,0.02702702702702703
#le-cuisinier,0.5454545454545454,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-docteur,0.42857142857142855,0.023809523809523808,0.0,0.0,0.07142857142857142,0.07142857142857142,0.2619047619047619,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
#angelique,0.38095238095238093,0.23809523809523808,0.0,0.19047619047619047,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leonor,0.5909090909090909,0.0,0.0,0.13636363636363635,0.22727272727272727,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pierrot,0.25,0.0,0.0,0.625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0
#la-verite,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-medisance,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#octave,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-verite,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#julie,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-verite,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-jaloux,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
