VALEUR,#harpale,#nearque,#alexandre,#ephestion,#carinte,#parthenie,#hytaspe,#lycandre
Fréquences (scènes),0.09523809523809523,0.14285714285714285,0.6666666666666666,0.42857142857142855,0.23809523809523808,0.42857142857142855,0.3333333333333333,0.19047619047619047
Fréquences(répliques),0.015375854214123007,0.02619589977220957,0.38553530751708426,0.11617312072892938,0.03246013667425968,0.2767653758542141,0.11902050113895217,0.02847380410022779
Confrontation,0.0196078431372549,0.0392156862745098,0.23529411764705882,0.16666666666666666,0.11764705882352941,0.19607843137254902,0.14705882352941177,0.0784313725490196
Déviations,#harpale,#nearque,#alexandre,#ephestion,#carinte,#parthenie,#hytaspe,#lycandre
#harpale,17.190476190476193,10.285714285714288,1.3333333333333333,0.8571428571428571,0.47619047619047616,0.8571428571428571,0.6666666666666666,0.38095238095238093
#nearque,10.285714285714288,15.428571428571432,0.5,1.2857142857142856,0.7142857142857142,0.06349206349206343,1.0,0.5714285714285714
#alexandre,1.3333333333333333,0.5,2.333333333333335,0.0,0.8333333333333336,0.16666666666666666,0.5952380952380949,0.1666666666666666
#ephestion,0.8571428571428571,1.2857142857142856,0.0,6.857142857142859,0.009523809523809516,0.19047619047619033,1.3333333333333333,0.29761904761904756
#carinte,0.47619047619047616,0.7142857142857142,0.8333333333333336,0.009523809523809516,12.19047619047619,0.3428571428571429,0.26666666666666655,0.0023809523809523864
#parthenie,0.8571428571428571,0.06349206349206343,0.16666666666666666,0.19047619047619033,0.3428571428571429,6.857142857142859,0.3333333333333333,0.04761904761904765
#hytaspe,0.6666666666666666,1.0,0.5952380952380949,1.3333333333333333,0.26666666666666655,0.3333333333333333,9.333333333333336,0.3333333333333334
#lycandre,0.38095238095238093,0.5714285714285714,0.1666666666666666,0.29761904761904756,0.0023809523809523864,0.04761904761904765,0.3333333333333334,13.761904761904763
Successions,#harpale,#nearque,#alexandre,#ephestion,#carinte,#parthenie,#hytaspe,#lycandre
#harpale,0.0,0.875,0.0,0.0,0.0,0.125,0.0,0.0
#nearque,0.6153846153846154,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0
#alexandre,0.011764705882352941,0.07058823529411765,0.058823529411764705,0.23529411764705882,0.09411764705882353,0.4,0.09411764705882353,0.03529411764705882
#ephestion,0.0,0.0,0.5,0.025,0.025,0.25,0.125,0.075
#carinte,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0
#parthenie,0.0,0.0,0.46153846153846156,0.15384615384615385,0.02564102564102564,0.0,0.32051282051282054,0.038461538461538464
#hytaspe,0.0,0.0,0.17073170731707318,0.0975609756097561,0.024390243902439025,0.6341463414634146,0.0,0.07317073170731707
#lycandre,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0
