VALEUR,#julie,#adelaïde,#clarice,#hiradot,#le-choeur,#le-suisse,#tous-les-acteurs,#isidore,#rigaut,#un-garçon-de-theatre,#monsieur-mouton,#monsieur-jourdain,#clarice #julie,#adelaïde #rigaut
Fréquences (scènes),0.21052631578947367,0.5789473684210527,0.21052631578947367,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.3157894736842105,0.05263157894736842,0.3157894736842105,0.3157894736842105,0.05263157894736842,0.05263157894736842
Fréquences(répliques),0.06412639405204461,0.3131970260223048,0.06319702602230483,0.1524163568773234,0.011152416356877323,0.012081784386617101,0.0009293680297397769,0.039962825278810406,0.1412639405204461,0.0037174721189591076,0.0724907063197026,0.10408921933085502,0.006505576208178439,0.01486988847583643
Confrontation,0.09649122807017543,0.17543859649122806,0.07894736842105263,0.08771929824561403,0.08771929824561403,0.03508771929824561,0.03508771929824561,0.008771929824561403,0.08771929824561403,0.017543859649122806,0.11403508771929824,0.11403508771929824,0.03508771929824561,0.02631578947368421
Déviations,#julie,#adelaïde,#clarice,#hiradot,#le-choeur,#le-suisse,#tous-les-acteurs,#isidore,#rigaut,#un-garçon-de-theatre,#monsieur-mouton,#monsieur-jourdain,#clarice #julie,#adelaïde #rigaut
#julie,11.842105263157896,0.20215311004784683,5.529605263157896,0.0026315789473684154,0.21491228070175444,0.21052631578947367,0.21052631578947367,0.21052631578947367,1.263157894736842,0.21052631578947367,0.05482456140350875,0.05482456140350875,2.960526315789474,0.21052631578947367
#adelaïde,0.20215311004784683,3.368421052631579,0.04306220095693782,1.5311004784689002,0.91866028708134,0.30622009569377984,0.30622009569377984,0.5789473684210527,0.6251993620414671,0.5789473684210527,1.7615629984051033,1.7615629984051033,0.5789473684210527,0.30622009569377984
#clarice,5.529605263157896,0.04306220095693782,11.842105263157896,1.0526315789473684,0.631578947368421,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.05482456140350875,0.21052631578947367,0.05482456140350875,0.05482456140350875,2.960526315789474,0.21052631578947367
#hiradot,0.0026315789473684154,1.5311004784688993,1.0526315789473684,10.31578947368421,1.856140350877193,2.0631578947368427,2.0631578947368427,0.2631578947368421,1.5789473684210527,0.2631578947368421,1.5789473684210527,1.5789473684210527,0.2631578947368421,0.2631578947368421
#le-choeur,0.21491228070175444,0.9186602870813396,0.631578947368421,1.856140350877193,13.473684210526315,4.491228070175438,4.491228070175438,0.15789473684210525,0.0029239766081871404,0.15789473684210525,0.9473684210526315,0.9473684210526315,0.15789473684210525,4.491228070175438
#le-suisse,0.21052631578947367,0.30622009569377984,0.21052631578947367,2.0631578947368427,4.491228070175438,17.05263157894737,17.05263157894737,0.05263157894736842,0.3157894736842105,0.05263157894736842,0.3157894736842105,0.3157894736842105,0.05263157894736842,0.05263157894736842
#le-suisse,0.21052631578947367,0.30622009569377984,0.21052631578947367,2.0631578947368427,4.491228070175438,17.05263157894737,17.05263157894737,0.05263157894736842,0.3157894736842105,0.05263157894736842,0.3157894736842105,0.3157894736842105,0.05263157894736842,0.05263157894736842
#isidore,0.21052631578947367,0.5789473684210527,0.21052631578947367,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.05263157894736842,17.05263157894737,1.4824561403508774,0.05263157894736842,0.3157894736842105,0.3157894736842105,0.05263157894736842,0.05263157894736842
#rigaut,1.263157894736842,0.6251993620414674,0.05482456140350875,1.5789473684210527,0.0029239766081871404,0.3157894736842105,0.3157894736842105,1.4824561403508774,8.894736842105264,0.3157894736842105,0.005847953216374281,0.005847953216374281,0.3157894736842105,1.4824561403508774
#un-garçon-de-theatre,0.21052631578947367,0.5789473684210527,0.21052631578947367,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.3157894736842105,17.05263157894737,1.4824561403508774,1.4824561403508774,0.05263157894736842,0.05263157894736842
#monsieur-mouton,0.05482456140350875,1.7615629984051038,0.05482456140350875,1.5789473684210527,0.9473684210526315,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.005847953216374281,1.4824561403508774,8.894736842105264,8.894736842105264,1.4824561403508774,0.3157894736842105
