VALEUR,#lathorilliere,#lucile,#baron,#lulli,#mademoiselle-de-brie,#brecourt,#moliere,#chapelle,#boileau
Fréquences (scènes),0.46153846153846156,0.6153846153846154,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.6923076923076923,0.3076923076923077,0.15384615384615385
Fréquences(répliques),0.11463664278403275,0.1299897645854657,0.09723643807574207,0.08188331627430911,0.032753326509723645,0.011258955987717503,0.3735926305015353,0.06960081883316274,0.08904810644831115
Confrontation,0.14925373134328357,0.15671641791044777,0.04477611940298507,0.11940298507462686,0.11940298507462686,0.11940298507462686,0.16417910447761194,0.08208955223880597,0.04477611940298507
Déviations,#lathorilliere,#lucile,#baron,#lulli,#mademoiselle-de-brie,#brecourt,#moliere,#chapelle,#boileau
#lathorilliere,3.7692307692307696,0.025641025641025605,0.10683760683760682,0.7211538461538459,2.5128205128205123,2.5128205128205123,0.32051282051282026,0.38782051282051294,0.9230769230769231
#lucile,0.025641025641025605,1.9230769230769227,0.7211538461538459,0.11778846153846148,0.08653846153846158,0.08653846153846158,0.05235042735042733,0.8677884615384617,0.04326923076923079
#baron,0.10683760683760682,0.7211538461538459,7.692307692307691,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.002849002849002829,0.9230769230769231,0.46153846153846156
#lulli,0.7211538461538459,0.11778846153846148,0.9230769230769231,6.23076923076923,2.5432692307692304,2.5432692307692304,0.21367521367521364,0.04326923076923079,0.24038461538461534
#mademoiselle-de-brie,2.5128205128205123,0.08653846153846158,0.9230769230769231,2.5432692307692304,6.23076923076923,6.23076923076923,0.21367521367521364,0.04326923076923079,0.6153846153846154
#mademoiselle-de-brie,2.5128205128205123,0.08653846153846158,0.9230769230769231,2.5432692307692304,6.23076923076923,6.23076923076923,0.21367521367521364,0.04326923076923079,0.6153846153846154
#moliere,0.3205128205128207,0.05235042735042733,0.0028490028490028613,0.21367521367521364,0.21367521367521364,0.21367521367521364,1.2307692307692306,0.5470085470085471,0.27350427350427353
#chapelle,0.38782051282051294,0.8677884615384617,0.9230769230769231,0.04326923076923079,0.04326923076923079,0.04326923076923079,0.5470085470085471,6.23076923076923,3.115384615384615
#boileau,0.9230769230769231,0.04326923076923079,0.46153846153846156,0.24038461538461534,0.6153846153846154,0.6153846153846154,0.27350427350427353,3.115384615384615,9.307692307692307
Successions,#lathorilliere,#lucile,#baron,#lulli,#mademoiselle-de-brie,#brecourt,#moliere,#chapelle,#boileau
#lathorilliere,0.0,0.3181818181818182,0.11363636363636363,0.022727272727272728,0.06818181818181818,0.022727272727272728,0.4318181818181818,0.022727272727272728,0.0
#lucile,0.25862068965517243,0.017241379310344827,0.22413793103448276,0.034482758620689655,0.0,0.0,0.46551724137931033,0.0,0.0
#baron,0.03225806451612903,0.4838709677419355,0.0,0.0,0.0,0.0,0.4838709677419355,0.0,0.0
#lulli,0.16666666666666666,0.125,0.0,0.0,0.3333333333333333,0.125,0.20833333333333334,0.0,0.041666666666666664
#mademoiselle-de-brie,0.05,0.0,0.0,0.45,0.0,0.05,0.45,0.0,0.0
#brecourt,0.125,0.125,0.0,0.25,0.25,0.0,0.25,0.0,0.0
#moliere,0.19626168224299065,0.22429906542056074,0.12149532710280374,0.06542056074766354,0.056074766355140186,0.028037383177570093,0.0,0.21495327102803738,0.09345794392523364
#chapelle,0.07142857142857142,0.0,0.0,0.03571428571428571,0.0,0.0,0.6071428571428571,0.0,0.2857142857142857
#boileau,0.0,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.6842105263157895,0.15789473684210525,0.0
