VALEUR,#madame-caquet,#susanne,#le-doux,#l-abbe,#mademoiselle-des-brisees,#becarre,#du-ciseau,#le-comte
Fréquences (scènes),0.15789473684210525,0.6842105263157895,0.47368421052631576,0.10526315789473684,0.05263157894736842,0.3684210526315789,0.2631578947368421,0.21052631578947367
Fréquences(répliques),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Confrontation,0.04285714285714286,0.24285714285714285,0.22857142857142856,0.05714285714285714,0.02857142857142857,0.18571428571428572,0.14285714285714285,0.07142857142857142
Déviations,#madame-caquet,#susanne,#le-doux,#l-abbe,#mademoiselle-des-brisees,#becarre,#du-ciseau,#le-comte
#madame-caquet,13.473684210526315,0.43724696356275283,1.4210526315789473,0.3157894736842105,0.15789473684210525,1.1052631578947367,0.7894736842105263,0.631578947368421
#susanne,0.43724696356275333,1.8947368421052624,0.00404858299595142,0.09919028340080964,0.6842105263157894,0.6685945633314051,0.5902834008097166,0.19838056680161928
#le-doux,1.4210526315789473,0.00404858299595142,5.263157894736844,1.1695906432748542,0.5847953216374271,0.14118629908103608,0.05730994152046778,0.42251461988304084
#l-abbe,0.3157894736842105,0.09919028340080974,1.1695906432748542,15.210526315789474,7.605263157894737,0.7368421052631579,0.5263157894736842,0.42105263157894735
#mademoiselle-des-brisees,0.15789473684210525,0.6842105263157895,0.5847953216374271,7.605263157894737,17.05263157894737,0.3684210526315789,0.2631578947368421,0.21052631578947367
#becarre,1.1052631578947367,0.6685945633314057,0.14118629908103608,0.7368421052631579,0.3684210526315789,7.57894736842105,5.413533834586467,0.1522556390977443
#du-ciseau,0.7894736842105263,0.5902834008097166,0.05730994152046778,0.5263157894736842,0.2631578947368421,5.413533834586467,10.31578947368421,0.0026315789473684154
#le-comte,0.631578947368421,0.19838056680161947,0.42251461988304084,0.42105263157894735,0.21052631578947367,0.1522556390977443,0.0026315789473684154,11.842105263157896
Successions,#madame-caquet,#susanne,#le-doux,#l-abbe,#mademoiselle-des-brisees,#becarre,#du-ciseau,#le-comte
#madame-caquet,0.0,0.9782608695652174,0.021739130434782608,0.0,0.0,0.0,0.0,0.0
#susanne,0.34306569343065696,0.0072992700729927005,0.30656934306569344,0.043795620437956206,0.0,0.10948905109489052,0.058394160583941604,0.13138686131386862
#le-doux,0.0,0.32,0.0,0.12,0.064,0.344,0.12,0.032
#l-abbe,0.0,0.17647058823529413,0.27450980392156865,0.0,0.5490196078431373,0.0,0.0,0.0
#mademoiselle-des-brisees,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0
#becarre,0.0,0.2111111111111111,0.45555555555555555,0.0,0.0,0.011111111111111112,0.3,0.022222222222222223
#du-ciseau,0.0,0.09836065573770492,0.26229508196721313,0.0,0.0,0.4918032786885246,0.0,0.14754098360655737
#le-comte,0.0,0.5,0.14705882352941177,0.0,0.0,0.029411764705882353,0.3235294117647059,0.0
