VALEUR,#madame-racosse,#la-bonne,#monsieur-racosse,#augustine,#renee,#pomin,#enguerrand-durand,#racosse
Fréquences (scènes),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Déviations,#madame-racosse,#la-bonne,#monsieur-racosse,#augustine,#renee,#pomin,#enguerrand-durand,#racosse
#madame-racosse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-racosse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-racosse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-racosse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-racosse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-racosse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-racosse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-racosse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#madame-racosse,#la-bonne,#monsieur-racosse,#augustine,#renee,#pomin,#enguerrand-durand,#racosse
#madame-racosse,0.0,0.14285714285714285,0.6190476190476191,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0
#la-bonne,0.625,0.0,0.375,0.0,0.0,0.0,0.0,0.0
#monsieur-racosse,0.2978723404255319,0.10638297872340426,0.0,0.23404255319148937,0.1276595744680851,0.2127659574468085,0.02127659574468085,0.0
#augustine,0.13333333333333333,0.0,0.8,0.0,0.0,0.06666666666666667,0.0,0.0
#renee,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
#pomin,0.07692307692307693,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.07692307692307693
#enguerrand-durand,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#racosse,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
