VALEUR,#le-denouement,#l-exposition,#semiramis,#le-remord,#la-cabale,#le-noeud,#l-interet,#la-langueur,#un-remord,#la-terreur,#la-pitie,#un-coup-de-tonnere,#la-fiction,#l-ombre-de-corneille
Fréquences (scènes),0.26666666666666666,0.13333333333333333,0.4,0.06666666666666667,0.2,0.06666666666666667,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.4,0.06666666666666667,0.06666666666666667,0.06666666666666667
Fréquences(répliques),0.09764309764309764,0.04713804713804714,0.3771043771043771,0.04040404040404041,0.037037037037037035,0.006734006734006734,0.19865319865319866,0.003367003367003367,0.006734006734006734,0.006734006734006734,0.13131313131313133,0.003367003367003367,0.006734006734006734,0.037037037037037035
Confrontation,0.02857142857142857,0.07857142857142857,0.11428571428571428,0.007142857142857143,0.02142857142857143,0.07142857142857142,0.12857142857142856,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.12142857142857143,0.07142857142857142,0.07142857142857142,0.07142857142857142
Déviations,#le-denouement,#l-exposition,#semiramis,#le-remord,#la-cabale,#le-noeud,#l-interet,#la-langueur,#un-remord,#la-terreur,#la-pitie,#un-coup-de-tonnere,#la-fiction,#l-ombre-de-corneille
#le-denouement,8.066666666666668,0.4083333333333334,1.6000000000000003,0.26666666666666666,0.8000000000000002,0.26666666666666666,0.00833333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.22500000000000006,0.26666666666666666,0.26666666666666666,0.26666666666666666
#l-exposition,0.4083333333333334,11.266666666666667,0.049999999999999975,0.13333333333333333,0.4000000000000001,5.633333333333334,0.004166666666666665,5.633333333333334,5.633333333333334,5.633333333333334,0.049999999999999975,5.633333333333334,5.633333333333334,5.633333333333334
#semiramis,1.6000000000000003,0.049999999999999975,5.399999999999998,0.8999999999999999,0.03333333333333339,0.8999999999999999,0.012500000000000022,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.1499999999999998,0.8999999999999999,0.8999999999999999,0.8999999999999999
#le-remord,0.26666666666666666,0.13333333333333333,0.8999999999999999,13.066666666666668,0.20000000000000004,0.06666666666666667,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.4000000000000001,0.06666666666666667,0.06666666666666667,0.06666666666666667
#la-cabale,0.8000000000000002,0.4000000000000001,0.03333333333333339,0.20000000000000004,9.599999999999998,0.20000000000000004,0.22500000000000006,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.03333333333333339,0.20000000000000004,0.20000000000000004,0.20000000000000004
#le-noeud,0.26666666666666666,5.633333333333334,0.8999999999999999,0.06666666666666667,0.20000000000000004,13.066666666666668,0.4083333333333334,13.066666666666668,13.066666666666668,13.066666666666668,0.8999999999999999,13.066666666666668,13.066666666666668,13.066666666666668
#l-interet,0.00833333333333333,0.004166666666666665,0.012500000000000022,0.5333333333333333,0.22500000000000006,0.4083333333333334,3.266666666666667,0.4083333333333334,0.4083333333333334,0.4083333333333334,0.1999999999999999,0.4083333333333334,0.4083333333333334,0.4083333333333334
#le-noeud,0.26666666666666666,5.633333333333334,0.8999999999999999,0.06666666666666667,0.20000000000000004,13.066666666666668,0.4083333333333334,13.066666666666668,13.066666666666668,13.066666666666668,0.8999999999999999,13.066666666666668,13.066666666666668,13.066666666666668
#le-noeud,0.26666666666666666,5.633333333333334,0.8999999999999999,0.06666666666666667,0.20000000000000004,13.066666666666668,0.4083333333333334,13.066666666666668,13.066666666666668,13.066666666666668,0.8999999999999999,13.066666666666668,13.066666666666668,13.066666666666668
#le-noeud,0.26666666666666666,5.633333333333334,0.8999999999999999,0.06666666666666667,0.20000000000000004,13.066666666666668,0.4083333333333334,13.066666666666668,13.066666666666668,13.066666666666668,0.8999999999999999,13.066666666666668,13.066666666666668,13.066666666666668
#la-pitie,0.22500000000000006,0.049999999999999975,0.1499999999999998,0.4000000000000001,0.03333333333333339,0.8999999999999999,0.1999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,5.399999999999998,0.8999999999999999,0.8999999999999999,0.8999999999999999
