VALEUR,#subtil,#caton,#torquatus,#scevola,#aristide,#blaise,#tous,#dorcy,#millefort,#les-jacobins,#dorcy #mille-fort #blaise
Fréquences (scènes),0.5294117647058824,0.35294117647058826,0.17647058823529413,0.29411764705882354,0.23529411764705882,0.17647058823529413,0.11764705882352941,0.29411764705882354,0.17647058823529413,0.058823529411764705,0.058823529411764705
Fréquences(répliques),0.44052863436123346,0.0,0.06167400881057269,0.0,0.03524229074889868,0.14096916299559473,0.0,0.2599118942731278,0.03524229074889868,0.022026431718061675,0.004405286343612335
Confrontation,0.1810344827586207,0.16379310344827586,0.09482758620689655,0.16379310344827586,0.12931034482758622,0.0603448275862069,0.0603448275862069,0.0603448275862069,0.017241379310344827,0.034482758620689655,0.034482758620689655
Déviations,#subtil,#caton,#torquatus,#scevola,#aristide,#blaise,#tous,#dorcy,#millefort,#les-jacobins,#dorcy #mille-fort #blaise
#subtil,3.7647058823529416,1.0468409586056642,0.10675381263616551,0.6915032679738563,0.3676470588235294,0.21786492374727676,0.8366013071895425,0.15816993464052284,1.588235294117647,0.41830065359477125,0.41830065359477125
#caton,1.0468409586056642,7.117647058823529,3.5588235294117645,2.831372549019608,4.745098039215687,0.0032679738562091517,2.3725490196078436,1.7647058823529411,1.0588235294117647,0.3529411764705882,0.3529411764705882
#torquatus,0.10675381263616551,3.5588235294117645,11.529411764705882,5.082352941176471,2.3725490196078436,0.41830065359477125,0.3529411764705882,0.8823529411764706,0.5294117647058824,0.1764705882352941,0.1764705882352941
#scevola,0.6915032679738563,2.8313725490196076,5.08235294117647,8.470588235294116,2.826470588235294,0.015686274509803897,0.28823529411764703,0.1505882352941177,0.8823529411764707,1.6941176470588233,1.6941176470588233
#aristide,0.3676470588235294,4.745098039215685,2.3725490196078427,2.826470588235294,9.941176470588236,0.1225490196078431,4.970588235294118,1.1764705882352942,0.7058823529411765,0.23529411764705882,0.23529411764705882
#blaise,0.21786492374727676,0.0032679738562091517,0.41830065359477125,0.01568627450980393,0.1225490196078432,11.529411764705882,0.3529411764705882,0.01568627450980393,0.41830065359477125,0.1764705882352941,0.1764705882352941
#tous,0.8366013071895425,2.3725490196078427,0.35294117647058826,0.28823529411764703,4.970588235294118,0.35294117647058826,13.235294117647058,0.5882352941176471,0.35294117647058826,0.11764705882352941,0.11764705882352941
#dorcy,0.15816993464052284,1.7647058823529413,0.8823529411764707,0.1505882352941177,1.1764705882352942,0.015686274509803897,0.5882352941176471,8.470588235294116,0.015686274509803897,1.6941176470588233,1.6941176470588233
#millefort,1.588235294117647,1.0588235294117647,0.5294117647058824,0.8823529411764706,0.7058823529411764,0.41830065359477125,0.3529411764705882,0.01568627450980393,11.529411764705882,0.1764705882352941,0.1764705882352941
#les-jacobins,0.41830065359477125,0.35294117647058826,0.17647058823529413,1.6941176470588233,0.23529411764705882,0.17647058823529413,0.11764705882352941,1.6941176470588233,0.17647058823529413,15.058823529411764,15.058823529411764
#les-jacobins,0.41830065359477125,0.35294117647058826,0.17647058823529413,1.6941176470588233,0.23529411764705882,0.17647058823529413,0.11764705882352941,1.6941176470588233,0.17647058823529413,15.058823529411764,15.058823529411764
Successions,#subtil,#caton,#torquatus,#scevola,#aristide,#blaise,#tous,#dorcy,#millefort,#les-jacobins,#dorcy #mille-fort #blaise
#subtil,0.02857142857142857,0.2,0.14285714285714285,0.11428571428571428,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.4,0.0,0.0,0.0
#caton,0.42105263157894735,0.0,0.2631578947368421,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.0,0.05263157894736842,0.0,0.0,0.0
#torquatus,0.23076923076923078,0.15384615384615385,0.0,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
#scevola,0.3125,0.3125,0.0625,0.0,0.1875,0.0625,0.0,0.0,0.0,0.0625,0.0
#aristide,0.25,0.25,0.08333333333333333,0.16666666666666666,0.0,0.0,0.25,0.0,0.0,0.0,0.0
#blaise,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0
#tous,0.2,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
#dorcy,0.4827586206896552,0.0,0.0,0.034482758620689655,0.0,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.27586206896551724,0.0
#millefort,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.2,0.0,0.0
#les-jacobins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111
#dorcy #mille-fort #blaise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
