VALEUR,#hauteroche,#corneille,#rosange,#voiture,#d-orgemont,#floridor,#des-urlis,#de-villiers,#brecourt,#beauval,#mademoiselle-du-clos,#mademoiselle-aubry,#tous-les-comediens
Fréquences (scènes),0.625,1.0,0.375,0.5,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.125,0.125
Fréquences(répliques),0.2177650429799427,0.24498567335243554,0.0830945558739255,0.24641833810888253,0.025787965616045846,0.0329512893982808,0.04011461318051576,0.0057306590257879654,0.012893982808022923,0.012893982808022923,0.07449856733524356,0.0014326647564469914,0.0014326647564469914
Confrontation,0.08870967741935484,0.18548387096774194,0.07258064516129033,0.13709677419354838,0.056451612903225805,0.056451612903225805,0.056451612903225805,0.056451612903225805,0.056451612903225805,0.08870967741935484,0.07258064516129033,0.03225806451612903,0.04032258064516129
Déviations,#hauteroche,#corneille,#rosange,#voiture,#d-orgemont,#floridor,#des-urlis,#de-villiers,#brecourt,#beauval,#mademoiselle-du-clos,#mademoiselle-aubry,#tous-les-comediens
#hauteroche,1.125,0.0,0.675,0.9,0.625,0.625,0.625,0.625,0.625,1.25,0.05,0.625,0.225
#corneille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#rosange,0.675,0.0,3.125,0.16666666666666666,0.375,0.375,0.375,0.375,0.375,0.75,0.08333333333333333,0.375,1.0416666666666667
#voiture,0.9,0.0,0.16666666666666666,2.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5
#d-orgemont,0.625,0.0,0.375,0.5,6.125,6.125,6.125,6.125,6.125,2.25,0.25,0.125,0.125
#d-orgemont,0.625,0.0,0.375,0.5,6.125,6.125,6.125,6.125,6.125,2.25,0.25,0.125,0.125
#d-orgemont,0.625,0.0,0.375,0.5,6.125,6.125,6.125,6.125,6.125,2.25,0.25,0.125,0.125
#d-orgemont,0.625,0.0,0.375,0.5,6.125,6.125,6.125,6.125,6.125,2.25,0.25,0.125,0.125
#d-orgemont,0.625,0.0,0.375,0.5,6.125,6.125,6.125,6.125,6.125,2.25,0.25,0.125,0.125
#beauval,1.25,0.0,0.75,1.0,2.25,2.25,2.25,2.25,2.25,4.5,0.5,2.25,0.25
#mademoiselle-du-clos,0.05,0.0,0.08333333333333333,1.0,0.25,0.25,0.25,0.25,0.25,0.5,4.5,2.25,2.25
#mademoiselle-aubry,0.625,0.0,0.375,0.5,0.125,0.125,0.125,0.125,0.125,2.25,2.25,6.125,0.125
#tous-les-comediens,0.225,0.0,1.0416666666666667,0.5,0.125,0.125,0.125,0.125,0.125,0.25,2.25,0.125,6.125
Successions,#hauteroche,#corneille,#rosange,#voiture,#d-orgemont,#floridor,#des-urlis,#de-villiers,#brecourt,#beauval,#mademoiselle-du-clos,#mademoiselle-aubry,#tous-les-comediens
#hauteroche,0.0,0.6976744186046512,0.23255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.0
#corneille,0.2828282828282828,0.010101010101010102,0.1414141414141414,0.31313131313131315,0.010101010101010102,0.0707070707070707,0.050505050505050504,0.0,0.030303030303030304,0.0,0.09090909090909091,0.0,0.0
#rosange,0.39285714285714285,0.4642857142857143,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0
#voiture,0.02127659574468085,0.7021276595744681,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.10638297872340426,0.0,0.0,0.0425531914893617,0.02127659574468085,0.0,0.0
#d-orgemont,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#floridor,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#des-urlis,0.0,0.23076923076923078,0.0,0.46153846153846156,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
#de-villiers,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#brecourt,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#beauval,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
#mademoiselle-du-clos,0.1875,0.4375,0.0625,0.125,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0625
#mademoiselle-aubry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#tous-les-comediens,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
