VALEUR,#pothier,#l-un-deux,#le-bourgeois,#dernier-bourgeois,#la-femme,#sully,#henri,#l-officier,#turenne,#premier-bourgeois,#second-bourgeois,#bussy,#de-thou,#mayenne
Fréquences (scènes),0.4074074074074074,0.037037037037037035,0.18518518518518517,0.1111111111111111,0.1111111111111111,0.037037037037037035,0.25925925925925924,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035
Fréquences(répliques),0.21075581395348839,0.0014534883720930232,0.17005813953488372,0.10319767441860465,0.07994186046511628,0.0029069767441860465,0.13517441860465115,0.0436046511627907,0.06831395348837209,0.07994186046511628,0.04941860465116279,0.029069767441860465,0.007267441860465116,0.0188953488372093
Confrontation,0.22,0.0,0.14,0.04,0.0,0.02,0.1,0.04,0.02,0.12,0.12,0.04,0.12,0.02
Déviations,#pothier,#l-un-deux,#le-bourgeois,#dernier-bourgeois,#la-femme,#sully,#henri,#l-officier,#turenne,#premier-bourgeois,#second-bourgeois,#bussy,#de-thou,#mayenne
#pothier,9.481481481481485,0.4074074074074074,1.8915824915824924,0.4949494949494952,1.222222222222222,0.4074074074074074,2.8518518518518516,0.8148148148148148,0.8148148148148148,0.04040404040404036,0.04040404040404036,0.8619528619528619,1.7239057239057238,0.4074074074074074
#l-un-deux,0.4074074074074074,25.03703703703704,0.18518518518518517,0.1111111111111111,0.1111111111111111,0.037037037037037035,0.25925925925925924,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035
#le-bourgeois,1.8915824915824924,0.18518518518518517,17.92592592592593,0.5555555555555556,0.5555555555555556,0.18518518518518517,1.2962962962962963,0.37037037037037035,0.37037037037037035,0.3555555555555555,0.3555555555555555,0.18518518518518517,1.0703703703703706,0.18518518518518517
#dernier-bourgeois,0.4949494949494952,0.1111111111111111,0.5555555555555556,21.333333333333332,0.3333333333333333,0.1111111111111111,0.7777777777777776,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111
#la-femme,1.222222222222222,0.1111111111111111,0.5555555555555556,0.3333333333333333,21.333333333333332,0.1111111111111111,0.7777777777777776,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111
#sully,0.4074074074074074,0.037037037037037035,0.18518518518518517,0.1111111111111111,0.1111111111111111,25.03703703703704,2.1164021164021163,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035
#henri,2.8518518518518516,0.25925925925925924,1.2962962962962963,0.7777777777777776,0.7777777777777776,2.1164021164021163,14.814814814814815,4.232804232804233,0.44708994708994715,0.7777777777777776,0.7777777777777776,0.25925925925925924,0.5185185185185185,2.1164021164021163
#l-officier,0.8148148148148148,0.07407407407407407,0.37037037037037035,0.2222222222222222,0.2222222222222222,0.07407407407407407,4.232804232804233,23.148148148148152,0.14814814814814814,0.2222222222222222,0.2222222222222222,0.07407407407407407,0.14814814814814814,0.07407407407407407
#turenne,0.8148148148148148,0.07407407407407407,0.37037037037037035,0.2222222222222222,0.2222222222222222,0.07407407407407407,0.44708994708994715,0.14814814814814814,23.148148148148152,0.2222222222222222,0.2222222222222222,0.07407407407407407,0.14814814814814814,0.07407407407407407
#premier-bourgeois,0.04040404040404036,0.1111111111111111,0.3555555555555555,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.7777777777777776,0.2222222222222222,0.2222222222222222,21.333333333333332,21.333333333333332,0.1111111111111111,2.7222222222222223,0.1111111111111111
#premier-bourgeois,0.04040404040404036,0.1111111111111111,0.3555555555555555,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.7777777777777776,0.2222222222222222,0.2222222222222222,21.333333333333332,21.333333333333332,0.1111111111111111,2.7222222222222223,0.1111111111111111
#bussy,0.8619528619528619,0.037037037037037035,0.18518518518518517,0.1111111111111111,0.1111111111111111,0.037037037037037035,0.25925925925925924,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.1111111111111111,25.03703703703704,11.574074074074076,0.037037037037037035
#de-thou,1.7239057239057238,0.07407407407407407,1.0703703703703706,0.2222222222222222,0.2222222222222222,0.07407407407407407,0.5185185185185185,0.14814814814814814,0.14814814814814814,2.7222222222222223,2.7222222222222223,11.574074074074076,23.148148148148152,0.07407407407407407
#mayenne,0.4074074074074074,0.037037037037037035,0.18518518518518517,0.1111111111111111,0.1111111111111111,0.037037037037037035,2.1164021164021163,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.037037037037037035,0.07407407407407407,25.03703703703704
Successions,#pothier,#l-un-deux,#le-bourgeois,#dernier-bourgeois,#la-femme,#sully,#henri,#l-officier,#turenne,#premier-bourgeois,#second-bourgeois,#bussy,#de-thou,#mayenne
#pothier,0.3076923076923077,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0
#l-un-deux,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-bourgeois,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
#dernier-bourgeois,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
#la-femme,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sully,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#henri,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.25,0.125,0.0,0.0,0.0,0.125
#l-officier,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#turenne,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#premier-bourgeois,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0
#second-bourgeois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#bussy,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
