VALEUR,#le-duc,#astolfe,#cassandre,#don-lope,#moncade,#don-pedre,#beralde,#isabelle,#le-capitaine-des-gardes,#don-bernard
Fréquences (scènes),0.2777777777777778,0.3888888888888889,0.5,0.1388888888888889,0.3888888888888889,0.2222222222222222,0.25,0.25,0.027777777777777776,0.08333333333333333
Fréquences(répliques),0.1695196024295969,0.14467145223633351,0.32578685808945335,0.007730535615681944,0.11154058531198233,0.06847045831032579,0.061292103810049695,0.06957482054113749,0.0022087244616234127,0.03920485919381557
Confrontation,0.13218390804597702,0.13793103448275862,0.1896551724137931,0.06896551724137931,0.13793103448275862,0.08045977011494253,0.08045977011494253,0.10344827586206896,0.022988505747126436,0.04597701149425287
Déviations,#le-duc,#astolfe,#cassandre,#don-lope,#moncade,#don-pedre,#beralde,#isabelle,#le-capitaine-des-gardes,#don-bernard
#le-duc,18.77777777777778,1.1460317460317462,0.0,1.868888888888889,0.9174603174603174,2.2222222222222223,0.9,0.1,1.8777777777777775,1.6333333333333337
#astolfe,1.1460317460317455,13.444444444444445,0.14285714285714285,0.4587301587301589,2.179138321995465,3.1111111111111103,0.6428571428571429,0.07142857142857142,0.9603174603174606,2.880952380952382
#cassandre,0.0,0.14285714285714285,9.0,0.9,0.14285714285714285,2.25,1.3888888888888888,1.3888888888888888,0.5,0.16666666666666666
#don-lope,1.868888888888889,0.4587301587301587,0.9,26.694444444444443,0.0015873015873015888,0.01111111111111112,1.25,1.25,5.3388888888888895,0.41666666666666663
#moncade,0.9174603174603178,2.179138321995465,0.14285714285714285,0.0015873015873015758,13.444444444444445,4.8611111111111125,0.07142857142857142,0.6428571428571429,0.3888888888888888,1.1666666666666665
#don-pedre,2.2222222222222223,3.111111111111111,2.25,0.01111111111111112,4.861111111111111,21.77777777777778,2.0,0.5,0.2222222222222222,0.6666666666666666
#beralde,0.9,0.6428571428571429,1.3888888888888888,1.25,0.07142857142857142,2.0,20.25,0.6944444444444444,0.25,0.08333333333333333
#isabelle,0.1,0.07142857142857142,1.3888888888888888,1.25,0.6428571428571429,0.5,0.6944444444444444,20.25,0.25,0.08333333333333333
#le-capitaine-des-gardes,1.8777777777777775,0.9603174603174605,0.5,5.3388888888888895,0.3888888888888889,0.2222222222222222,0.25,0.25,34.02777777777778,0.08333333333333333
#don-bernard,1.6333333333333329,2.8809523809523805,0.16666666666666666,0.4166666666666667,1.1666666666666667,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,30.25
Successions,#le-duc,#astolfe,#cassandre,#don-lope,#moncade,#don-pedre,#beralde,#isabelle,#le-capitaine-des-gardes,#don-bernard
#le-duc,0.0,0.37142857142857144,0.4142857142857143,0.04285714285714286,0.0,0.0,0.02857142857142857,0.04285714285714286,0.014285714285714285,0.08571428571428572
#astolfe,0.36619718309859156,0.0,0.36619718309859156,0.0,0.07042253521126761,0.0,0.056338028169014086,0.09859154929577464,0.028169014084507043,0.014084507042253521
#cassandre,0.2702702702702703,0.21621621621621623,0.009009009009009009,0.06306306306306306,0.16216216216216217,0.0,0.05405405405405406,0.1891891891891892,0.009009009009009009,0.02702702702702703
#don-lope,0.3,0.2,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0
#moncade,0.03076923076923077,0.15384615384615385,0.24615384615384617,0.0,0.0,0.36923076923076925,0.07692307692307693,0.12307692307692308,0.0,0.0
#don-pedre,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.3333333333333333,0.08333333333333333,0.0,0.0
#beralde,0.06666666666666667,0.1,0.2,0.0,0.3,0.3,0.0,0.03333333333333333,0.0,0.0
#isabelle,0.023255813953488372,0.09302325581395349,0.5348837209302325,0.0,0.2558139534883721,0.06976744186046512,0.023255813953488372,0.0,0.0,0.0
#le-capitaine-des-gardes,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-bernard,0.5,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
