VALEUR,#l-actrice,#momus,#philinte,#l-indifferent,#le-genie,#terpsicore,#chanteur-du-divertisssement,#chanteur-du-vaudeville
Fréquences (scènes),0.14285714285714285,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
Fréquences(répliques),0.05680119581464873,0.31689088191330345,0.17787742899850523,0.1210762331838565,0.21076233183856502,0.09118086696562033,0.025411061285500747,0.0
Confrontation,0.1,0.5,0.1,0.1,0.1,0.1,0.0,0.0
Déviations,#l-actrice,#momus,#philinte,#l-indifferent,#le-genie,#terpsicore,#chanteur-du-divertisssement,#chanteur-du-vaudeville
#l-actrice,5.142857142857144,0.11428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
#momus,0.11428571428571437,0.5714285714285713,0.11428571428571437,0.11428571428571437,0.11428571428571437,0.11428571428571437,0.7142857142857142,0.7142857142857142
#philinte,0.14285714285714285,0.11428571428571427,5.142857142857144,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
#l-indifferent,0.14285714285714285,0.11428571428571427,0.14285714285714285,5.142857142857144,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
#le-genie,0.14285714285714285,0.11428571428571427,0.14285714285714285,0.14285714285714285,5.142857142857144,0.14285714285714285,0.14285714285714285,0.14285714285714285
#terpsicore,0.14285714285714285,0.11428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,5.142857142857144,0.14285714285714285,0.14285714285714285
#chanteur-du-divertisssement,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,5.142857142857144,0.14285714285714285
#chanteur-du-vaudeville,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,5.142857142857144
Successions,#l-actrice,#momus,#philinte,#l-indifferent,#le-genie,#terpsicore,#chanteur-du-divertisssement,#chanteur-du-vaudeville
#l-actrice,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#momus,0.16417910447761194,0.0,0.34328358208955223,0.14925373134328357,0.1791044776119403,0.16417910447761194,0.0,0.0
#philinte,0.041666666666666664,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0
#l-indifferent,0.0,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0
#le-genie,0.0,0.9166666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0
#l-actrice,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-actrice,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#chanteur-du-vaudeville,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
