VALEUR,#la-fleur,#marton,#damon,#leandre,#clarice,#arlequin,#eliante,#recitant-du-vaudeville
Fréquences (scènes),0.2631578947368421,0.5,0.3684210526315789,0.4473684210526316,0.42105263157894735,0.21052631578947367,0.18421052631578946,0.02631578947368421
Fréquences(répliques),0.0816451810926949,0.1682013505217925,0.1516267648864334,0.23204419889502761,0.2645794966236955,0.03560466543891958,0.06629834254143646,0.0
Confrontation,0.0875,0.20625,0.15625,0.18125,0.1875,0.0875,0.0875,0.00625
Déviations,#la-fleur,#marton,#damon,#leandre,#clarice,#arlequin,#eliante,#recitant-du-vaudeville
#la-fleur,20.63157894736842,1.8,0.1270676691729323,4.473684210526316,4.2105263157894735,0.38026315789473697,1.8421052631578947,0.2631578947368421
#marton,1.8,9.5,0.14285714285714285,0.7352941176470589,0.0,0.25,0.6428571428571429,0.5
#damon,0.1270676691729323,0.14285714285714285,15.1578947368421,0.0866873065015479,0.0018796992481203126,0.3045112781954886,0.966702470461869,0.3684210526315789
#leandre,4.473684210526316,0.7352941176470589,0.08668730650154813,11.605263157894738,0.09907120743034077,0.049535603715170386,0.2408226448474128,0.4473684210526315
#clarice,4.2105263157894735,0.0,0.0018796992481203126,0.09907120743034054,12.73684210526316,1.665296052631579,5.572368421052631,0.42105263157894735
#arlequin,0.38026315789473697,0.25,0.3045112781954886,0.04953560371517027,1.665296052631579,23.68421052631579,1.4736842105263157,2.960526315789474
#eliante,1.8421052631578947,0.6428571428571429,0.966702470461869,0.2408226448474125,5.572368421052631,1.4736842105263157,25.289473684210524,0.18421052631578946
#recitant-du-vaudeville,0.2631578947368421,0.5,0.3684210526315789,0.4473684210526316,0.42105263157894735,2.960526315789474,0.18421052631578946,36.02631578947369
Successions,#la-fleur,#marton,#damon,#leandre,#clarice,#arlequin,#eliante,#recitant-du-vaudeville
#la-fleur,0.0,0.6307692307692307,0.2153846153846154,0.0,0.0,0.15384615384615385,0.0,0.0
#marton,0.35294117647058826,0.029411764705882353,0.22549019607843138,0.0784313725490196,0.24509803921568626,0.06862745098039216,0.0,0.0
#damon,0.11904761904761904,0.14285714285714285,0.0,0.42063492063492064,0.24603174603174602,0.0,0.07142857142857142,0.0
#leandre,0.0064516129032258064,0.025806451612903226,0.3419354838709677,0.01935483870967742,0.49032258064516127,0.06451612903225806,0.05161290322580645,0.0
#clarice,0.0,0.18354430379746836,0.1962025316455696,0.43037974683544306,0.006329113924050633,0.006329113924050633,0.17721518987341772,0.0
#arlequin,0.4666666666666667,0.16666666666666666,0.03333333333333333,0.3,0.0,0.0,0.0,0.03333333333333333
#eliante,0.0,0.044444444444444446,0.08888888888888889,0.3111111111111111,0.5555555555555556,0.0,0.0,0.0
#recitant-du-vaudeville,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
