VALEUR,#gusman,#fabrice,#ferdinand,#stephanie,#lazarille,#la-servante,#henriquez,#l-hote
Fréquences (scènes),0.6,0.55,0.2,0.25,0.65,0.05,0.35,0.1
Fréquences(répliques),0.3241563055062167,0.1625222024866785,0.13765541740674955,0.06483126110124333,0.23001776198934282,0.015097690941385435,0.05772646536412078,0.007992895204262877
Confrontation,0.22580645161290322,0.1693548387096774,0.08064516129032258,0.11290322580645161,0.22580645161290322,0.008064516129032258,0.12903225806451613,0.04838709677419355
Déviations,#gusman,#fabrice,#ferdinand,#stephanie,#lazarille,#la-servante,#henriquez,#l-hote
#gusman,3.200000000000001,0.2969696969696967,0.06666666666666678,0.3333333333333333,0.005128205128205092,0.6000000000000001,0.009523809523809459,0.533333333333333
#fabrice,0.29696969696969716,4.049999999999999,0.6545454545454547,0.022727272727272728,0.003146853146853162,0.55,0.8889610389610386,1.1
#ferdinand,0.06666666666666664,0.6545454545454547,12.800000000000002,4.0,0.06153846153846151,0.20000000000000004,0.11428571428571424,0.4000000000000001
#stephanie,0.3333333333333333,0.022727272727272728,4.0,11.25,0.019230769230769232,0.25,0.32142857142857145,0.5
#lazarille,0.005128205128205138,0.003146853146853162,0.06153846153846151,0.019230769230769232,2.4499999999999984,0.65,0.04450549450549454,0.37692307692307686
#la-servante,0.6,0.55,0.20000000000000004,0.25,0.65,18.049999999999997,1.2071428571428573,0.10000000000000002
#henriquez,0.00952380952380954,0.8889610389610394,0.11428571428571435,0.32142857142857145,0.04450549450549454,1.2071428571428566,8.450000000000005,2.4142857142857133
#l-hote,0.5333333333333334,1.1,0.4000000000000001,0.5,0.37692307692307686,0.10000000000000002,2.4142857142857146,16.2
Successions,#gusman,#fabrice,#ferdinand,#stephanie,#lazarille,#la-servante,#henriquez,#l-hote
#gusman,0.0,0.45901639344262296,0.08196721311475409,0.04918032786885246,0.29508196721311475,0.0,0.09836065573770492,0.01639344262295082
#fabrice,0.6951219512195121,0.0,0.0,0.07317073170731707,0.2073170731707317,0.0,0.024390243902439025,0.0
#ferdinand,0.15789473684210525,0.02631578947368421,0.0,0.2894736842105263,0.34210526315789475,0.0,0.18421052631578946,0.0
#stephanie,0.2413793103448276,0.13793103448275862,0.3793103448275862,0.0,0.2413793103448276,0.0,0.0,0.0
#lazarille,0.4666666666666667,0.2222222222222222,0.1111111111111111,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0
#la-servante,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0
#henriquez,0.18421052631578946,0.02631578947368421,0.18421052631578946,0.0,0.39473684210526316,0.15789473684210525,0.0,0.05263157894736842
#l-hote,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.2
