VALEUR,#melpomene,#thalie,#euterpe,#apollon,#les-heures,#aurore,#semele,#dirce,#dimas,#alcmeon,#le-roi,#la-reine,#l-amour,#jupiter,#momus,#junon,#venus,#la-jeunesse,#un-des-amours,#hymenee,#jalousie,#atys
Fréquences (scènes),0.1,0.075,0.05,0.025,0.025,0.025,0.45,0.1,0.05,0.275,0.2,0.3,0.025,0.2,0.15,0.15,0.025,0.025,0.025,0.025,0.025,0.025
Fréquences(répliques),0.05871029836381136,0.03320500481231954,0.04427333974975938,0.016361886429258902,0.0038498556304138597,0.011549566891241578,0.2228103946102021,0.0178055822906641,0.005774783445620789,0.13522617901828682,0.06256015399422522,0.05389797882579403,0.003368623676612127,0.143888354186718,0.07988450433108758,0.058229066410009626,0.012512030798845043,0.011549566891241578,0.0038498556304138597,0.0019249278152069298,0.005774783445620789,0.012993262752646775
Confrontation,0.039473684210526314,0.039473684210526314,0.03289473684210526,0.019736842105263157,0.013157894736842105,0.013157894736842105,0.15789473684210525,0.03289473684210526,0.019736842105263157,0.13157894736842105,0.10526315789473684,0.1513157894736842,0.013157894736842105,0.08552631578947369,0.039473684210526314,0.046052631578947366,0.006578947368421052,0.006578947368421052,0.013157894736842105,0.019736842105263157,0.0,0.013157894736842105
Déviations,#melpomene,#thalie,#euterpe,#apollon,#les-heures,#aurore,#semele,#dirce,#dimas,#alcmeon,#le-roi,#la-reine,#l-amour,#jupiter,#momus,#junon,#venus,#la-jeunesse,#un-des-amours,#hymenee,#jalousie,#atys
#melpomene,32.4,24.300000000000004,16.2,8.1,0.10000000000000002,0.10000000000000002,1.8,0.4000000000000001,0.20000000000000004,1.1,0.8000000000000002,1.2,0.10000000000000002,0.8000000000000002,0.6,0.6,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#thalie,24.3,34.225,22.816666666666666,11.408333333333333,0.07500000000000001,0.07500000000000001,1.35,0.30000000000000004,0.15000000000000002,0.8250000000000001,0.6000000000000001,0.8999999999999999,0.07500000000000001,0.6000000000000001,0.44999999999999996,0.44999999999999996,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.07500000000000001
#euterpe,16.2,22.81666666666667,36.099999999999994,18.049999999999997,0.05000000000000001,0.05000000000000001,0.9,0.20000000000000004,0.10000000000000002,0.55,0.4000000000000001,0.6,0.05000000000000001,0.4000000000000001,0.3,0.3,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001
#apollon,8.1,11.408333333333335,18.049999999999997,38.025,0.025000000000000005,0.025000000000000005,0.45,0.10000000000000002,0.05000000000000001,0.275,0.20000000000000004,0.3,0.025000000000000005,0.20000000000000004,0.15,0.15,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005
#les-heures,0.10000000000000002,0.075,0.05000000000000001,0.025000000000000005,38.025,38.025,0.6722222222222223,0.10000000000000002,0.05000000000000001,0.275,0.20000000000000004,0.3,0.025000000000000005,0.20000000000000004,0.15,0.15,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005
#les-heures,0.10000000000000002,0.075,0.05000000000000001,0.025000000000000005,38.025,38.025,0.6722222222222223,0.10000000000000002,0.05000000000000001,0.275,0.20000000000000004,0.3,0.025000000000000005,0.20000000000000004,0.15,0.15,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005
#semele,1.8,1.3499999999999999,0.9,0.45,0.6722222222222223,0.6722222222222223,12.100000000000001,0.7999999999999999,0.011111111111111105,0.1823232323232324,1.877777777777778,2.1407407407407404,0.45,0.04444444444444442,0.18148148148148135,0.18148148148148135,0.6722222222222223,0.6722222222222223,0.6722222222222223,0.45,0.45,0.45
#dirce,0.4000000000000001,0.3,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.7999999999999999,32.4,0.20000000000000004,1.1,0.8000000000000002,0.03333333333333332,8.1,0.8000000000000002,0.6,0.6,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#dimas,0.20000000000000004,0.15,0.10000000000000002,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.011111111111111105,0.20000000000000004,36.099999999999994,3.8227272727272723,0.4000000000000001,0.6,0.05000000000000001,0.4000000000000001,0.3,0.3,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001
