VALEUR,#le-choeur,#dorilas,#climene,#silene,#lisimene,#palemon,#damis,#silvanire,#ergaste,#telamire,#philis,#premiere-bergere,#seconde-bergere,#les-deux-bergeres,#bergers
Fréquences (scènes),0.02631578947368421,0.15789473684210525,0.21052631578947367,0.34210526315789475,0.34210526315789475,0.05263157894736842,0.21052631578947367,0.3684210526315789,0.2894736842105263,0.2631578947368421,0.10526315789473684,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421
Fréquences(répliques),0.004319654427645789,0.04265658747300216,0.058855291576673865,0.13876889848812096,0.2359611231101512,0.026457883369330453,0.09449244060475162,0.1673866090712743,0.12526997840172785,0.07397408207343413,0.014578833693304536,0.0016198704103671706,0.0032397408207343412,0.0026997840172786176,0.009719222462203024
Confrontation,0.011363636363636364,0.10227272727272728,0.11363636363636363,0.11931818181818182,0.125,0.011363636363636364,0.07954545454545454,0.11363636363636363,0.13068181818181818,0.11931818181818182,0.028409090909090908,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364
Déviations,#le-choeur,#dorilas,#climene,#silene,#lisimene,#palemon,#damis,#silvanire,#ergaste,#telamire,#philis,#premiere-bergere,#seconde-bergere,#les-deux-bergeres,#bergers
#le-choeur,36.02631578947369,4.491228070175438,2.960526315789474,0.34210526315789475,0.34210526315789475,0.05263157894736842,0.21052631578947367,0.3684210526315789,0.2894736842105263,0.2631578947368421,0.10526315789473684,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421
#dorilas,4.491228070175438,26.94736842105263,17.763157894736842,0.0013495276653171474,0.0013495276653171474,0.3157894736842105,0.05482456140350875,0.6629072681704258,0.9186602870813396,0.11228070175438594,0.631578947368421,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525
#climene,2.960526315789474,17.763157894736842,23.68421052631579,0.19838056680161947,0.025303643724696342,0.42105263157894735,0.2779605263157894,1.2866541353383458,1.2248803827751193,0.005263157894736831,0.8421052631578947,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367
#silene,0.3421052631578947,0.0013495276653171248,0.19838056680161928,16.44736842105263,0.04500155714730619,0.1457489878542511,1.8714574898785432,0.13013302486986678,2.0288921604711083,1.7133603238866397,1.3684210526315788,0.3421052631578947,0.3421052631578947,0.3421052631578947,1.2651821862348183
#lisimene,0.3421052631578947,0.0013495276653171248,0.025303643724696432,0.04500155714730619,16.44736842105263,0.6842105263157894,2.7368421052631575,1.624638519375361,0.014906146485093806,0.09797570850202429,1.9453441295546565,0.3421052631578947,0.3421052631578947,0.3421052631578947,0.3421052631578947
#palemon,0.05263157894736842,0.3157894736842105,0.42105263157894735,0.145748987854251,0.6842105263157895,34.10526315789474,0.42105263157894735,0.09398496240601507,0.5789473684210527,0.5263157894736842,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
