VALEUR,#alexandre,#perdiccas,#oronte,#clairance,#argire,#oraxene,#clarice,#porus,#arsacide,#phradate
Fréquences (scènes),0.37037037037037035,0.2962962962962963,0.14814814814814814,0.3333333333333333,0.5185185185185185,0.37037037037037035,0.1111111111111111,0.4444444444444444,0.37037037037037035,0.037037037037037035
Fréquences(répliques),0.09526662672258837,0.12103055721989216,0.002396644697423607,0.06411024565608149,0.15038945476333135,0.059316956261234274,0.08208508088675853,0.23067705212702216,0.15518274415817854,0.039544637507489516
Confrontation,0.12264150943396226,0.08018867924528301,0.06132075471698113,0.12264150943396226,0.1650943396226415,0.12735849056603774,0.04245283018867924,0.1509433962264151,0.12264150943396226,0.0047169811320754715
Déviations,#alexandre,#perdiccas,#oronte,#clairance,#argire,#oraxene,#clarice,#porus,#arsacide,#phradate
#alexandre,10.703703703703706,0.0004629629629629671,0.15648148148148142,0.5333333333333331,0.12804232804232807,0.7837037037037035,0.01111111111111112,0.5444444444444443,0.45370370370370405,0.37037037037037035
#perdiccas,0.0004629629629629671,13.370370370370372,0.5601851851851853,0.041666666666666706,1.1124338624338623,0.0004629629629629671,0.8888888888888888,1.8368055555555554,0.0004629629629629671,0.2962962962962963
#oronte,0.15648148148148142,0.5601851851851853,19.59259259259259,0.3333333333333334,0.0026455026455026375,0.15648148148148142,0.4444444444444444,0.8402777777777779,0.18148148148148155,0.14814814814814814
#clairance,0.5333333333333331,0.041666666666666706,0.3333333333333334,12.0,0.3809523809523814,2.1333333333333337,1.0,0.25,0.5333333333333331,0.3333333333333333
#argire,0.12804232804232807,1.1124338624338623,0.0026455026455026375,0.3809523809523814,6.259259259259261,0.006613756613756609,1.3412698412698416,0.09722222222222243,0.9208994708994709,0.44708994708994715
#oraxene,0.7837037037037035,0.0004629629629629671,0.15648148148148142,2.1333333333333337,0.006613756613756609,10.703703703703706,0.711111111111111,0.04444444444444448,0.023703703703703775,0.37037037037037035
#clarice,0.01111111111111112,0.8888888888888888,0.4444444444444444,1.0,1.3412698412698416,0.711111111111111,21.333333333333332,0.0833333333333333,1.1111111111111112,0.1111111111111111
#porus,0.5444444444444443,1.8368055555555554,0.8402777777777779,0.25,0.09722222222222243,0.04444444444444448,0.0833333333333333,8.333333333333336,1.469444444444444,0.4444444444444444
#arsacide,0.45370370370370405,0.0004629629629629671,0.18148148148148155,0.5333333333333331,0.9208994708994709,0.023703703703703775,1.1111111111111112,1.469444444444444,10.703703703703706,0.37037037037037035
#phradate,0.37037037037037035,0.2962962962962963,0.14814814814814814,0.3333333333333333,0.44708994708994715,0.37037037037037035,0.1111111111111111,0.4444444444444444,0.37037037037037035,25.03703703703704
Successions,#alexandre,#perdiccas,#oronte,#clairance,#argire,#oraxene,#clarice,#porus,#arsacide,#phradate
#alexandre,0.0,0.13157894736842105,0.0,0.02631578947368421,0.2894736842105263,0.02631578947368421,0.02631578947368421,0.3157894736842105,0.18421052631578946,0.0
#perdiccas,0.22857142857142856,0.02857142857142857,0.02857142857142857,0.4857142857142857,0.05714285714285714,0.08571428571428572,0.0,0.02857142857142857,0.05714285714285714,0.0
#oronte,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
#clairance,0.045454545454545456,0.36363636363636365,0.022727272727272728,0.0,0.13636363636363635,0.29545454545454547,0.11363636363636363,0.0,0.022727272727272728,0.0
#argire,0.10294117647058823,0.04411764705882353,0.014705882352941176,0.1323529411764706,0.014705882352941176,0.08823529411764706,0.04411764705882353,0.47058823529411764,0.014705882352941176,0.07352941176470588
#oraxene,0.0,0.07894736842105263,0.0,0.3157894736842105,0.13157894736842105,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.3684210526315789,0.0
#clarice,0.0,0.0,0.0,0.18181818181818182,0.6363636363636364,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0
#porus,0.25,0.0,0.015625,0.03125,0.4375,0.03125,0.0,0.0,0.234375,0.0
#arsacide,0.0975609756097561,0.14634146341463414,0.0,0.024390243902439025,0.04878048780487805,0.2682926829268293,0.0,0.4146341463414634,0.0,0.0
#phradate,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
