VALEUR,#clearque,#proxenes,#pharnabaze,#amestris,#alcibiade,#theone,#megabyse,#callias,#hypparette
Fréquences (scènes),0.17391304347826086,0.15217391304347827,0.30434782608695654,0.2826086956521739,0.3695652173913043,0.13043478260869565,0.08695652173913043,0.10869565217391304,0.15217391304347827
Fréquences(répliques),0.12529832935560858,0.08233890214797136,0.12947494033412887,0.2016706443914081,0.30071599045346065,0.01909307875894988,0.014916467780429593,0.057279236276849645,0.06921241050119331
Confrontation,0.09333333333333334,0.10666666666666667,0.10666666666666667,0.15333333333333332,0.2,0.07333333333333333,0.04666666666666667,0.09333333333333334,0.12666666666666668
Déviations,#clearque,#proxenes,#pharnabaze,#amestris,#alcibiade,#theone,#megabyse,#callias,#hypparette
#clearque,31.391304347826086,2.6102484472049685,0.13121118012422353,0.2416387959866222,0.3094629156010229,0.0018115942028985484,0.6956521739130435,0.019565217391304356,0.03881987577639754
#proxenes,2.6102484472049685,33.06521739130435,0.5998225377107366,0.48375537505972277,2.2508220679576176,0.9130434782608695,0.2515527950310558,2.018012422360249,3.514196983141082
#pharnabaze,0.13121118012422353,0.5998225377107366,22.26086956521739,0.0004777830864787429,0.26635001826817684,1.826086956521739,2.6102484472049685,1.5217391304347825,0.5998225377107366
#amestris,0.2416387959866222,0.48375537505972277,0.0004777830864787429,23.673913043478272,0.007967735589219073,10.926421404682278,1.1304347826086956,0.2438127090301005,0.00023889154323937146
#alcibiade,0.3094629156010229,2.2508220679576167,0.26635001826817717,0.007967735589219,18.282608695652172,0.02131287297527708,0.18414322250639395,2.5066496163682874,4.50292290829375
#theone,0.0018115942028985484,0.9130434782608696,1.8260869565217392,10.926421404682278,0.02131287297527708,34.78260869565218,0.5217391304347826,0.18550724637681157,0.008281573498964792
#megabyse,0.6956521739130435,0.2515527950310558,2.6102484472049685,1.1304347826086956,0.18414322250639395,0.5217391304347826,38.34782608695652,0.43478260869565216,0.2515527950310558
#callias,0.019565217391304356,2.0180124223602482,1.5217391304347827,0.2438127090301005,2.5066496163682874,0.18550724637681157,0.43478260869565216,36.54347826086956,13.789440993788817
#hypparette,0.03881987577639754,3.514196983141082,0.5998225377107366,0.00023889154323937146,4.502922908293752,0.008281573498964814,0.2515527950310558,13.789440993788821,33.06521739130435
Successions,#clearque,#proxenes,#pharnabaze,#amestris,#alcibiade,#theone,#megabyse,#callias,#hypparette
#clearque,0.0,0.23333333333333334,0.23333333333333334,0.3,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0
#proxenes,0.2413793103448276,0.0,0.13793103448275862,0.0,0.5172413793103449,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655
#pharnabaze,0.19047619047619047,0.047619047619047616,0.0,0.4523809523809524,0.19047619047619047,0.0,0.09523809523809523,0.0,0.023809523809523808
#amestris,0.16,0.0,0.25333333333333335,0.0,0.29333333333333333,0.14666666666666667,0.0,0.08,0.06666666666666667
#alcibiade,0.030927835051546393,0.16494845360824742,0.07216494845360824,0.27835051546391754,0.010309278350515464,0.0,0.020618556701030927,0.17525773195876287,0.24742268041237114
#theone,0.07692307692307693,0.0,0.0,0.8461538461538461,0.07692307692307693,0.0,0.0,0.0,0.0
#megabyse,0.0,0.125,0.625,0.0,0.25,0.0,0.0,0.0,0.0
#callias,0.0,0.0,0.0,0.17857142857142858,0.7142857142857143,0.0,0.0,0.0,0.10714285714285714
#hypparette,0.0,0.08571428571428572,0.0,0.08571428571428572,0.6857142857142857,0.0,0.0,0.11428571428571428,0.02857142857142857
