VALEUR,#josephine,#ariste,#d-harcourt,#epimenide,#gorgi,#madame-brochure,#rature,#fatras,#dharcourt,#crisante,#nicolas,#l-abbe,#cabriole,#damon,#un-tailleur,#le-tailleur,#le-procureur,#le-notaire
Fréquences (scènes),0.5,0.5,0.6,0.85,0.15,0.2,0.05,0.05,0.1,0.05,0.1,0.15,0.1,0.05,0.05,0.05,0.05,0.05
Fréquences(répliques),0.12781065088757396,0.1349112426035503,0.10414201183431952,0.22130177514792898,0.04970414201183432,0.06153846153846154,0.04497041420118343,0.0485207100591716,0.004733727810650888,0.027218934911242602,0.033136094674556214,0.05917159763313609,0.047337278106508875,0.03076923076923077,0.001183431952662722,0.001183431952662722,0.001183431952662722,0.001183431952662722
Confrontation,0.10833333333333334,0.1111111111111111,0.13055555555555556,0.1361111111111111,0.044444444444444446,0.06388888888888888,0.005555555555555556,0.008333333333333333,0.05277777777777778,0.016666666666666666,0.05277777777777778,0.06388888888888888,0.044444444444444446,0.016666666666666666,0.03611111111111111,0.03611111111111111,0.03611111111111111,0.03611111111111111
Déviations,#josephine,#ariste,#d-harcourt,#epimenide,#gorgi,#madame-brochure,#rature,#fatras,#dharcourt,#crisante,#nicolas,#l-abbe,#cabriole,#damon,#un-tailleur,#le-tailleur,#le-procureur,#le-notaire
#josephine,5.0,0.0,0.6666666666666666,0.029411764705882353,0.16666666666666666,0.5,0.5,0.5,1.0,0.5,1.0,1.5,0.0,0.5,0.5,0.5,0.5,0.5
#ariste,0.0,5.0,0.16666666666666666,0.029411764705882353,0.16666666666666666,0.0,0.5,0.5,1.0,0.5,1.0,1.5,1.0,0.5,0.5,0.5,0.5,0.5
#d-harcourt,0.6666666666666666,0.16666666666666666,3.200000000000001,0.003921568627450953,0.022222222222222265,0.1499999999999998,0.2666666666666665,0.2666666666666665,0.533333333333333,0.2666666666666665,0.533333333333333,0.8000000000000003,0.533333333333333,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665
#epimenide,0.029411764705882353,0.029411764705882353,0.003921568627450953,0.4500000000000003,0.1186274509803921,0.04705882352941184,0.026470588235294086,0.026470588235294086,0.05294117647058817,0.026470588235294086,0.05294117647058817,0.07941176470588242,0.05294117647058817,0.026470588235294086,0.026470588235294086,0.026470588235294086,0.026470588235294086,0.026470588235294086
#gorgi,0.16666666666666666,0.16666666666666666,0.022222222222222265,0.1186274509803921,14.450000000000001,3.2666666666666657,0.15000000000000002,0.15000000000000002,1.6333333333333329,0.15000000000000002,1.6333333333333329,0.6722222222222224,1.6333333333333329,0.15000000000000002,4.8166666666666655,4.8166666666666655,4.8166666666666655,4.8166666666666655
#madame-brochure,0.5,0.0,0.15000000000000005,0.04705882352941174,3.266666666666666,12.800000000000002,0.20000000000000004,0.20000000000000004,0.8999999999999999,0.20000000000000004,0.8999999999999999,3.266666666666666,0.8999999999999999,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006
#rature,0.5,0.5,0.2666666666666667,0.026470588235294124,0.15,0.20000000000000004,18.049999999999997,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.15,0.10000000000000002,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001
#fatras,0.5,0.5,0.2666666666666667,0.026470588235294124,0.15,0.20000000000000004,0.05000000000000001,18.049999999999997,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.15,0.10000000000000002,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001
