VALEUR,#pierre,#joseph,#gontran,#blanche,#le-surveillant,#un-employe,#madame-de-mora,#le-comte
Fréquences (scènes),0.5333333333333333,0.5333333333333333,0.4,0.4,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.26666666666666666
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.1509433962264151,0.19811320754716982,0.16981132075471697,0.16981132075471697,0.03773584905660377,0.03773584905660377,0.14150943396226415,0.09433962264150944
Déviations,#pierre,#joseph,#gontran,#blanche,#le-surveillant,#un-employe,#madame-de-mora,#le-comte
#pierre,3.266666666666667,0.7041666666666667,0.4500000000000001,0.4500000000000001,0.6020833333333333,0.4083333333333334,1.0416666666666665,0.35208333333333336
#joseph,0.7041666666666667,3.266666666666667,0.1999999999999999,0.1999999999999999,0.6020833333333333,0.4083333333333334,0.041666666666666706,0.00833333333333333
#gontran,0.4500000000000001,0.1999999999999999,5.399999999999998,5.399999999999998,1.6000000000000003,0.8999999999999999,2.0,0.22500000000000006
#gontran,0.4500000000000001,0.1999999999999999,5.399999999999998,5.399999999999998,1.6000000000000003,0.8999999999999999,2.0,0.22500000000000006
#le-surveillant,0.6020833333333333,0.6020833333333333,1.6000000000000003,1.6000000000000003,8.066666666666668,0.26666666666666666,0.0833333333333333,0.004166666666666665
#un-employe,0.4083333333333334,0.4083333333333334,0.8999999999999999,0.8999999999999999,0.26666666666666666,13.066666666666668,0.3333333333333333,0.26666666666666666
#madame-de-mora,1.0416666666666665,0.041666666666666706,2.0,2.0,0.0833333333333333,0.3333333333333333,6.666666666666668,0.3333333333333334
#le-comte,0.35208333333333336,0.00833333333333333,0.22500000000000006,0.22500000000000006,0.004166666666666665,0.26666666666666666,0.3333333333333334,8.066666666666668
Successions,#pierre,#joseph,#gontran,#blanche,#le-surveillant,#un-employe,#madame-de-mora,#le-comte
#pierre,0.03571428571428571,0.21428571428571427,0.25,0.03571428571428571,0.0,0.0,0.07142857142857142,0.39285714285714285
#joseph,0.6,0.06666666666666667,0.13333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667
#gontran,0.1206896551724138,0.017241379310344827,0.0,0.1896551724137931,0.0,0.0,0.6379310344827587,0.034482758620689655
#blanche,0.05,0.0,0.5,0.0,0.05,0.0,0.3,0.1
#le-surveillant,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25
#un-employe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-de-mora,0.018518518518518517,0.05555555555555555,0.6666666666666666,0.09259259259259259,0.018518518518518517,0.0,0.0,0.14814814814814814
#le-comte,0.34615384615384615,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.0,0.2692307692307692,0.038461538461538464
