VALEUR,#elise,#eudoxie,#arbate,#aspar,#maxime,#flavus,#adonal,#gontharis,#leonce
Fréquences (scènes),0.1935483870967742,0.8709677419354839,0.03225806451612903,0.16129032258064516,0.3548387096774194,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.12903225806451613
Fréquences(répliques),0.05858310626702997,0.4100817438692098,0.05790190735694823,0.07084468664850137,0.22002724795640327,0.004087193460490463,0.010217983651226158,0.08719346049046321,0.08106267029972752
Confrontation,0.08823529411764706,0.39705882352941174,0.014705882352941176,0.11764705882352941,0.17647058823529413,0.029411764705882353,0.014705882352941176,0.07352941176470588,0.08823529411764706
Déviations,#elise,#eudoxie,#arbate,#aspar,#maxime,#flavus,#adonal,#gontharis,#leonce
#elise,20.16129032258065,0.11469534050179218,0.1935483870967742,0.967741935483871,2.129032258064516,0.1935483870967742,0.1935483870967742,0.7741935483870968,0.7741935483870968
#eudoxie,0.11469534050179218,0.5161290322580646,0.019115890083632018,0.02891278375149338,0.2607798414250031,0.019115890083632018,0.8709677419354839,0.06720430107526883,0.07646356033452807
#arbate,0.1935483870967742,0.019115890083632018,29.03225806451613,0.16129032258064516,0.35483870967741943,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.12903225806451613
#aspar,0.967741935483871,0.02891278375149338,0.16129032258064516,21.806451612903224,0.8469208211143692,0.16129032258064516,0.16129032258064516,0.6451612903225806,0.1951612903225807
#maxime,2.129032258064516,0.26077984142500255,0.35483870967741943,0.8469208211143695,12.903225806451612,1.1730205278592374,0.35483870967741943,1.4193548387096777,1.4193548387096777
#flavus,0.1935483870967742,0.019115890083632018,0.03225806451612903,0.16129032258064516,1.1730205278592374,29.03225806451613,0.03225806451612903,0.12903225806451613,0.12903225806451613
#adonal,0.1935483870967742,0.8709677419354839,0.03225806451612903,0.16129032258064516,0.35483870967741943,0.03225806451612903,29.03225806451613,5.879032258064516,0.12903225806451613
#gontharis,0.7741935483870968,0.06720430107526883,0.12903225806451613,0.6451612903225806,1.4193548387096777,0.12903225806451613,5.879032258064516,23.516129032258064,0.45362903225806456
#leonce,0.7741935483870968,0.07646356033452807,0.12903225806451613,0.1951612903225807,1.4193548387096777,0.12903225806451613,0.12903225806451613,0.45362903225806456,23.516129032258064
Successions,#elise,#eudoxie,#arbate,#aspar,#maxime,#flavus,#adonal,#gontharis,#leonce
#elise,0.0,0.96,0.0,0.0,0.04,0.0,0.0,0.0,0.0
#eudoxie,0.18439716312056736,0.04964539007092199,0.04964539007092199,0.05673758865248227,0.3049645390070922,0.0,0.0,0.12056737588652482,0.23404255319148937
#arbate,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aspar,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#maxime,0.0,0.7735849056603774,0.0,0.18867924528301888,0.018867924528301886,0.018867924528301886,0.0,0.0,0.0
#flavus,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#flavus,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#gontharis,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555
#leonce,0.0,0.9705882352941176,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0
