VALEUR,#osman,#roxelane,#zeangir,#azemire,#felime,#le-prince,#achmet,#soliman,#ali
Fréquences (scènes),0.1935483870967742,0.3225806451612903,0.5161290322580645,0.16129032258064516,0.03225806451612903,0.45161290322580644,0.06451612903225806,0.3870967741935484,0.03225806451612903
Fréquences(répliques),0.05221785513756317,0.23975294778214487,0.1965188096574958,0.06513194834362718,0.0039303761931499155,0.21785513756316677,0.047164514317798986,0.16339135317237508,0.01403705783267827
Confrontation,0.08333333333333333,0.14583333333333334,0.22916666666666666,0.08333333333333333,0.010416666666666666,0.20833333333333334,0.041666666666666664,0.1875,0.010416666666666666
Déviations,#osman,#roxelane,#zeangir,#azemire,#felime,#le-prince,#achmet,#soliman,#ali
#osman,20.16129032258065,0.5854838709677418,1.4196908602150538,0.967741935483871,0.1935483870967742,0.18586789554531483,0.3870967741935484,0.044802867383512475,0.1935483870967742
#roxelane,0.5854838709677418,14.225806451612906,0.2612903225806451,1.6129032258064515,0.3225806451612903,1.4018433179723497,0.6451612903225806,0.32930107526881713,0.3225806451612903
#zeangir,1.4196908602150538,0.2612903225806451,7.258064516129033,0.7806451612903228,0.5161290322580645,0.0070564516129032135,0.0010080645161290305,0.23000672043010745,0.5161290322580645
#azemire,0.967741935483871,1.6129032258064515,0.7806451612903228,21.806451612903224,4.361290322580646,0.029493087557603638,1.4225806451612906,1.935483870967742,0.16129032258064516
#felime,0.1935483870967742,0.3225806451612903,0.5161290322580645,4.361290322580646,29.03225806451613,0.45161290322580644,0.06451612903225806,0.3870967741935484,0.03225806451612903
#le-prince,0.18586789554531483,1.4018433179723497,0.0070564516129032135,0.029493087557603638,0.45161290322580644,9.322580645161292,1.3317972350230414,0.03245007680491546,0.45161290322580644
#achmet,0.3870967741935484,0.6451612903225806,0.0010080645161290305,1.4225806451612906,0.06451612903225806,1.3317972350230414,27.12903225806452,0.7741935483870968,0.06451612903225806
#soliman,0.044802867383512475,0.32930107526881713,0.23000672043010745,1.935483870967742,0.3870967741935484,0.03245007680491546,0.7741935483870968,11.645161290322584,0.9704301075268817
#ali,0.1935483870967742,0.3225806451612903,0.5161290322580645,0.16129032258064516,0.03225806451612903,0.45161290322580644,0.06451612903225806,0.9704301075268817,29.03225806451613
Successions,#osman,#roxelane,#zeangir,#azemire,#felime,#le-prince,#achmet,#soliman,#ali
#osman,0.0,0.42105263157894735,0.10526315789473684,0.0,0.0,0.3684210526315789,0.0,0.10526315789473684,0.0
#roxelane,0.1724137931034483,0.017241379310344827,0.5689655172413793,0.0,0.0,0.017241379310344827,0.0,0.22413793103448276,0.0
#zeangir,0.011111111111111112,0.36666666666666664,0.05555555555555555,0.08888888888888889,0.0,0.26666666666666666,0.011111111111111112,0.2,0.0
#azemire,0.0,0.06666666666666667,0.6666666666666666,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0
#felime,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#le-prince,0.11290322580645161,0.04838709677419355,0.3387096774193548,0.06451612903225806,0.0,0.016129032258064516,0.16129032258064516,0.25806451612903225,0.0
#achmet,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.8333333333333334,0.0,0.0,0.0
#soliman,0.03636363636363636,0.21818181818181817,0.32727272727272727,0.0,0.0,0.32727272727272727,0.0,0.05454545454545454,0.03636363636363636
#ali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
