VALEUR,#organte,#armetzar,#zinton,#le-garde,#vanlie,#iliane,#ladice,#zarimene,#artaban,#ulanie,#tamerlan,#odmar,#axalla,#un-garde
Fréquences (scènes),0.125,0.46875,0.28125,0.15625,0.21875,0.15625,0.4375,0.1875,0.21875,0.09375,0.0625,0.03125,0.03125,0.03125
Fréquences(répliques),0.048931116389548696,0.24608076009501187,0.13159144893111638,0.014251781472684086,0.15676959619952494,0.0332541567695962,0.18052256532066507,0.05510688836104513,0.040380047505938245,0.0023752969121140144,0.08836104513064133,0.0009501187648456057,0.0009501187648456057,0.00047505938242280285
Confrontation,0.036585365853658534,0.14634146341463414,0.12195121951219512,0.06707317073170732,0.11585365853658537,0.036585365853658534,0.1524390243902439,0.0975609756097561,0.06707317073170732,0.042682926829268296,0.042682926829268296,0.024390243902439025,0.024390243902439025,0.024390243902439025
Déviations,#organte,#armetzar,#zinton,#le-garde,#vanlie,#iliane,#ladice,#zarimene,#artaban,#ulanie,#tamerlan,#odmar,#axalla,#un-garde
#organte,24.5,2.408333333333333,0.013888888888888888,0.225,0.875,0.625,1.75,0.75,0.875,0.375,0.25,0.125,0.125,0.125
#armetzar,2.408333333333333,9.03125,0.14467592592592593,0.050416666666666665,0.9002976190476191,2.34375,1.000595238095238,1.1680555555555556,0.500297619047619,1.40625,0.004166666666666667,0.46875,0.46875,0.46875
#zinton,0.013888888888888888,0.14467592592592593,16.53125,0.25069444444444444,2.095734126984127,1.40625,0.9533730158730159,0.05787037037037037,0.5401785714285714,0.84375,0.3402777777777778,0.28125,0.28125,0.28125
#le-garde,0.225,0.050416666666666665,0.25069444444444444,22.78125,1.09375,0.06125,0.30178571428571427,0.004166666666666667,1.09375,0.6020833333333333,0.3125,0.15625,0.15625,0.15625
#vanlie,0.875,0.9002976190476191,2.095734126984127,1.09375,19.53125,1.09375,0.36862244897959184,0.3601190476190476,0.18431122448979592,0.65625,5.580357142857143,2.7901785714285716,2.7901785714285716,2.7901785714285716
#iliane,0.625,2.34375,1.40625,0.06125,1.09375,22.78125,3.6160714285714284,0.9375,1.09375,0.46875,0.3125,0.15625,0.15625,0.15625
#ladice,1.75,1.000595238095238,0.9533730158730159,0.30178571428571427,0.36862244897959184,3.6160714285714284,10.125,2.1488095238095237,0.36862244897959184,0.3601190476190476,0.875,0.4375,0.4375,0.4375
#zarimene,0.75,1.1680555555555556,0.05787037037037037,0.004166666666666667,0.3601190476190476,0.9375,2.1488095238095237,21.125,0.3601190476190476,10.5625,0.375,0.1875,0.1875,0.1875
#artaban,0.875,0.500297619047619,0.5401785714285714,1.09375,0.18431122448979592,1.09375,0.36862244897959184,0.3601190476190476,19.53125,0.1800595238095238,0.4375,0.21875,0.21875,0.21875
#ulanie,0.375,1.40625,0.84375,0.6020833333333333,0.65625,0.46875,0.3601190476190476,10.5625,0.1800595238095238,26.28125,0.1875,0.09375,0.09375,0.09375
#tamerlan,0.25,0.004166666666666667,0.3402777777777778,0.3125,5.580357142857143,0.3125,0.875,0.375,0.4375,0.1875,28.125,14.0625,14.0625,14.0625
#odmar,0.125,0.46875,0.28125,0.15625,2.7901785714285716,0.15625,0.4375,0.1875,0.21875,0.09375,14.0625,30.03125,30.03125,30.03125
#odmar,0.125,0.46875,0.28125,0.15625,2.7901785714285716,0.15625,0.4375,0.1875,0.21875,0.09375,14.0625,30.03125,30.03125,30.03125
#odmar,0.125,0.46875,0.28125,0.15625,2.7901785714285716,0.15625,0.4375,0.1875,0.21875,0.09375,14.0625,30.03125,30.03125,30.03125
Successions,#organte,#armetzar,#zinton,#le-garde,#vanlie,#iliane,#ladice,#zarimene,#artaban,#ulanie,#tamerlan,#odmar,#axalla,#un-garde
#organte,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#armetzar,0.25862068965517243,0.017241379310344827,0.15517241379310345,0.017241379310344827,0.2413793103448276,0.0,0.25862068965517243,0.0,0.017241379310344827,0.0,0.034482758620689655,0.0,0.0,0.0
#zinton,0.06060606060606061,0.21212121212121213,0.030303030303030304,0.06060606060606061,0.21212121212121213,0.0,0.0,0.09090909090909091,0.030303030303030304,0.0,0.30303030303030304,0.0,0.0,0.0
#le-garde,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#vanlie,0.0,0.425,0.125,0.0,0.0,0.0,0.05,0.05,0.025,0.0,0.275,0.0,0.025,0.025
#iliane,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ladice,0.02,0.24,0.02,0.02,0.06,0.3,0.0,0.26,0.08,0.0,0.0,0.0,0.0,0.0
#zarimene,0.0,0.03571428571428571,0.03571428571428571,0.17857142857142858,0.07142857142857142,0.0,0.42857142857142855,0.0,0.14285714285714285,0.10714285714285714,0.0,0.0,0.0,0.0
#artaban,0.0,0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0
#ulanie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#tamerlan,0.0,0.07692307692307693,0.4230769230769231,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#odmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#axalla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#odmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
