VALEUR,#aglatide,#elpinice,#spitridate,#cotys,#mandane,#lysander,#cleon,#agesilas,#xenocles
Fréquences (scènes),0.2413793103448276,0.1724137931034483,0.3793103448275862,0.1724137931034483,0.2413793103448276,0.27586206896551724,0.06896551724137931,0.4482758620689655,0.13793103448275862
Fréquences(répliques),0.1442486085343228,0.06679035250463822,0.17625231910946196,0.07142857142857142,0.16326530612244897,0.1266233766233766,0.006957328385899814,0.21382189239332097,0.030612244897959183
Confrontation,0.13414634146341464,0.08536585365853659,0.18292682926829268,0.0975609756097561,0.10975609756097561,0.10975609756097561,0.036585365853658534,0.1951219512195122,0.04878048780487805
Déviations,#aglatide,#elpinice,#spitridate,#cotys,#mandane,#lysander,#cleon,#agesilas,#xenocles
#aglatide,16.68965517241379,2.664039408866995,0.044782803403493124,0.03546798029556649,0.2814919071076707,0.44889162561576346,0.48275862068965514,0.4126563092080335,0.9655172413793103
#elpinice,2.664039408866995,19.862068965517242,0.6420062695924764,0.8620689655172414,1.206896551724138,0.10431034482758625,0.3448275862068966,2.2413793103448274,0.6896551724137931
#spitridate,0.044782803403493006,0.6420062695924764,11.172413793103448,0.005642633228840123,0.044782803403493006,1.3640282131661439,0.7586206896551724,0.7562093079334461,1.5172413793103448
#cotys,0.03546798029556649,0.8620689655172414,0.005642633228840123,19.862068965517242,0.03546798029556649,0.10431034482758625,1.2448275862068965,0.025994694960212165,0.6896551724137931
#mandane,0.2814919071076707,1.206896551724138,0.044782803403493124,0.03546798029556649,16.68965517241379,0.44889162561576346,0.5541871921182268,0.4126563092080335,0.9655172413793103
#lysander,0.44889162561576357,0.10431034482758625,1.3640282131661439,0.10431034482758625,0.44889162561576357,15.20689655172414,0.36422413793103453,0.09582228116710878,1.103448275862069
#cleon,0.4827586206896552,0.3448275862068966,0.7586206896551724,1.2448275862068965,0.5541871921182264,0.36422413793103453,25.137931034482758,0.896551724137931,0.27586206896551724
#agesilas,0.4126563092080335,2.241379310344828,0.7562093079334455,0.025994694960212256,0.4126563092080335,0.09582228116710878,0.896551724137931,8.827586206896553,2.716180371352785
#xenocles,0.9655172413793104,0.6896551724137931,1.5172413793103448,0.6896551724137931,0.9655172413793104,1.103448275862069,0.27586206896551724,2.716180371352785,21.551724137931032
Successions,#aglatide,#elpinice,#spitridate,#cotys,#mandane,#lysander,#cleon,#agesilas,#xenocles
#aglatide,0.0,0.4375,0.16666666666666666,0.0,0.20833333333333334,0.10416666666666667,0.0,0.08333333333333333,0.0
#elpinice,0.5833333333333334,0.0,0.3888888888888889,0.0,0.0,0.027777777777777776,0.0,0.0,0.0
#spitridate,0.09411764705882353,0.16470588235294117,0.0,0.25882352941176473,0.27058823529411763,0.011764705882352941,0.0,0.2,0.0
#cotys,0.0,0.023255813953488372,0.46511627906976744,0.0,0.2558139534883721,0.13953488372093023,0.0,0.11627906976744186,0.0
#mandane,0.18181818181818182,0.0,0.43636363636363634,0.16363636363636364,0.0,0.05454545454545454,0.01818181818181818,0.14545454545454545,0.0
#lysander,0.1875,0.0,0.0625,0.21875,0.0625,0.0625,0.125,0.28125,0.0
#cleon,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0
#agesilas,0.07017543859649122,0.0,0.2982456140350877,0.07017543859649122,0.14035087719298245,0.17543859649122806,0.0,0.05263157894736842,0.19298245614035087
#xenocles,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.9090909090909091,0.0
