VALEUR,#emilie,#fulvie,#cinna,#evandre,#auguste,#maxime,#euphorbe,#polyclete,#livie
Fréquences (scènes),0.5,0.15,0.5,0.05,0.35,0.35,0.1,0.05,0.15
Fréquences(répliques),0.22676991150442477,0.02765486725663717,0.2959070796460177,0.00331858407079646,0.2195796460176991,0.14988938053097345,0.03484513274336283,0.0005530973451327434,0.041482300884955754
Confrontation,0.20833333333333334,0.041666666666666664,0.2222222222222222,0.027777777777777776,0.18055555555555555,0.1388888888888889,0.041666666666666664,0.027777777777777776,0.1111111111111111
Déviations,#emilie,#fulvie,#cinna,#evandre,#auguste,#maxime,#euphorbe,#polyclete,#livie
#emilie,5.0,1.5,0.0,0.5,0.6428571428571429,0.6428571428571429,1.0,0.5,0.16666666666666666
#fulvie,1.5,14.450000000000001,1.5,0.15000000000000002,1.0499999999999998,1.0499999999999998,0.30000000000000004,0.15000000000000002,0.44999999999999996
#cinna,0.0,1.5,5.0,0.5,0.07142857142857142,0.07142857142857142,1.0,0.5,0.16666666666666666
#evandre,0.5,0.15,0.5,18.049999999999997,0.35,0.35,0.10000000000000002,0.05000000000000001,0.15
#auguste,0.6428571428571429,1.05,0.07142857142857142,0.35000000000000003,8.450000000000005,0.0826530612244897,0.1285714285714285,1.2071428571428566,3.621428571428571
#maxime,0.6428571428571429,1.05,0.07142857142857142,0.35000000000000003,0.0826530612244897,8.450000000000005,0.1285714285714285,0.35000000000000003,0.002380952380952385
#euphorbe,1.0,0.3,1.0,0.10000000000000002,0.12857142857142861,0.12857142857142861,16.2,8.1,0.3
#polyclete,0.5,0.15,0.5,0.05000000000000001,1.2071428571428573,0.35,8.1,18.049999999999997,0.15
#livie,0.16666666666666666,0.44999999999999996,0.16666666666666666,0.15000000000000002,3.6214285714285728,0.0023809523809523647,0.30000000000000004,0.15000000000000002,14.450000000000001
Successions,#emilie,#fulvie,#cinna,#evandre,#auguste,#maxime,#euphorbe,#polyclete,#livie
#emilie,0.05660377358490566,0.1509433962264151,0.4339622641509434,0.018867924528301886,0.09433962264150944,0.20754716981132076,0.0,0.0,0.03773584905660377
#fulvie,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
#cinna,0.48,0.0,0.0,0.02,0.08,0.4,0.0,0.0,0.02
#evandre,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#auguste,0.18181818181818182,0.0,0.21212121212121213,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.030303030303030304,0.30303030303030304
#maxime,0.2727272727272727,0.0,0.38636363636363635,0.0,0.11363636363636363,0.022727272727272728,0.20454545454545456,0.0,0.0
#euphorbe,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0
#polyclete,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#livie,0.07692307692307693,0.0,0.07692307692307693,0.0,0.8461538461538461,0.0,0.0,0.0,0.0
