VALEUR,#eraste,#tircis,#melite,#philandre,#cloris,#cliton,#la-nourrice,#lisis,#nourrice
Fréquences (scènes),0.45714285714285713,0.37142857142857144,0.2857142857142857,0.2571428571428571,0.37142857142857144,0.14285714285714285,0.14285714285714285,0.08571428571428572,0.05714285714285714
Fréquences(répliques),0.2562070787110407,0.22345483359746435,0.10723718964606445,0.12097200211304807,0.18277865821447437,0.02641310089804543,0.061806656101426306,0.01584786053882726,0.005282620179609086
Confrontation,0.15625,0.15625,0.140625,0.0703125,0.171875,0.078125,0.1015625,0.0546875,0.0703125
Déviations,#eraste,#tircis,#melite,#philandre,#cloris,#cliton,#la-nourrice,#lisis,#nourrice
#eraste,10.314285714285718,0.14958791208791214,0.07142857142857137,1.0865079365079362,4.111126373626374,1.285714285714286,0.22321428571428584,1.3714285714285714,0.008035714285714292
#tircis,0.14958791208791214,13.828571428571424,1.4065934065934071,0.5394383394383393,0.0060862214708368115,1.857142857142857,0.3956043956043955,1.1142857142857143,0.08901098901098899
#melite,0.07142857142857137,1.4065934065934065,17.85714285714286,2.571428571428571,0.021978021978021955,1.4285714285714284,0.22857142857142873,0.023809523809523784,0.3214285714285715
#philandre,1.0865079365079362,0.5394383394383395,2.571428571428571,19.314285714285717,0.12918192918192914,0.06349206349206343,1.2857142857142856,0.7714285714285715,0.5142857142857142
#cloris,4.111126373626374,0.0060862214708368115,0.021978021978022032,0.12918192918192933,13.828571428571424,0.3956043956043955,0.010989010989011016,3.191208791208791,2.127472527472527
#cliton,1.285714285714286,1.8571428571428572,1.4285714285714284,0.06349206349206343,0.3956043956043957,25.714285714285715,2.314285714285715,0.7619047619047618,1.7857142857142858
#la-nourrice,0.22321428571428584,0.3956043956043957,0.22857142857142873,1.2857142857142856,0.010989010989010978,2.314285714285715,25.714285714285715,0.7619047619047618,10.285714285714288
#lisis,1.3714285714285714,1.1142857142857143,0.023809523809523826,0.7714285714285714,3.191208791208791,0.7619047619047619,0.7619047619047619,29.257142857142863,4.004761904761904
#nourrice,0.008035714285714292,0.08901098901098899,0.3214285714285715,0.5142857142857142,2.127472527472527,1.7857142857142858,10.285714285714288,4.004761904761904,31.114285714285714
Successions,#eraste,#tircis,#melite,#philandre,#cloris,#cliton,#la-nourrice,#lisis,#nourrice
#eraste,0.012987012987012988,0.2857142857142857,0.23376623376623376,0.16883116883116883,0.025974025974025976,0.14285714285714285,0.11688311688311688,0.0,0.012987012987012988
#tircis,0.21495327102803738,0.0,0.17757009345794392,0.2616822429906542,0.34579439252336447,0.0,0.0,0.0,0.0
#melite,0.25675675675675674,0.22972972972972974,0.0,0.0,0.28378378378378377,0.0,0.20270270270270271,0.02702702702702703,0.0
#philandre,0.18055555555555555,0.4027777777777778,0.0,0.027777777777777776,0.3472222222222222,0.041666666666666664,0.0,0.0,0.0
#cloris,0.021739130434782608,0.40217391304347827,0.2391304347826087,0.2717391304347826,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.021739130434782608,0.010869565217391304
#cliton,0.5238095238095238,0.0,0.0,0.19047619047619047,0.047619047619047616,0.0,0.14285714285714285,0.09523809523809523,0.0
#la-nourrice,0.23333333333333334,0.06666666666666667,0.4666666666666667,0.0,0.06666666666666667,0.16666666666666666,0.0,0.0,0.0
#lisis,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,0.0,0.16666666666666666,0.0,0.0
#nourrice,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
