VALEUR,#domitie,#plautine,#domitian,#albin,#tite,#flavian,#berenice,#philon
Fréquences (scènes),0.36,0.08,0.44,0.08,0.52,0.16,0.4,0.08
Fréquences(répliques),0.2579933847850055,0.022050716648291068,0.17364939360529216,0.04961411245865491,0.23869900771775082,0.029768467475192944,0.19349503858875414,0.034729878721058434
Confrontation,0.1774193548387097,0.03225806451612903,0.22580645161290322,0.03225806451612903,0.24193548387096775,0.06451612903225806,0.1935483870967742,0.03225806451612903
Déviations,#domitie,#plautine,#domitian,#albin,#tite,#flavian,#berenice,#philon
#domitie,10.24,2.2755555555555556,0.0004040404040404048,0.72,0.603076923076923,1.44,0.7111111111111112,0.72
#plautine,2.2755555555555556,21.16,0.88,0.16,1.04,0.32,0.8000000000000002,0.16
#domitian,0.0004040404040404048,0.88,7.84,1.4254545454545458,0.5172027972027976,1.76,0.036363636363636424,0.88
#albin,0.72,0.16,1.4254545454545458,21.16,1.04,0.32,0.8000000000000002,0.16
#tite,0.603076923076923,1.04,0.517202797202797,1.04,5.760000000000001,1.7723076923076921,0.276923076923077,1.04
#flavian,1.44,0.32,1.76,0.32,1.7723076923076921,17.639999999999997,1.6000000000000003,0.32
#berenice,0.7111111111111108,0.8000000000000002,0.036363636363636424,0.8000000000000002,0.276923076923077,1.6000000000000003,9.0,1.7999999999999998
#philon,0.72,0.16,0.88,0.16,1.04,0.32,1.7999999999999998,21.16
Successions,#domitie,#plautine,#domitian,#albin,#tite,#flavian,#berenice,#philon
#domitie,0.0,0.18181818181818182,0.4727272727272727,0.0,0.2,0.0,0.14545454545454545,0.0
#plautine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#domitian,0.4461538461538462,0.0,0.0,0.15384615384615385,0.3384615384615385,0.0,0.06153846153846154,0.0
#albin,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0
#tite,0.13157894736842105,0.0,0.3157894736842105,0.0,0.013157894736842105,0.23684210526315788,0.3026315789473684,0.0
#flavian,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#berenice,0.13953488372093023,0.0,0.13953488372093023,0.0,0.5348837209302325,0.0,0.023255813953488372,0.16279069767441862
#philon,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
